confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.01,0.01,2,100,0.01497580997905458,0.014954730824944962,0.1746672045179507,0.1754915200729607,0.5594156128873845,0.5597909395443464,0.1637466349160202,0.1640181559553793,0.5504101694776934,0.5506106523942976,27.2,0.003404134778425484,0.0033863771571215895,0.0,0.0,0.0030848149758049763,0.003431584111658024,0.0,0.0,0.003894777301665051,0.004260342153233333,8.408329203831164,5
0.01,0.01,2,250,0.01875917070985206,0.01869528264344462,0.1746672045179507,0.1754915200729607,0.5662732167599136,0.5659294596348458,0.1637466349160202,0.1640181559553793,0.5560455127022133,0.5552551421039675,21.2,0.00259498756887728,0.002512163583628374,0.0,0.0,0.0039735814121730105,0.0052522058859524046,0.0,0.0,0.004568054489774078,0.006261632419752032,2.949576240750525,5
0.01,0.01,2,500,0.02306105643758804,0.02302454255989008,0.1746672045179507,0.1754915200729607,0.5675289825841416,0.5677359384043356,0.1637466349160202,0.1640181559553793,0.5577933132288294,0.5578753306617105,17.2,0.0024660514056083853,0.0024589612415464586,0.0,0.0,0.0016645720345144115,0.001739138783121575,0.0,0.0,0.0015284687896638407,0.001594682117502094,1.9235384061671348,5
0.01,0.01,2,1000,0.0305813554353463,0.03050819429794118,0.1746672045179507,0.1754915200729607,0.5638879632390339,0.563789746917586,0.1637466349160202,0.1640181559553793,0.5540758048010255,0.5538698103095323,12.8,0.002534964863932842,0.0025190085048196705,0.0,0.0,0.000889936365496724,0.000880571919786656,0.0,0.0,0.001178064003793635,0.0011895364574473948,1.0954451150103321,5
0.01,0.01,3,100,0.0091787465844378,0.00917571157886206,0.1746672045179507,0.1754915200729607,0.5622007471455881,0.5629163232018521,0.1637466349160202,0.1640181559553793,0.554049207746601,0.5545324035658524,42.8,0.0012236366622520717,0.0012191372127271641,0.0,0.0,0.0028501216220806927,0.0026657965803892477,0.0,0.0,0.00237970327937665,0.0022065538580347266,5.449770637375485,5
0.01,0.01,3,250,0.01465670981416024,0.0146375995391218,0.1746672045179507,0.1754915200729607,0.5569742357542488,0.5573530701369767,0.1637466349160202,0.1640181559553793,0.5481919587514611,0.548383263260121,26.8,0.0025304819875013908,0.0025147542571315943,0.0,0.0,0.002382898829382805,0.002384660228765844,0.0,0.0,0.0028592357630675314,0.002871657022647766,5.215361924162119,5
0.01,0.01,3,500,0.02194339343430336,0.02191186065876414,0.1746672045179507,0.1754915200729607,0.5591139484715085,0.5594121051616184,0.1637466349160202,0.1640181559553793,0.5491232992901567,0.5493382147858303,18.4,0.0052233177441327,0.005208637284497275,0.0,0.0,0.0027003508658247216,0.002793711444811754,0.0,0.0,0.0036981928622463415,0.003806091579649407,4.77493455452533,5
0.01,0.01,3,1000,0.03059805246696868,0.030532346852917835,0.1746672045179507,0.1754915200729607,0.5587491449918446,0.5587526527176105,0.1637466349160202,0.1640181559553793,0.5478638736435035,0.547805203446731,12.6,0.0020517706076605587,0.002041369159520727,0.0,0.0,0.002857704161258774,0.00282152878681046,0.0,0.0,0.00421663590018104,0.004161010317595979,0.8944271909999159,5
0.01,0.1,2,100,0.0026511283064765403,0.00267155900224512,0.1746672045179507,0.1754915200729607,0.5386112913692408,0.5422628338916463,0.1637466349160202,0.1640181559553793,0.534591041625547,0.5377578212054122,137.6,0.00015049421841444374,0.00014784637259392677,0.0,0.0,0.0019793413029333255,0.0017862471377934261,0.0,0.0,0.0018071101946608773,0.0018182068484614818,7.092249290598858,5
0.01,0.1,2,250,0.00684979565658556,0.006859078358956499,0.1746672045179507,0.1754915200729607,0.5585281582685866,0.5599102022203903,0.1637466349160202,0.1640181559553793,0.5516851587835931,0.552845008102007,57.0,0.0009871635997002082,0.0009829052382780584,0.0,0.0,0.0018265284157959686,0.0015722576178815093,0.0,0.0,0.001165770410603642,0.0010695833132666021,8.336666000266533,5
