n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
1,10,100,50,0.00043873328927739996,0.00046348466847952,0.1746672045179507,0.1754915200729607,0.4460669624848729,0.46220250100847105,0.1637466349160202,0.1640181559553793,0.44790346307625273,0.4625288695563783,618.6,9.150830502871662e-07,8.87419850186626e-07,0.0,0.0,0.00017255729170246334,0.00013333972540647616,0.0,0.0,0.000181278412717817,0.00014227630891101926,0.8944271909999063,5
1,10,100,100,0.00071061091127538,0.00073514183696794,0.1746672045179507,0.1754915200729607,0.47838013224126136,0.4896890401108441,0.1637466349160202,0.1640181559553793,0.4793741293414605,0.4894061812281536,427.4,2.391887173387829e-06,2.3039828485737233e-06,0.0,0.0,0.00022336805478971212,0.00014809500207015473,0.0,0.0,0.00021165550987535417,0.000141838122763582,1.1401754250991352,5
1,10,100,250,0.00151544748437696,0.00153896162235224,0.1746672045179507,0.1754915200729607,0.5188943648385569,0.5250609467351842,0.1637466349160202,0.1640181559553793,0.5175310839226464,0.5228157898728304,227.6,8.237142187252965e-05,8.352751185457935e-05,0.0,0.0,0.002013217636767494,0.0020198607669711897,0.0,0.0,0.0018308500235723218,0.0018623983989766175,10.4546640309481,5
1,10,250,50,0.0007392066049628,0.0007668278271782,0.1746672045179507,0.1754915200729607,0.4806987389725871,0.4929582405247558,0.1637466349160202,0.1640181559553793,0.48134294747113715,0.492564447853492,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,100,0.0009770834286907,0.0010060649434037,0.1746672045179507,0.1754915200729607,0.4951505691285055,0.5054808215093743,0.1637466349160202,0.1640181559553793,0.49496610557348,0.5043704818950084,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,250,0.001863441108474,0.00189131988737102,0.1746672045179507,0.1754915200729607,0.5261097567392181,0.5321921532174614,0.1637466349160202,0.1640181559553793,0.5238996054948123,0.5294391634912603,188.6,5.570422704876798e-06,5.243561850221779e-06,0.0,0.0,2.881890791368823e-05,4.8031513189525985e-05,0.0,0.0,5.496379658331722e-06,7.772588622393868e-05,0.5477225575051667,5
1,10,500,50,0.0011551050945805,0.0011783880826789,0.1746672045179507,0.1754915200729607,0.5061823666625743,0.5136888998018135,0.1637466349160202,0.1640181559553793,0.5043962415014924,0.511115724549171,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,100,0.00128044039898632,0.00130547645693452,0.1746672045179507,0.1754915200729607,0.510142589052388,0.517526351789817,0.1637466349160202,0.1640181559553793,0.5087065279516663,0.5152339064132108,262.0,2.99370735030197e-08,1.197482940117909e-07,0.0,0.0,7.84351325921414e-06,3.1374053036811564e-05,0.0,0.0,5.827841597747914e-06,3.870686850516196e-05,0.0,5
1,10,500,250,0.002048268536886,0.0020657057863586,0.1746672045179507,0.1754915200729607,0.5290176613992318,0.5328586211130014,0.1637466349160202,0.1640181559553793,0.5264730505132195,0.5295606325097885,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,50,0.0016559806306723,0.0016803676764741,0.1746672045179507,0.1754915200729607,0.5224231369591525,0.5283687321325219,0.1637466349160202,0.1640181559553793,0.5198005458214077,0.5251204140514959,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
