disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
False,100,50,0.0005243685322783,0.0005541079463813,0.1746672045179507,0.1754915200729607,0.4520581580932002,0.4686146237087184,0.1637466349160202,0.1640181559553793,0.4537522592015337,0.4693409470074374,529.0,,,,,,,,,,,,1
False,100,100,0.0005369127243566,0.0005649338218683,0.1746672045179507,0.1754915200729607,0.4522510830103302,0.4675623059789185,0.1637466349160202,0.1640181559553793,0.453721150301303,0.4678165745040979,517.0,,,,,,,,,,,,1
False,100,250,0.0010430928665841,0.0010675786146259,0.1746672045179507,0.1754915200729607,0.4959398074258555,0.5043057333777645,0.1637466349160202,0.1640181559553793,0.4949413864131511,0.5022362184572307,308.0,,,,,,,,,,,,1
False,250,50,0.0015540819564181,0.0015827815308671,0.1746672045179507,0.1754915200729607,0.5165652349299332,0.5237034568637424,0.1637466349160202,0.1640181559553793,0.5148049649659705,0.5214296118857327,220.0,,,,,,,,,,,,1
False,250,100,0.001570511804543,0.0015944866274391,0.1746672045179507,0.1754915200729607,0.5170387779083431,0.5230896048546925,0.1637466349160202,0.1640181559553793,0.5159305776277807,0.5213745576033432,218.0,,,,,,,,,,,,1
False,250,250,0.0016676171014231,0.0016929885159442,0.1746672045179507,0.1754915200729607,0.518196327411123,0.5242471543574724,0.1637466349160202,0.1640181559553793,0.5166585034423711,0.5220215002589833,206.0,,,,,,,,,,,,1
False,500,50,0.0032903720444278,0.0033163667978723,0.1746672045179507,0.1754915200729607,0.5431888734938702,0.5469246014346598,0.1637466349160202,0.1640181559553793,0.5391583965007432,0.54265062830479,112.0,,,,,,,,,,,,1
False,500,100,0.0032975754098401,0.0033065013191554,0.1746672045179507,0.1754915200729607,0.5439956504200502,0.54581966781837,0.1637466349160202,0.1640181559553793,0.5397174828340535,0.5411029774647481,112.0,,,,,,,,,,,,1
False,500,250,0.0033481242436466,0.0033682139457609,0.1746672045179507,0.1754915200729607,0.5429608713190803,0.5459950541066699,0.1637466349160202,0.1640181559553793,0.5388983632449689,0.5414988564733446,110.0,,,,,,,,,,,,1
False,1000,100,0.0069366871443445,0.0069481669741241,0.1746672045179507,0.1754915200729607,0.5561849974568989,0.5576407036497887,0.1637466349160202,0.1640181559553793,0.5491687579408712,0.5502170972858317,55.0,,,,,,,,,,,,1
False,1000,250,0.0072914367479278,0.007295407758229,0.1746672045179507,0.1754915200729607,0.5611133521581283,0.5621481312590981,0.1637466349160202,0.1640181559553793,0.554527765155508,0.555299650002368,53.0,,,,,,,,,,,,1
