seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1736856773,0.5,2,500,0.45,0.0158046533235259,0.0149906013016229,0.3604390073942162,0.3604712683726272,0.8345786070999961,0.8101893074213155,0.3558536212730926,0.3558927203261205,0.8343743544718514,0.8100892563895431,,,95.51724137931036,0.0,"[5086, 10083, 15106, 20084, 25083, 30090, 35093, 40088, 45084, 50112, 55113, 60118, 65114, 70078, 75094, 80092, 85079, 90096, 95093, 100091, 105082, 110089, 115093, 120106, 125120, 130082, 135120, 140121, 145080, 150092]"
1736857261,0.5,2,500,0.5,0.0158121808851552,0.0149936123262746,0.3604390073942162,0.3604712683726272,0.8348044339488728,0.8102796381608661,0.3558536212730926,0.3558927203261205,0.8346057317588663,0.810183006359444,,,94.65517241379312,0.0,"[5085, 10083, 15105, 20083, 25081, 30090, 35093, 40088, 45084, 50111, 55112, 60117, 65114, 70077, 75093, 80090, 85078, 90096, 95093, 100090, 105081, 110089, 115092, 120106, 125113, 130082, 135119, 140120, 145080, 150091]"
1736857749,0.5,2,500,0.55,0.0158108904460187,0.014993827399464,0.3604390073942162,0.3604712683726272,0.8347657207747796,0.8102860903565483,0.3558536212730926,0.3558927203261205,0.834566951463149,0.8101890588605717,,,94.27586206896552,0.0,"[5084, 10082, 15105, 20083, 25081, 30090, 35093, 40088, 45084, 50111, 55112, 60117, 65113, 70077, 75092, 80090, 85075, 90095, 95093, 100090, 105080, 110088, 115092, 120106, 125112, 130082, 135119, 140120, 145080, 150091]"
1736858236,0.5,2,1000,0.45,0.0338417663530899,0.0242999615846195,0.3604390073942162,0.3604712683726272,0.8003819699843857,0.6763707689726814,0.3558536212730926,0.3558927203261205,0.8007812595207318,0.6746039409688908,,,572.6923076923077,0.5517241379310345,"[6178, 15163, 36289, 46800, 50164, 55168, 60172, 65167, 80166, 120170, 135163, 140162, 146683]"
1736858836,0.5,2,1000,0.5,0.0338353141574077,0.0242900351297238,0.3604390073942162,0.3604712683726272,0.8002980914405172,0.6762417250590376,0.3558536212730926,0.3558927203261205,0.8006981765250264,0.6744734701886393,,,571.9230769230769,0.5517241379310345,"[6175, 15162, 36288, 46800, 50164, 55168, 60171, 65166, 80165, 120169, 135162, 140162, 146683]"
1736859433,0.5,2,1000,0.55,0.0338055347927207,0.0242989689391299,0.3604390073942162,0.3604712683726272,0.7999109596995858,0.676357864581317,0.3558536212730926,0.3558927203261205,0.8003088611676907,0.6745840967469365,,,570.9230769230769,0.5517241379310345,"[6175, 15162, 36286, 46800, 50164, 55167, 60171, 65166, 80164, 120169, 135161, 140161, 146676]"
1736860145,0.5,3,500,0.45,0.0157511000993638,0.0149288752962633,0.3604390073942162,0.3604712683726272,0.8329720103751307,0.8083375272605268,0.3558536212730926,0.3558927203261205,0.8327800860023825,0.8082337346365547,,,111.58620689655172,0.0,"[5098, 10099, 15123, 20092, 25096, 30101, 35101, 40108, 45105, 50118, 55116, 60126, 65123, 70096, 75105, 80103, 85103, 90109, 95103, 100097, 105103, 110114, 115119, 120110, 125237, 130090, 135124, 140126, 145091, 150104]"
1736861018,0.5,3,500,0.5,0.015757552295046,0.014931886320915,0.3604390073942162,0.3604712683726272,0.8331655762455964,0.8084278580000774,0.3558536212730926,0.3558927203261205,0.8329735870289134,0.8083275427376059,,,110.79310344827586,0.0,"[5098, 10099, 15122, 20092, 25089, 30101, 35101, 40108, 45105, 50118, 55115, 60126, 65123, 70095, 75105, 80102, 85102, 90108, 95103, 100097, 105101, 110112, 115116, 120109, 125237, 130089, 135124, 140126, 145090, 150104]"
1736861890,0.5,3,500,0.55,0.0157489493674697,0.0149333918332408,0.3604390073942162,0.3604712683726272,0.8329074884183088,0.8084730233698527,0.3558536212730926,0.3558927203261205,0.8326855118016976,0.8083739220477959,,,110.13793103448276,0.0,"[5097, 10099, 15122, 20091, 25089, 30096, 35098, 40108, 45105, 50118, 55115, 60125, 65123, 70095, 75105, 80102, 85101, 90106, 95103, 100096, 105101, 110111, 115115, 120108, 125237, 130089, 135124, 140125, 145090, 150104]"
1736862766,0.5,3,1000,0.45,0.0496004477823803,0.0337966009833146,0.3604390073942162,0.3604712683726272,0.757242589653259,0.6308440762391442,0.3558536212730926,0.3558927203261205,0.7572960716751873,0.6284258044732299,,,185.0,0.7241379310344828,"[15178, 50187, 55183, 60195, 65190, 120188, 135179, 140180]"
