n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
1,10,100,50,2.8361712370801974e-05,3.650012936668016e-05,0.6654367221059588,0.6656570106839961,0.6921136689062672,0.6999889855710981,0.6419238618598095,0.6422675803806399,0.605708303939894,0.6445263633155897,940.6,2.3034524021252238e-07,1.433270590870908e-07,0.0,0.0,0.00020458393678826219,0.0001206570233516871,0.0,0.0,0.00039913250013129083,0.000136405535973532,0.5477225575051635,5
1,10,100,100,7.648573379247939e-05,9.114768029020736e-05,0.6654367221059588,0.6656570106839961,0.701982597202335,0.7092080625619561,0.6419238618598095,0.6422675803806399,0.6123544701696899,0.6628586733665603,477.8,1.1811288203273526e-06,9.296172772699935e-07,0.0,0.0,0.0006441322399916878,0.0005302392290741895,0.0,0.0,0.0016621676017970564,0.0007069705572615088,1.0954451150103368,5
1,10,100,250,0.00054505815573862,0.00055574557055704,0.6654367221059588,0.6656570106839961,0.7077321290891068,0.7087784998347836,0.6419238618598095,0.6422675803806399,0.6463587129559147,0.680260863750761,77.6,8.741715964560536e-06,7.985243743540544e-06,0.0,0.0,0.0007660770868621876,0.00040281800964664356,0.0,0.0,0.0010913926973663717,0.0003344109113676561,0.8944271909999163,5
1,10,250,50,1.975587054721533e-05,2.5013481257361256e-05,0.6654367221059588,0.6656570106839961,0.6859235598634211,0.6915959907478797,0.6419238618598095,0.6422675803806399,0.5992372203543817,0.6358966602615003,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,100,6.824867359325077e-05,8.270160651459084e-05,0.6654367221059588,0.6656570106839961,0.698810441678599,0.7061019936116313,0.6419238618598095,0.6422675803806399,0.6085825003538152,0.6586607165693933,489.0,2.537063318907174e-07,2.1823011530177454e-06,0.0,0.0,0.00022028857803722476,0.0012452882336498208,0.0,0.0,0.0023354796436053614,0.001610558192505915,2.236067977499794,5
1,10,250,250,0.0007467085767066,0.00075248500347482,0.6654367221059588,0.6656570106839961,0.7076880713734993,0.7082167639607887,0.6419238618598095,0.6422675803806399,0.6367881450399785,0.6812847849503382,56.6,2.285338078204444e-05,2.3885885362797506e-05,0.0,0.0,0.0016320321304343429,0.0009597417425168866,0.0,0.0,0.004960712400546104,0.0007622533767401673,2.0736441353327724,5
1,10,500,50,2.5245943473078464e-05,3.244349107231465e-05,0.6654367221059588,0.6656570106839961,0.6909351250137681,0.6984249366670339,0.6419238618598095,0.6422675803806399,0.6119531416303097,0.6397522178091511,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,100,8.913391286174629e-05,0.00010484593271788,0.6654367221059588,0.6656570106839961,0.7082387928185924,0.7160039651944047,0.6419238618598095,0.6422675803806399,0.6320881443983554,0.660750908301224,480.2,2.26098978732799e-07,2.705246847528061e-07,0.0,0.0,9.851604703159545e-05,0.00010593338507362388,0.0,0.0,0.00023988436371844926,0.00027879832546626014,0.44721359549995715,5
1,10,500,250,0.00109733396139008,0.00109833906057594,0.6654367221059588,0.6656570106839961,0.7156735323273489,0.7159488930498954,0.6419238618598095,0.6422675803806399,0.6653997339675641,0.6861643428775682,45.8,2.7415895306135755e-05,1.585993386467431e-05,0.0,0.0,0.0006087901136880966,0.0006715641009590427,0.0,0.0,0.0007037934038543776,0.0005316236520163423,1.095445115010332,5
1,10,1000,50,2.472176426870697e-05,2.781198480229532e-05,0.6654367221059588,0.6656570106839961,0.6901090428461284,0.6934133715166868,0.6419238618598095,0.6422675803806399,0.607934292016989,0.639807128730219,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,100,8.211082166309002e-05,9.518736868109596e-05,0.6654367221059588,0.6656570106839961,0.7063112677607666,0.7130410838198039,0.6419238618598095,0.6422675803806399,0.622353843860797,0.6675858719707493,497.8,6.570871072936936e-07,6.776232293691854e-07,0.0,0.0,0.0002924533108790037,0.00030314701937488703,0.0,0.0,0.00031546881755828654,0.0002573700966985198,0.44721359549995315,5
1,10,1000,250,0.00082807753519422,0.0007474946164983,0.6654367221059588,0.6656570106839961,0.7038550501156514,0.7003414472959577,0.6419238618598095,0.6422675803806399,0.6483227539210243,0.6767769769141226,46.4,1.4600310423265801e-05,1.3231427295351551e-05,0.0,0.0,0.0007516893820515876,0.0009373596091775063,0.0,0.0,0.0008679512104861471,0.0007742161572028719,0.8944271909999163,5
1,20,100,50,2.8414883071291438e-05,3.6511660061915136e-05,0.6654367221059588,0.6656570106839961,0.6921467121929729,0.6999779711421963,0.6419238618598095,0.6422675803806399,0.6059223923054788,0.6445536171084962,940.0,8.285507837666066e-08,2.62010763381843e-08,0.0,0.0,7.78837736740551e-05,2.4629011757895822e-05,0.0,0.0,0.00024256907510499732,1.5865814326225627e-05,0.0,5
1,20,100,100,7.688666378546442e-05,9.08672595119764e-05,0.6654367221059588,0.6656570106839961,0.7022028857803723,0.7091089327018395,0.6419238618598095,0.6422675803806399,0.6129654598141736,0.6626511310812415,478.2,1.914819563219924e-06,1.2614209831392417e-06,0.0,0.0,0.000867801403168963,0.0005367768666598232,0.0,0.0,0.0008694062788545271,0.0006064396892099064,1.095445115010335,5
1,20,100,250,0.00054338259464602,0.00056024389636944,0.6654367221059588,0.6656570106839961,0.7072695230752285,0.7087895142636855,0.6419238618598095,0.6422675803806399,0.6457003275436337,0.6804676144115633,77.0,9.877782914899066e-06,1.052847889795924e-05,0.0,0.0,0.0002658336465722582,0.000541558311221017,0.0,0.0,0.0005921365760909081,0.0004499876348180701,0.9999999999999987,5
1,20,250,50,1.975587054721533e-05,2.5013481257361256e-05,0.6654367221059588,0.6656570106839961,0.6859235598634211,0.6915959907478797,0.6419238618598095,0.6422675803806399,0.5992372203543817,0.6358966602615003,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,250,100,6.858238047829041e-05,8.070103833724012e-05,0.6654367221059588,0.6656570106839961,0.6987663839629915,0.7048793920035246,0.6419238618598095,0.6422675803806399,0.6065215706761556,0.6570601845253601,486.0,1.4179905240532025e-06,2.8932858991492376e-06,0.0,0.0,0.0006284018867979183,0.0014799966429140594,0.0,0.0,0.00300056406521131,0.0019210579950254545,2.8284271247461903,5
1,20,250,250,0.00074376380426776,0.00075052705008468,0.6654367221059588,0.6656570106839961,0.7078312589492235,0.7084370525388259,0.6419238618598095,0.6422675803806399,0.6335132555125835,0.6812680280591973,57.0,5.524983799324035e-06,7.047140800674622e-06,0.0,0.0,0.0003149240765611958,0.00040168702563741175,0.0,0.0,0.00053474845752727,0.00028089709791655594,0.0,5
1,20,500,50,2.5245943473078464e-05,3.244349107231465e-05,0.6654367221059588,0.6656570106839961,0.6909351250137681,0.6984249366670339,0.6419238618598095,0.6422675803806399,0.6119531416303097,0.6397522178091511,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,500,100,8.97905422770496e-05,0.0001055549436428,0.6654367221059588,0.6656570106839961,0.7085361823989427,0.7163233836325587,0.6419238618598095,0.6422675803806399,0.6322345765606625,0.6612658919544346,480.0,4.1048352929825565e-07,2.2946726879999304e-07,0.0,0.0,0.00019703209406312776,0.00011014428901858751,0.0,0.0,0.0006290676493465031,0.0001597142148528208,0.0,5
