disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
False,100,50,0.0003487902485589,0.0003814255934533,0.6654367221059588,0.6656570106839961,0.7125234056614165,0.7171494658001982,0.6419238618598095,0.6422675803806399,0.6387877065088894,0.6826880092033094,135.0,,,,,,,,,,,,1
False,100,100,0.0006756612356216,0.0007274454909065,0.6654367221059588,0.6656570106839961,0.7107060248926094,0.7143958585747329,0.6419238618598095,0.6422675803806399,0.6480184398475088,0.6823919171334052,67.0,,,,,,,,,,,,1
False,100,250,0.0009894628630172,0.0007856959283327,0.6654367221059588,0.6656570106839961,0.6951206079964753,0.6892278885339795,0.6419238618598095,0.6422675803806399,0.6172082309453661,0.6676274011267154,30.0,,,,,,,,,,,,1
False,250,50,0.0007336396393561,0.0005890752600191,0.6654367221059588,0.6656570106839961,0.706520541909902,0.698645225245071,0.6419238618598095,0.6422675803806399,0.642885599009235,0.6750599987638224,56.0,,,,,,,,,,,,1
False,250,100,0.0009006590299959,0.0007710100231302,0.6654367221059588,0.6656570106839961,0.7086683555457649,0.7026654917942504,0.6419238618598095,0.6422675803806399,0.6257244549721004,0.6750091275703577,48.0,,,,,,,,,,,,1
False,250,250,0.0025926271107458,0.0012920772365645,0.6654367221059588,0.6656570106839961,0.6991408745456548,0.6824540147593348,0.6419238618598095,0.6422675803806399,0.6294428836291122,0.6643235140348892,13.0,,,,,,,,,,,,1
False,500,50,0.0011431642117841,0.0009645969553448,0.6654367221059588,0.6656570106839961,0.7031611410948342,0.6974887102103756,0.6419238618598095,0.6422675803806399,0.6212076809249678,0.6732558673544125,33.0,,,,,,,,,,,,1
False,500,100,0.0013945688206389,0.0011636211178579,0.6654367221059588,0.6656570106839961,0.7086683555457649,0.7017292653375923,0.6419238618598095,0.6422675803806399,0.6509091758580231,0.6767247033290742,31.0,,,,,,,,,,,,1
False,500,250,0.0017997576825641,0.0012997026104196,0.6654367221059588,0.6656570106839961,0.7104306641700627,0.6981495759444872,0.6419238618598095,0.6422675803806399,0.6482196306362944,0.6748677046157029,25.0,,,,,,,,,,,,1
False,1000,50,0.0022611974627939,0.001422157143505,0.6654367221059588,0.6656570106839961,0.7038770789734552,0.6898336821235819,0.6419238618598095,0.6422675803806399,0.6318639716472916,0.6710962251598922,17.0,,,,,,,,,,,,1
False,1000,100,0.0025918328009692,0.0019378510849212,0.6654367221059588,0.6656570106839961,0.7069060469214671,0.6966626280427359,0.6419238618598095,0.6422675803806399,0.6398313461722205,0.6759375361480626,16.0,,,,,,,,,,,,1
False,1000,250,0.0021478136358629,0.0016044351433711,0.6654367221059588,0.6656570106839961,0.6976539266439035,0.6897235378345633,0.6419238618598095,0.6422675803806399,0.6401245861794937,0.6713985808189114,15.0,,,,,,,,,,,,1
True,50,25,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
True,50,50,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
True,100,25,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
