const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.5,2,250,0.45,0.0011733426344066,0.0009148095115712,0.6654367221059588,0.6656570106839961,0.7076770569445974,0.6985901531005617,0.6419238618598095,0.6422675803806399,0.6409464952049168,0.6735064004714473,36.0,,,,,,,,,,,,1
0.5,2,250,0.5,0.0012085276156209,0.0009316371112824,0.6654367221059588,0.6656570106839961,0.7089437162683115,0.6991959466901642,0.6419238618598095,0.6422675803806399,0.6409665585024747,0.6742594734074868,36.0,,,,,,,,,,,,1
0.5,2,250,0.55,0.0012085276156209,0.0009316371112824,0.6654367221059588,0.6656570106839961,0.7089437162683115,0.6991959466901642,0.6419238618598095,0.6422675803806399,0.6409665585024747,0.6742594734074868,36.0,,,,,,,,,,,,1
0.5,2,500,0.45,0.001899988985571,0.0016827599711177,0.6654367221059588,0.6656570106839961,0.6996365238462385,0.695946690164115,0.6419238618598095,0.6422675803806399,0.6231131937606976,0.6739033003493342,18.0,,,,,,,,,,,,1
0.5,2,500,0.5,0.0019305846214096,0.0016919386618692,0.6654367221059588,0.6656570106839961,0.7001872452913317,0.6961119065976429,0.6419238618598095,0.6422675803806399,0.6252918300917202,0.6740304104113044,18.0,,,,,,,,,,,,1
0.5,2,500,0.55,0.0019489420029127,0.0016582834624469,0.6654367221059588,0.6656570106839961,0.7005176781583875,0.6955061130080405,0.6419238618598095,0.6422675803806399,0.6262102215445315,0.6736108780528458,18.0,,,,,,,,,,,,1
0.5,2,1000,0.45,0.0044730819595892,0.003169707872869,0.6654367221059588,0.6656570106839961,0.7056944597422624,0.6941843815398172,0.6419238618598095,0.6422675803806399,0.6269611723639495,0.674708872359943,9.0,,,,,,,,,,,,1
0.5,2,1000,0.5,0.0044730819595892,0.003169707872869,0.6654367221059588,0.6656570106839961,0.7056944597422624,0.6941843815398172,0.6419238618598095,0.6422675803806399,0.6269611723639495,0.674708872359943,9.0,,,,,,,,,,,,1
0.5,2,1000,0.55,0.0044057715607445,0.0031758270000367,0.6654367221059588,0.6656570106839961,0.70508866615266,0.6942394536843265,0.6419238618598095,0.6422675803806399,0.6256885164768444,0.674664734325259,9.0,,,,,,,,,,,,1
0.5,3,250,0.45,0.0012115871792047,0.0009469349292016,0.6654367221059588,0.6656570106839961,0.7090538605573301,0.6997466681352572,0.6419238618598095,0.6422675803806399,0.6393882452517446,0.6746622445867643,36.0,,,,,,,,,,,,1
0.5,3,250,0.5,0.0012131169609966,0.0009652923107047,0.6654367221059588,0.6656570106839961,0.7091089327018394,0.7004075338693688,0.6419238618598095,0.6422675803806399,0.6413610774885176,0.6754213300022291,36.0,,,,,,,,,,,,1
0.5,3,250,0.55,0.0012207658699563,0.0009530540563693,0.6654367221059588,0.6656570106839961,0.7093842934243859,0.6999669567132945,0.6419238618598095,0.6422675803806399,0.6414676357241667,0.6750085301207385,36.0,,,,,,,,,,,,1
0.5,3,500,0.45,0.0021569923266145,0.0018296190231425,0.6654367221059588,0.6656570106839961,0.7042625839850204,0.6985901531005617,0.6419238618598095,0.6422675803806399,0.6412905357109354,0.6765592593116587,18.0,,,,,,,,,,,,1
0.5,3,500,0.5,0.0020958010549375,0.0018112616416394,0.6654367221059588,0.6656570106839961,0.7031611410948342,0.6982597202335059,0.6419238618598095,0.6422675803806399,0.6383675355299216,0.6761446957494073,18.0,,,,,,,,,,,,1
0.5,3,500,0.55,0.0020988606185213,0.0018173807688071,0.6654367221059588,0.6656570106839961,0.7032162132393436,0.6983698645225245,0.6419238618598095,0.6422675803806399,0.6373807259647837,0.6761427051625286,18.0,,,,,,,,,,,,1
0.5,3,1000,0.45,0.0038275140433968,0.0027673752615926,0.6654367221059588,0.6656570106839961,0.6960568344531336,0.6877960127767375,0.6419238618598095,0.6422675803806399,0.6191662256243483,0.6704401893938696,8.0,,,,,,,,,,,,1
0.5,3,1000,0.5,0.0038275140433968,0.0027673752615926,0.6654367221059588,0.6656570106839961,0.6960568344531336,0.6877960127767375,0.6419238618598095,0.6422675803806399,0.6191662256243483,0.6704401893938696,8.0,,,,,,,,,,,,1
