const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.5,2,100,0.45,0.00510970914726,0.0051598672327142,0.3324775353016688,0.3364114456085138,0.6952668847571328,0.7027620191312269,0.302549740639592,0.3063176653290411,0.6943704066125039,0.7019418762587208,8.497826086956522,339.9130434782609,40.0,0.0,71.0,,,,,,,,,,,,,,,,1
0.5,2,100,0.5,0.0048554115422308,0.0049100721907049,0.3324775353016688,0.3364114456085138,0.6966334009689842,0.7046668599113834,0.302549740639592,0.3063176653290411,0.6954884160788453,0.7036914339701602,1.5155724993538382,321.3013698630137,212.0,0.0,75.0,,,,,,,,,,,,,,,,1
0.5,2,100,0.55,0.0044005255986967,0.0044727398700547,0.3324775353016688,0.3364114456085138,0.693320634394799,0.7031761149530001,0.302549740639592,0.3063176653290411,0.6921957439482763,0.7023968336144598,1.3961904761904762,293.2,210.0,0.0,82.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.45,0.02065363807538,0.0205050507510967,0.3324775353016688,0.3364114456085138,0.6835893825831297,0.6849973083771584,0.302549740639592,0.3063176653290411,0.6822056478367954,0.6836637064322586,4.833226152197214,1503.1333333333334,311.0,0.0,17.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.5,0.0194671046880248,0.0193313732797769,0.3324775353016688,0.3364114456085138,0.6828854196861154,0.6843761646444987,0.302549740639592,0.3063176653290411,0.6815836277276364,0.6830481931424887,4.531350482315113,1409.25,311.0,0.0,18.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.55,0.0175121123027868,0.0174499979295208,0.3324775353016688,0.3364114456085138,0.6827197813574061,0.6854114041989317,0.302549740639592,0.3063176653290411,0.6810631654890611,0.683673194488262,4.027867095391211,1252.6666666666667,311.0,0.0,20.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.45,0.0565654892542134,0.0559029359393763,0.3324775353016688,0.3364114456085138,0.6718704708269494,0.671829061244772,0.302549740639592,0.3063176653290411,0.6688053744971003,0.6687566732840552,0.5726120315801179,5149.5,8993.0,0.0,6.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.5,0.0565654892542134,0.0559029359393763,0.3324775353016688,0.3364114456085138,0.6718704708269494,0.671829061244772,0.302549740639592,0.3063176653290411,0.6688053744971003,0.6687566732840552,0.5726120315801179,5149.5,8993.0,0.0,6.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.55,0.0565654892542134,0.0559098375364059,0.3324775353016688,0.3364114456085138,0.6718704708269494,0.6718704708269494,0.302549740639592,0.3063176653290411,0.6688151706378553,0.6688097813738091,0.5726479092526691,5149.25,8992.0,0.0,6.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.45,0.0658163899126258,0.064963352519773,0.3324775353016688,0.3364114456085138,0.6615594848647978,0.6612282082073792,0.302549740639592,0.3063176653290411,0.6582328604768801,0.6579857408130856,9.33098260460743,6615.666666666667,709.0,0.0,5.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.5,0.0659985920742059,0.0651455546813532,0.3324775353016688,0.3364114456085138,0.6624704956726987,0.6621392190152802,0.302549740639592,0.3063176653290411,0.6592344347742106,0.658878286474143,9.505268199233717,6615.666666666667,696.0,0.0,5.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.55,0.0660151559070768,0.0651704004306596,0.3324775353016688,0.3364114456085138,0.6625533148370533,0.6622634477618121,0.302549740639592,0.3063176653290411,0.6593140930448796,0.6589937594103482,9.504789272030653,6615.333333333333,696.0,0.0,5.0,,,,,,,,,,,,,,,,1
0.5,3,100,0.45,0.0076933717355813,0.0077233276035393,0.3324775353016688,0.3364114456085138,0.6940660068739907,0.6994078429748644,0.302549740639592,0.3063176653290411,0.6928760293434492,0.6982646863426965,2.4138888888888888,521.4,216.0,0.0,47.0,,,,,,,,,,,,,,,,1
0.5,3,100,0.5,0.0072425359228125,0.007269038055406,0.3324775353016688,0.3364114456085138,0.6946043314422957,0.6998633483788148,0.302549740639592,0.3063176653290411,0.6935402964791639,0.6987803477924954,2.278452932098765,492.1458333333333,216.0,0.0,50.0,,,,,,,,,,,,,,,,1
0.5,3,100,0.55,0.0066608079776326,0.0067190881303266,0.3324775353016688,0.3364114456085138,0.6921611660938342,0.6992422046461552,0.302549740639592,0.3063176653290411,0.6911644386099569,0.6982699059762734,2.142870101596517,454.2884615384616,212.0,0.0,54.0,,,,,,,,,,,,,,,,1
0.5,3,250,0.45,0.038340672031508,0.0379587836625395,0.3324775353016688,0.3364114456085138,0.6775435835852416,0.6780404985713694,0.302549740639592,0.3063176653290411,0.6745527994959618,0.6750687441361279,8.659340659340659,2926.8571428571427,338.0,0.0,9.0,,,,,,,,,,,,,,,,1
0.5,3,250,0.5,0.0383682784196263,0.0379817889859713,0.3324775353016688,0.3364114456085138,0.6777920410783055,0.678247546482256,0.302549740639592,0.3063176653290411,0.6748049526439148,0.6752599927472506,8.660185967878276,2927.1428571428573,338.0,0.0,9.0,,,,,,,,,,,,,,,,1
0.5,3,250,0.55,0.0383682784196263,0.0379817889859713,0.3324775353016688,0.3364114456085138,0.6777920410783055,0.678247546482256,0.302549740639592,0.3063176653290411,0.6748049526439148,0.6752599927472506,8.660185967878276,2927.1428571428573,338.0,0.0,9.0,,,,,,,,,,,,,,,,1
0.5,3,500,0.45,0.0567932419561886,0.0560685742680856,0.3324775353016688,0.3364114456085138,0.6732369870388007,0.6728228912170277,0.302549740639592,0.3063176653290411,0.670324306531222,0.66989574557194,0.5716946513955299,5141.25,8993.0,0.0,6.0,,,,,,,,,,,,,,,,1
0.5,3,500,0.5,0.0568208483443068,0.0561099838502629,0.3324775353016688,0.3364114456085138,0.67340262536751,0.6730713487100916,0.302549740639592,0.3063176653290411,0.6705176950089616,0.6701674788855644,0.5718694395017794,5142.25,8992.0,0.0,6.0,,,,,,,,,,,,,,,,1
0.5,3,500,0.55,0.0567380291799522,0.0560823774621447,0.3324775353016688,0.3364114456085138,0.6729057103813822,0.6729057103813822,0.302549740639592,0.3063176653290411,0.6700266492202593,0.6699649832166021,0.5718972419928826,5142.5,8992.0,0.0,6.0,,,,,,,,,,,,,,,,1
