confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.01,0.01,2,100,0.02086552725359466,0.0206357954171771,0.3324775353016688,0.3364114456085138,0.6828274462710672,0.6829102654354218,0.302549740639592,0.3063176653290411,0.6800561866951012,0.6802028811213124,76.00380952380952,1368.0685714285714,18.0,0.0,16.8,0.0005337127854405366,0.0005102237038004391,0.0,0.0,0.0006852003409457332,0.0009629842629507512,0.0,0.0,0.00012775874770398836,0.00039920013769440655,2.3936575301997682,43.08583554359594,0.0,0.0,0.44721359549995815,5
0.01,0.01,2,250,0.02490952006294254,0.02471254848371912,0.3324775353016688,0.3364114456085138,0.6884177398650048,0.6895440805002278,0.302549740639592,0.3063176653290411,0.6868617530880502,0.6880078055534893,10.181867100036113,1872.0338461538463,188.8,0.0,14.4,0.002568575332139803,0.002541722886345986,0.0,0.0,0.0010555789036190589,0.0011296546161537564,0.0,0.0,0.0009201359404265837,0.0010216026419336622,1.1815144852191013,234.43281633077964,53.218417864494995,0.0,1.3416407864998738,5
0.01,0.01,2,500,0.02374907795422096,0.02352950705760342,0.3324775353016688,0.3364114456085138,0.6733446519524617,0.6741314340138308,0.302549740639592,0.3063176653290411,0.6711400698055282,0.6718188758652255,3.575881496471692,1668.8149184149183,472.4,0.0,14.4,0.0015648744555225855,0.0015446398360967274,0.0,0.0,0.0004843328176640907,0.00025120296307263955,0.0,0.0,0.0005130317708070993,0.0002804280577512491,0.5645024439663707,126.74431022031006,50.53513629149524,0.0,0.8944271909999159,5
0.01,0.01,2,1000,0.03899250486562588,0.03851443123938874,0.3324775353016688,0.3364114456085138,0.6577829309702266,0.6577498033044846,0.302549740639592,0.3063176653290411,0.6559303900045281,0.6559199777993887,1.785938879627293,3268.8666666666663,3185.8,0.0,8.4,0.003119268892881811,0.0030520826428215827,0.0,0.0,0.004953458461155439,0.005216210415556885,0.0,0.0,0.0050043045693892434,0.005195173768401619,2.000523168337203,387.9030233905833,1512.6041121192286,0.0,0.8944271909999157,5
0.01,0.01,3,100,0.0146596179653373,0.014591688364944141,0.3324775353016688,0.3364114456085138,0.6850718456250776,0.6874321918091846,0.302549740639592,0.3063176653290411,0.6836646233414314,0.6860425345856622,32.60970635706017,1059.6852318052318,54.6,0.0,25.0,0.003640587817109887,0.0036075228560210138,0.0,0.0,0.005020508399541985,0.0048617389009427536,0.0,0.0,0.0051175913839292255,0.004991909607716625,33.170621961280816,279.13665397607383,40.519131283876256,0.0,4.8476798574163285,5
0.01,0.01,3,250,0.02631010008023544,0.026152451677318077,0.3324775353016688,0.3364114456085138,0.6886165058594559,0.6905710381382252,0.302549740639592,0.3063176653290411,0.6858249347059309,0.6878647527646885,332.2868286520804,2009.1176948051948,115.0,0.0,14.4,0.008213032330701097,0.008107871520076236,0.0,0.0,0.004041583706067231,0.003441308191678644,0.0,0.0,0.002445022886666566,0.0022982484097122846,439.07744320998444,729.8931784939213,106.72160043777454,0.0,3.5071355833500366,5
0.01,0.01,3,500,0.03036236215829568,0.030034497367306116,0.3324775353016688,0.3364114456085138,0.6765663174458569,0.6768064930224854,0.302549740639592,0.3063176653290411,0.6745940087518634,0.6747779325071811,35.12798006233478,2443.248051948052,222.0,0.0,11.6,0.005218526543536208,0.005149531703261866,0.0,0.0,0.0050778347127643664,0.005301671894979973,0.0,0.0,0.0044621855613507806,0.004676574320108641,44.64852238819976,553.9002962341916,211.8442824340558,0.0,1.949358868961793,5
0.01,0.01,3,1000,0.03986592497503918,0.039444007343299184,0.3324775353016688,0.3364114456085138,0.6585034577001119,0.6590003726862396,0.302549740639592,0.3063176653290411,0.6566076124757143,0.6570986596455638,4.16733588696775,3109.4285714285716,747.8,0.0,8.4,0.008243895941322287,0.00814385226136081,0.0,0.0,0.0011764986281555514,0.0009431026658996347,0.0,0.0,0.0011492187568271917,0.0008849326254842632,1.1636884661605738,874.2543820249323,53.14790682613945,0.0,1.3416407864998738,5
0.01,0.1,2,100,0.007090675034715341,0.00715142780187424,0.3324775353016688,0.3364114456085138,0.6955484699159385,0.7027371733819205,0.302549740639592,0.3063176653290411,0.6938606173577098,0.7011010153165378,6.504967431568986,482.7815686034306,91.8,0.0,52.0,0.0009767647672471946,0.0009630558523179944,0.0,0.0,0.001250336259729435,0.002347890444476024,0.0,0.0,0.0013969322827078248,0.0022641827989819743,3.96031826304788,67.19779744133031,38.34318713930807,0.0,7.280109889280518,5
0.01,0.1,2,250,0.01084007195759778,0.01083611660766556,0.3324775353016688,0.3364114456085138,0.6975030021947078,0.7013292475878918,0.302549740639592,0.3063176653290411,0.6951165692723926,0.6991078663845773,4.945226304208662,735.9576569617745,156.6,0.0,34.0,0.001256358702067813,0.0012469176916524575,0.0,0.0,0.0026245313474662717,0.002442217657270576,0.0,0.0,0.0026830922520965006,0.0025696737224598556,1.2673095607237341,84.80604596440475,39.74669797605834,0.0,3.5355339059327378,5
