n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
50,0.1,0.6,0.0059972525136973796,0.0029192587383450397,0.3580895223805951,0.3328332083020755,0.8078519629907477,0.5517879469867466,0.3091919346654753,0.2535892231258899,0.8090102749466908,0.5342732830611517,75.0,6.475636826390689e-05,5.856991385867983e-05,0.0,0.0,0.0024411532606883222,0.005417187566112431,0.0,0.0,0.002736551285879153,0.005472720131208603,0.7071067811865469,5
50,0.1,0.7,0.00620447534225826,0.00294958324870728,0.3580895223805951,0.3328332083020755,0.8035508877219305,0.5445861465366342,0.3091919346654753,0.2535892231258899,0.804232452482097,0.5260778688619953,71.8,9.433133565394041e-05,0.00011143507523455797,0.0,0.0,0.007129194171024945,0.007471389250990473,0.0,0.0,0.007387930592362305,0.00806734374085585,0.8366600265340751,5
50,0.1,0.8,0.006493284580067741,0.00310505919795974,0.3580895223805951,0.3328332083020755,0.8008502125531383,0.5445861465366342,0.3091919346654753,0.2535892231258899,0.8020281641626262,0.5264593038570544,68.2,0.00011567740968823006,5.3514288133798494e-05,0.0,0.0,0.004831451127877376,0.004314574905461151,0.0,0.0,0.00515000679336347,0.0037014094167767677,1.095445115010332,5
50,0.5,0.6,0.006199362626044621,0.00302638463515664,0.3580895223805951,0.3328332083020755,0.8143035758939735,0.555588897224306,0.3091919346654753,0.2535892231258899,0.8152569151220621,0.5447478864444748,73.6,8.522268375524762e-05,6.79377875716889e-05,0.0,0.0,0.0016454797575755921,0.006373896825428727,0.0,0.0,0.0016716907770804009,0.006258811868275596,0.8944271909999157,5
50,0.5,0.7,0.00656102655496074,0.0029377156717719398,0.3580895223805951,0.3328332083020755,0.8106526631657914,0.5355338834708677,0.3091919346654753,0.2535892231258899,0.8113484977009305,0.519994081930008,69.0,0.00016970943020913775,2.7290085209400934e-05,0.0,0.0,0.005892143625915722,0.003948296284153276,0.0,0.0,0.005894714206411653,0.0034849005289372586,1.224744871391588,5
50,0.5,0.8,0.0084319438406526,0.00376490849773364,0.3580895223805951,0.3328332083020755,0.7889472368092023,0.5255813953488373,0.3091919346654753,0.2535892231258899,0.7897486361593686,0.5099251470668787,51.4,0.0007102582364583281,0.00023836148386150837,0.0,0.0,0.005057201404390298,0.008273631138006656,0.0,0.0,0.005015020270316534,0.009561872132729788,4.505552130427524,5
50,1.0,0.6,0.00621638747871874,0.0027662840271746,0.3580895223805951,0.3328332083020755,0.8088022005501376,0.5334833708427107,0.3091919346654753,0.2535892231258899,0.8099933662209736,0.5152184689831947,72.6,0.0002459892104443098,7.552459757956587e-05,0.0,0.0,0.00221978904937953,0.003277631883533023,0.0,0.0,0.0022622853963642164,0.003760372439093123,3.0495901363953806,5
50,1.0,0.7,0.00717887519202738,0.00299452036688134,0.3580895223805951,0.3328332083020755,0.7827956989247312,0.5100275068767192,0.3091919346654753,0.2535892231258899,0.7839791121865406,0.4906984196535631,59.2,0.00017101091053569958,7.586378713965562e-05,0.0,0.0,0.006771571030508712,0.005144850152064776,0.0,0.0,0.006954649707243441,0.005231023958327102,2.1679483388678795,5
50,1.0,0.8,0.01207955521971452,0.00456269818225302,0.3580895223805951,0.3328332083020755,0.7504876219054764,0.48147036759189793,0.3091919346654753,0.2535892231258899,0.7510725598830893,0.45416400047459626,32.8,0.0013006285691348645,0.00038471669214373404,0.0,0.0,0.0037526044475727793,0.008038255578048124,0.0,0.0,0.0035966522389388783,0.010443893405568713,3.70135110466435,5
125,0.1,0.6,0.013267833087304021,0.00462050996620116,0.3580895223805951,0.3328332083020755,0.7693923480870217,0.47606901725431355,0.3091919346654753,0.2535892231258899,0.7700837519113406,0.4496228633669494,31.0,6.412766712440497e-05,9.414027352578609e-05,0.0,0.0,0.001987957680855415,0.0029183484792988388,0.0,0.0,0.0022534360428940266,0.004625473515825614,0.0,5
125,0.1,0.7,0.013222883028877318,0.00462295774166006,0.3580895223805951,0.3328332083020755,0.7627906976744186,0.4740685171292823,0.3091919346654753,0.2535892231258899,0.763220100253097,0.44857305652437773,30.6,0.00011562633283372569,0.00033514060042060017,0.0,0.0,0.015171192047718546,0.006172037316919152,0.0,0.0,0.01442735967916122,0.007965806077758824,0.8944271909999157,5
125,0.1,0.8,0.01395065515147254,0.00438083658845742,0.3580895223805951,0.3328332083020755,0.7541385346336584,0.45721430357589393,0.3091919346654753,0.2535892231258899,0.7558887165778857,0.4298239142084719,28.4,0.00037175467573048493,0.0006511729461012301,0.0,0.0,0.004759077956489731,0.018663276431905473,0.0,0.0,0.005085184869917863,0.024366349275271253,0.5477225575051664,5
125,0.5,0.6,0.014129763968085598,0.004447663640047899,0.3580895223805951,0.3328332083020755,0.7564891222805701,0.4583645911477869,0.3091919346654753,0.2535892231258899,0.7590691767806511,0.42531009268653597,28.2,0.00019776660036464183,0.0003381426905346599,0.0,0.0,0.0033287444445698755,0.011490637890360604,0.0,0.0,0.002586458358095031,0.014900398527533007,0.44721359549995765,5
125,0.5,0.7,0.0169117545714303,0.0050822589893661394,0.3580895223805951,0.3328332083020755,0.7321830457614403,0.44566141535383846,0.3091919346654753,0.2535892231258899,0.7346761240616271,0.4110482362180319,22.2,0.0009394573305608046,0.00042807539593110207,0.0,0.0,0.014491764643946714,0.013360688337045795,0.0,0.0,0.013994953702190513,0.017885048161505844,1.9235384061671346,5
125,0.5,0.8,0.03543302492289736,0.009740351754605279,0.3580895223805951,0.3328332083020755,0.6596649162290572,0.4142535633908476,0.3091919346654753,0.2535892231258899,0.6564694929904414,0.37259056109127064,9.0,0.008259217848271338,0.0031018464851638784,0.0,0.0,0.03426723359506754,0.007153274178140428,0.0,0.0,0.03875893016427476,0.007591698611979041,2.6457513110645907,5
125,1.0,0.6,0.01616977962439322,0.0052385596399099395,0.3580895223805951,0.3328332083020755,0.7620405101275318,0.4637659414853713,0.3091919346654753,0.2535892231258899,0.7635989246041507,0.4398906277021828,25.0,0.0004164343536901936,0.0001637371088879306,0.0,0.0,0.008563682837911098,0.0059085703363639065,0.0,0.0,0.008986901963209,0.006196435519041429,1.0,5
125,1.0,0.7,0.0254570373362571,0.0068599040785837,0.3580895223805951,0.3328332083020755,0.7009752438109528,0.42510627656914224,0.3091919346654753,0.2535892231258899,0.7025520370211867,0.3840704550541483,13.6,0.002299376294651745,0.0008443892910488414,0.0,0.0,0.014009527871020677,0.00680013735478225,0.0,0.0,0.014733179749891426,0.004991750442155059,1.8165902124584947,5
125,1.0,0.8,0.07860715178794693,0.033687588563807595,0.3580895223805951,0.3328332083020755,0.6067016754188547,0.43950987746936726,0.3091919346654753,0.2535892231258899,0.5975471883070016,0.3794325912476372,3.2,0.008191646879312786,0.0031405972677228935,0.0,0.0,0.004025928841710021,0.003131277987996713,0.0,0.0,0.004757249098382303,0.006326036336260892,0.4472135954999579,5
250,0.1,0.6,0.023394737573282132,0.005062376705287399,0.3580895223805951,0.3328332083020755,0.7090105859798284,0.408768858881387,0.3091919346654753,0.2535892231258899,0.7075257285163342,0.3742128169545995,15.0,0.00019249821428344002,7.699928571332999e-05,0.0,0.0,0.002887473214251691,0.001154989285700657,0.0,0.0,0.002384718750380625,0.0028833243447701365,0.0,3
250,0.1,0.7,0.02464616154038506,0.00516129032258056,0.3580895223805951,0.3328332083020755,0.7277819454863715,0.41025256314078523,0.3091919346654753,0.2535892231258899,0.7291602105044073,0.3733356898396736,15.0,0.0006333381404881181,0.0006512943173824148,0.0,0.0,0.009500072107321674,0.009769414760736311,0.0,0.0,0.009315807643393178,0.010564965759449175,0.0,5
250,0.1,0.8,0.02745948724943468,0.0063602730519459,0.3580895223805951,0.3328332083020755,0.697024256064016,0.41125281320330076,0.3091919346654753,0.2535892231258899,0.694966062227495,0.37289676565306556,12.4,0.002224658306216352,0.000730468909302127,0.0,0.0,0.005911215530719595,0.005229237109877328,0.0,0.0,0.005618733927559988,0.008464211574403562,0.8944271909999161,5
250,0.5,0.6,0.025647345902409618,0.00712623210747738,0.3580895223805951,0.3328332083020755,0.7117279319829957,0.4312078019504876,0.3091919346654753,0.2535892231258899,0.7114321381720561,0.4008880909607269,13.8,0.0008384901441291721,0.00023910352442546925,0.0,0.0,0.0022183801066483315,0.005370816607617709,0.0,0.0,0.00320862858571767,0.007329710814297698,0.44721359549995776,5
