n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
2,100,0.005,0.0107724299495926,0.0046393177241678,0.3580895223805951,0.3328332083020755,0.7674418604651163,0.5091272818204551,0.3091919346654753,0.2535892231258899,0.7702051251939854,0.4873271312932806,38.0,,,,,,,,,,,,1
2,100,0.05,0.0106342375067451,0.0040207420276121,0.3580895223805951,0.3328332083020755,0.7621905476369092,0.4856214053513378,0.3091919346654753,0.2535892231258899,0.7651309440770306,0.4557962189728924,38.0,,,,,,,,,,,,1
2,250,0.005,0.0251312828207051,0.0051441431786518,0.3580895223805951,0.3328332083020755,0.7099274818704676,0.4048512128032008,0.3091919346654753,0.2535892231258899,0.711224143546598,0.3593698303491218,14.0,,,,,,,,,,,,1
2,250,0.05,0.0213803450862715,0.0058943307255385,0.3580895223805951,0.3328332083020755,0.6574143535883971,0.4153538384596149,0.3091919346654753,0.2535892231258899,0.6595435245793165,0.3757452897902845,14.0,,,,,,,,,,,,1
2,500,0.005,0.0457197632741518,0.0153788447111777,0.3580895223805951,0.3328332083020755,0.6324081020255063,0.4251062765691423,0.3091919346654753,0.2535892231258899,0.6280526286911555,0.3849153940656061,6.0,,,,,,,,,,,,1
2,1000,0.005,0.1072768192048011,0.0470117529382345,0.3580895223805951,0.3328332083020755,0.5726431607901975,0.4268567141785446,0.3091919346654753,0.2535892231258899,0.5479337407819374,0.370744039464777,2.0,,,,,,,,,,,,1
2,1000,0.05,0.1072768192048011,0.0470117529382345,0.3580895223805951,0.3328332083020755,0.5726431607901975,0.4268567141785446,0.3091919346654753,0.2535892231258899,0.5479337407819374,0.370744039464777,2.0,,,,,,,,,,,,1
3,100,0.005,0.0107724299495926,0.0046393177241678,0.3580895223805951,0.3328332083020755,0.7674418604651163,0.5091272818204551,0.3091919346654753,0.2535892231258899,0.7702051251939854,0.4873271312932806,38.0,,,,,,,,,,,,1
3,100,0.05,0.0107461075795264,0.0041457732854266,0.3580895223805951,0.3328332083020755,0.7664416104026006,0.4903725931482871,0.3091919346654753,0.2535892231258899,0.7691444431230435,0.4616474023608953,38.0,,,,,,,,,,,,1
3,250,0.005,0.0252741756867788,0.0055013753438359,0.3580895223805951,0.3328332083020755,0.7119279819954989,0.4098524631157789,0.3091919346654753,0.2535892231258899,0.7131640456174114,0.3677744567940192,14.0,,,,,,,,,,,,1
3,250,0.05,0.0213803450862715,0.0058943307255385,0.3580895223805951,0.3328332083020755,0.6574143535883971,0.4153538384596149,0.3091919346654753,0.2535892231258899,0.6595435245793165,0.3757452897902845,14.0,,,,,,,,,,,,1
3,500,0.005,0.0457197632741518,0.0153788447111777,0.3580895223805951,0.3328332083020755,0.6324081020255063,0.4251062765691423,0.3091919346654753,0.2535892231258899,0.6280526286911555,0.3849153940656061,6.0,,,,,,,,,,,,1
3,1000,0.005,0.1072768192048011,0.0470117529382345,0.3580895223805951,0.3328332083020755,0.5726431607901975,0.4268567141785446,0.3091919346654753,0.2535892231258899,0.5479337407819374,0.370744039464777,2.0,,,,,,,,,,,,1
3,1000,0.05,0.1072768192048011,0.0470117529382345,0.3580895223805951,0.3328332083020755,0.5726431607901975,0.4268567141785446,0.3091919346654753,0.2535892231258899,0.5479337407819374,0.370744039464777,2.0,,,,,,,,,,,,1
