n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
1,10,100,50,0.005920494208059,0.002630939424997,0.3580895223805951,0.3328332083020755,0.7784446111527882,0.5196299074768692,0.3091919346654753,0.2535892231258899,0.7793648317442052,0.5027238065844465,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,100,100,0.009576144036008979,0.0035471367841959796,0.3580895223805951,0.3328332083020755,0.7411352838209553,0.47471867966991743,0.3091919346654753,0.2535892231258899,0.7422397845350404,0.4464979644311171,40.0,4.1089464178947536e-05,3.424122014898461e-06,0.0,0.0,0.0016435785671572824,0.00013696488059643537,0.0,0.0,0.0015658368371273528,0.00011017987712355193,0.0,5
1,10,100,250,0.01938131591721454,0.005593228372452541,0.3580895223805951,0.3328332083020755,0.7028757189297324,0.4323580895223806,0.3091919346654753,0.2535892231258899,0.704171605295704,0.38981914509527416,17.8,0.0005793489525496623,9.888531919056962e-05,0.0,0.0,0.0026955764897647937,0.0009187883506313651,0.0,0.0,0.0022490981232495865,0.0013318545678467303,0.44721359549995815,5
1,10,250,50,0.007559925695709599,0.0033579823527310005,0.3580895223805951,0.3328332083020755,0.781445361340335,0.5208802200550138,0.3091919346654753,0.2535892231258899,0.7840484371001344,0.5093024680898673,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,100,0.011710503383421559,0.0041176960906892605,0.3580895223805951,0.3328332083020755,0.7445361340335084,0.4687171792948237,0.3091919346654753,0.2535892231258899,0.7474300890127605,0.4488784817563939,33.0,2.372180293937536e-05,2.8149727766801353e-05,0.0,0.0,0.0007828194969992109,0.0009289410163044335,0.0,0.0,0.0004010297810035427,0.0008524236349459656,0.0,5
1,10,250,250,0.0198579056528838,0.005492549607990201,0.3580895223805951,0.3328332083020755,0.6956739184796199,0.4262065516379095,0.3091919346654753,0.2535892231258899,0.6943672611751408,0.39061122524636954,17.0,0.0,3.222703072857008e-05,0.0,0.0,0.0,0.0005478595223857675,0.0,0.0,1.782953344697379e-05,0.0008180345355494085,0.0,5
1,10,500,50,0.007216982817132759,0.00303736648447826,0.3580895223805951,0.3328332083020755,0.7622405601400349,0.5029257314328582,0.3091919346654753,0.2535892231258899,0.7638498300534977,0.48375345997604924,56.0,2.795783917852999e-05,1.996988512752198e-06,0.0,0.0,0.0015656389939983505,0.00011183135671415681,0.0,0.0,0.001478141690713432,0.00010583715636073191,0.0,5
1,10,500,100,0.0114649874589859,0.0040085779020512,0.3580895223805951,0.3328332083020755,0.7364341085271318,0.4651162790697674,0.3091919346654753,0.2535892231258899,0.7389849816069676,0.438041679100614,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.446517832521683e-06,2.1957666348446327e-05,0.0,5
1,10,500,250,0.02159914978744682,0.00557014253563384,0.3580895223805951,0.3328332083020755,0.7036759189797449,0.421955488872218,0.3091919346654753,0.2535892231258899,0.704041479256046,0.3782713278459292,16.0,0.00010484189691953171,8.387351753563466e-05,0.0,0.0,0.001677470350712495,0.0013419762805700502,0.0,0.0,0.001820297317470807,0.004437824813451706,0.0,5
1,10,1000,50,0.0081440814749141,0.0034326763509058998,0.3580895223805951,0.3328332083020755,0.7164291072768192,0.4838709677419355,0.3091919346654753,0.2535892231258899,0.7195459681236522,0.4610128539218959,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,100,0.014916772671428703,0.005860160692347,0.3580895223805951,0.3328332083020755,0.7011752938234559,0.46761690422605645,0.3091919346654753,0.2535892231258899,0.7023418570916218,0.4366530772331597,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,250,0.0230249870159847,0.0070209860157347,0.3580895223805951,0.3328332083020755,0.6574143535883971,0.4241060265066266,0.3091919346654753,0.2535892231258899,0.6547233921765923,0.3824876035644223,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
