n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
1,10,100,50,0.00029340501377216,0.00034148346758739996,0.4949571404242435,0.4941245482241186,0.6164853255624727,0.635566824985335,0.4817658322388296,0.4808630691011386,0.6160066047613704,0.6345226881608717,4.343697544757309,128.35387123064385,29.6,0.0,414.2,4.795421507708023e-07,4.90575166559351e-07,0.0,0.0,6.769937298237914e-05,5.077452973677311e-05,0.0,0.0,6.909970496116447e-05,5.2207765043944716e-05,0.20457794700151125,0.14041486362375502,1.3416407864998738,0.0,0.44721359549995715,5
1,10,100,100,0.00044866309409658,0.0004948312622627,0.4949571404242435,0.4941245482241186,0.6336821390050523,0.6471247185270688,0.4817658322388296,0.4808630691011386,0.6329927770650764,0.6459460257474661,2.9492234687519394,172.23465057511328,58.4,0.0,309.2,1.8601044513314482e-06,1.889629918775491e-06,0.0,0.0,8.291445985660298e-05,4.145722992834667e-05,0.0,0.0,9.599766605921068e-05,5.4746006354639594e-05,0.010669459847814006,0.6230964551123642,0.0,0.0,1.095445115010327,5
1,10,100,250,0.0009194063096963001,0.0009727522452611,0.4949571404242435,0.4941245482241186,0.65253278331788,0.6608435672791265,0.4817658322388296,0.4808630691011386,0.6500073346192077,0.6582419047573542,4.893460854153291,317.0962633491332,64.8,0.0,171.4,8.867073100454048e-06,8.898745745885985e-06,0.0,0.0,0.0002833963799313726,0.0001927872632610597,0.0,0.0,0.0002657398099010054,0.0001665928283130431,0.04479790237838834,2.902904074119549,0.0,0.0,1.5165750888103104,5
1,10,250,50,0.0004914588422339,0.000541435472555,0.4949571404242435,0.4941245482241186,0.6360058281454009,0.6495165288474275,0.4817658322388296,0.4808630691011386,0.6338467111636935,0.6473474624916425,1.632038476693206,185.72597864768684,113.8,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,100,0.00056053475604888,0.00061919178494052,0.4949571404242435,0.4941245482241186,0.6386776922058017,0.6528847427479327,0.4817658322388296,0.4808630691011386,0.636752127867617,0.6509064991240611,2.266837275626345,209.00239681274903,92.2,0.0,256.4,1.277264789999822e-06,1.321688651746268e-06,0.0,0.0,2.0728614964156867e-05,0.0,0.0,0.0,1.9783169947520256e-05,4.692810655769787e-06,0.004954500838204767,0.4568049772824916,0.0,0.0,0.5477225575051667,5
1,10,250,250,0.00094347079090422,0.00099881512390332,0.4949571404242435,0.4941245482241186,0.650439949287566,0.6587280261888092,0.4817658322388296,0.4808630691011386,0.6476578464714896,0.6557882098213529,2.6034027364184302,329.07010588328956,126.4,0.0,164.8,3.5002977908642375e-06,3.6065028999040837e-06,0.0,0.0,0.00022957974360854246,0.0001898866343111773,0.0,0.0,0.000247460089936988,0.00020442039060546564,0.007359526537851177,0.9302441543844281,0.0,0.0,0.44721359549995515,5
1,10,500,50,0.0006999558354823,0.0007511002748768,0.4949571404242435,0.4941245482241186,0.6433477775465022,0.6533578064980037,0.4817658322388296,0.4808630691011386,0.6407376521662419,0.6506413644082224,0.7717014458679683,251.11165048543688,325.4,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,100,0.0007080262193005,0.0007599511313936,0.4949571404242435,0.4941245482241186,0.6443506726966526,0.6544742369481711,0.4817658322388296,0.4808630691011386,0.6418417451039161,0.6519587350012954,1.1228361752644074,253.7609756097561,226.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,250,0.0009826634929146,0.0010290772948084,0.4949571404242435,0.4941245482241186,0.6512006357976801,0.6577478380986622,0.4817658322388296,0.4808630691011386,0.6484092209182165,0.6548163901688012,1.3619103295360584,338.0261437908497,248.2,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,50,0.0008741790473062001,0.0009144830097416,0.4949571404242435,0.4941245482241186,0.649686831797453,0.6559880409483982,0.4817658322388296,0.4808630691011386,0.6469877528787761,0.6531556623088485,1.0663029223269738,302.4035087719298,283.6,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,100,0.0009208214392946998,0.0009664179453256,0.4949571404242435,0.4941245482241186,0.647813499347172,0.6545499271481825,0.4817658322388296,0.4808630691011386,0.6445978836588325,0.6513194182571423,2.208204732510288,321.95625,145.8,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,250,0.0011423971611202,0.0011889438717111,0.4949571404242435,0.4941245482241186,0.6514655514977198,0.6570098586485514,0.4817658322388296,0.4808630691011386,0.6485230234054492,0.6538313481021655,4.75629817200525,392.8702290076336,82.6,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,100,50,0.0002926839722125,0.0003406514965571,0.4949571404242435,0.4941245482241186,0.6164209888924631,0.6354949192953242,0.4817658322388296,0.4808630691011386,0.6159271561619017,0.6344383543225566,4.709657701711492,128.10268948655258,27.2,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,100,100,0.00044496589286414,0.00049113448110254,0.4949571404242435,0.4941245482241186,0.6333415331050013,0.6468673718470301,0.4817658322388296,0.4808630691011386,0.6326630014784451,0.6456986853249277,2.931787558949023,171.21639344262294,58.4,0.0,311.0,2.72103589033274e-08,1.3605179460604096e-07,0.0,0.0,8.462421622766556e-06,4.2312108114006555e-05,0.0,0.0,1.5244953119027477e-05,5.069160914987422e-05,0.0,0.0,0.0,0.0,0.0,5
1,20,100,250,0.00092008859165368,0.00097379478906364,0.4949571404242435,0.4941245482241186,0.6526425341078964,0.6610138702291521,0.4817658322388296,0.4808630691011386,0.6500760415440995,0.6583829587948264,4.892957388123053,317.0636387503738,64.8,0.0,171.4,1.1554649158664342e-05,1.234577884867971e-05,0.0,0.0,0.0003543623266411036,0.0003330583822535834,0.0,0.0,0.00031496377959072723,0.00029588773479246726,0.05666704307678568,3.672024391375701,0.0,0.0,1.9493588689617933,5
1,20,250,50,0.000491392910004,0.0005413036080951,0.4949571404242435,0.4941245482241186,0.635986905595398,0.6494786837474218,0.4817658322388296,0.4808630691011386,0.6338352977964191,0.6473188579494024,1.632038476693206,185.72597864768684,113.8,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,250,100,0.0005591355825741,0.0006177439475634,0.4949571404242435,0.4941245482241186,0.6386549851457982,0.6528847427479327,0.4817658322388296,0.4808630691011386,0.6367304564907386,0.6509116398405697,2.261409891885819,208.50199203187248,92.2,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,250,250,0.00093088122811384,0.00098657751590734,0.4949571404242435,0.4941245482241186,0.6507729861676159,0.6592616420988893,0.4817658322388296,0.4808630691011386,0.6479680132610991,0.6562896783543539,2.6520943470252227,324.12554112554113,122.24000000000001,0.0,167.4,8.34023861436857e-06,9.774861543268769e-06,0.0,0.0,0.0005743547235718822,0.0004983137768374535,0.0,0.0,0.0007063888370577252,0.0005757248962191823,0.03342207169069241,3.418962386259081,2.616868357407384,0.0,2.073644135332775,5
1,20,500,50,0.0006948040543295,0.0007453530259333,0.4949571404242435,0.4941245482241186,0.6429504039964425,0.6528847427479327,0.4817658322388296,0.4808630691011386,0.6403064954154257,0.6501393328835882,0.7679734195594274,249.8985507246377,325.4,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,500,100,0.0007086539816228,0.0007610272953748,0.4949571404242435,0.4941245482241186,0.6444831305466725,0.6547013075482052,0.4817658322388296,0.4808630691011386,0.6420083737920964,0.6522131721407477,1.1228361752644074,253.7609756097561,226.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,500,250,0.0009843296293929,0.0010308624410351,0.4949571404242435,0.4941245482241186,0.6514655514977198,0.6580316763487047,0.4817658322388296,0.4808630691011386,0.6487831224563331,0.6552005268340918,1.064984700034183,338.0261437908497,317.4,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,1000,50,0.0008741790473062001,0.0009144830097416,0.4949571404242435,0.4941245482241186,0.649686831797453,0.6559880409483982,0.4817658322388296,0.4808630691011386,0.6469877528787761,0.6531556623088485,1.0663029223269738,302.4035087719298,283.6,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,1000,100,0.0009100845477555,0.0009561519462743002,0.4949571404242435,0.4941245482241186,0.6478513444471777,0.6547580751982137,0.4817658322388296,0.4808630691011386,0.6448039242572473,0.651685528185813,2.180942945689173,317.98148148148147,145.8,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,1000,250,0.0011423971611202,0.0011889438717111,0.4949571404242435,0.4941245482241186,0.6514655514977198,0.6570098586485514,0.4817658322388296,0.4808630691011386,0.6485230234054492,0.6538313481021655,4.75629817200525,392.8702290076336,82.6,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,40,100,50,0.0002927295687186,0.000340514707039,0.4949571404242435,0.4941245482241186,0.616439911442466,0.6354381516453157,0.4817658322388296,0.4808630691011386,0.6159483760017888,0.6343841115087993,4.709657701711492,128.10268948655258,27.2,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,40,100,100,0.0004413246486284,0.0004891448948018,0.4949571404242435,0.4941245482241186,0.6330917554449638,0.6472269002970841,0.4817658322388296,0.4808630691011386,0.6324716104821873,0.6461218261269995,2.9126879657311147,170.10097719869708,58.4,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,40,100,250,0.0009071746605703601,0.0009597702766971,0.4949571404242435,0.4941245482241186,0.6524230325278635,0.6607186784491078,0.4817658322388296,0.4808630691011386,0.6498226675275838,0.658037034126224,4.829313689942729,312.9395271082888,64.8,0.0,173.6,1.1985791983660465e-05,1.3336360850700199e-05,0.0,0.0,0.0003541601804029639,0.00037176912037370627,0.0,0.0,0.00033752151114959056,0.000375533557663035,0.0601392239136722,3.897021709605974,0.0,0.0,2.0736441353327706,5
1,40,250,50,0.000484482530245,0.0005342031616318,0.4949571404242435,0.4941245482241186,0.6354570741953186,0.6490434650973566,0.4817658322388296,0.4808630691011386,0.633366261248425,0.646924873496801,1.6147986336295452,183.76408450704224,113.8,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,40,250,100,0.0005465581351195,0.00060370190062574,0.4949571404242435,0.4941245482241186,0.6380456790357069,0.6521732548678261,0.4817658322388296,0.4808630691011386,0.6361032867695766,0.6501786269280252,2.2189807430564414,204.59002450980392,92.2,0.0,261.8,1.065382523908659e-06,1.260415960766655e-06,0.0,0.0,3.384968649119293e-05,5.923695135950657e-05,0.0,0.0,3.4721109049509164e-05,5.593574396874916e-05,0.0038885515534772762,0.35852445323062443,0.0,0.0,0.44721359549995315,5
1,40,250,250,0.00091864655862216,0.00097527718927088,0.4949571404242435,0.4941245482241186,0.6498382121974757,0.6585539387287831,0.4817658322388296,0.4808630691011386,0.6471155347566657,0.6556495333197756,3.3080642825681763,321.3853614200764,97.16,0.0,168.6,4.024354291977972e-06,3.4397850925966807e-06,0.0,0.0,0.00027224808541523863,0.0003638841297803066,0.0,0.0,0.000289216874646641,0.00036829855551295457,0.04323020123670654,1.7605855247424749,0.7668115805072356,0.0,0.8944271909999153,5
1,40,500,50,0.0006963143047992,0.000745708378985,0.4949571404242435,0.4941245482241186,0.6432720873464908,0.652960432947944,0.4817658322388296,0.4808630691011386,0.6405805677481675,0.6502101408450447,0.7679734195594274,249.8985507246377,325.4,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,40,500,100,0.0007027994979927,0.0007548587200662,0.4949571404242435,0.4941245482241186,0.644653433496698,0.6549094555982364,0.4817658322388296,0.4808630691011386,0.6423102801736253,0.6525082913186518,1.1119875165662008,251.30917874396133,226.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,40,500,250,0.0009843296293929,0.0010308624410351,0.4949571404242435,0.4941245482241186,0.6514655514977198,0.6580316763487047,0.4817658322388296,0.4808630691011386,0.648784537039153,0.6552019974880318,1.064984700034183,338.0261437908497,317.4,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,40,1000,50,0.0008741790473062001,0.0009144830097416,0.4949571404242435,0.4941245482241186,0.649686831797453,0.6559880409483982,0.4817658322388296,0.4808630691011386,0.6469877528787761,0.6531556623088485,1.0663029223269738,302.4035087719298,283.6,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,40,1000,100,0.0009100845477555,0.0009561519462743002,0.4949571404242435,0.4941245482241186,0.6478513444471777,0.6547580751982137,0.4817658322388296,0.4808630691011386,0.6448039242572473,0.651685528185813,2.180942945689173,317.98148148148147,145.8,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
