disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
False,100,50,0.0005966118647246,0.0006236705096491,0.2430205663561918,0.2457085703569419,0.6606488716634369,0.6822779271113334,0.213906928474093,0.2146294933452455,0.6605139264364874,0.6818602260322192,1.082676603180863,114.22238163558106,105.5,0.0,700.0,,,,,,,,,,,,,,,,1
False,100,100,0.0008244050595076,0.0008498208501134,0.2430205663561918,0.2457085703569419,0.6692379821216478,0.6850659498655998,0.213906928474093,0.2146294933452455,0.6672714124560271,0.6827262023830182,0.2996796279254476,152.68677042801556,509.5,0.0,517.0,,,,,,,,,,,,,,,,1
False,100,250,0.0013801929967131,0.0014005504321533,0.2430205663561918,0.2457085703569419,0.6625992373570044,0.6714759017315747,0.213906928474093,0.2146294933452455,0.6528419407356844,0.661575838557205,0.0441285508758328,253.58471760797343,5746.5,0.0,304.0,,,,,,,,,,,,,,,,1
False,250,50,0.0015466135194466,0.0015733053753807,0.2430205663561918,0.2457085703569419,0.6899918734762768,0.7003938238419704,0.213906928474093,0.2146294933452455,0.6862977365808653,0.6965377507807881,4.572617465179449,276.64335664335664,60.5,0.0,289.0,,,,,,,,,,,,,,,,1
False,250,100,0.0016891275728431,0.0017153497179597,0.2430205663561918,0.2457085703569419,0.6940176283053072,0.7037069450521973,0.213906928474093,0.2146294933452455,0.6899602390730059,0.6994414502198288,2.464459408903853,299.4318181818182,121.5,0.0,267.0,,,,,,,,,,,,,,,,1
False,250,250,0.0021164179551271,0.0021364921415723,0.2430205663561918,0.2457085703569419,0.6938175907982747,0.700781396511846,0.213906928474093,0.2146294933452455,0.6869210279862533,0.6939706150354534,0.5357717629846379,366.2,683.5,0.0,213.0,,,,,,,,,,,,,,,,1
False,500,50,0.0028958154012851,0.0029096801804184,0.2430205663561918,0.2457085703569419,0.6947677689566794,0.6996186785022191,0.213906928474093,0.2146294933452455,0.6879040212678263,0.692500114479512,1.4695962545774812,518.0326797385621,352.5,0.0,156.0,,,,,,,,,,,,,,,,1
False,500,100,0.0030939474620879,0.0031119780537081,0.2430205663561918,0.2457085703569419,0.6978308432831156,0.7031693442520472,0.213906928474093,0.2146294933452455,0.6916622478481186,0.6971687261846857,2.3351436372269703,546.4236111111111,234.0,0.0,147.0,,,,,,,,,,,,,,,,1
False,500,250,0.0035924394554137,0.0036109945217902,0.2430205663561918,0.2457085703569419,0.6956679377383259,0.7006938801025192,0.213906928474093,0.2146294933452455,0.6875731978571683,0.69262199846757,2.6456423799906785,623.0487804878048,235.5,0.0,126.0,,,,,,,,,,,,,,,,1
False,1000,50,0.0058600273265522,0.0058644112654239,0.2430205663561918,0.2457085703569419,0.6942426705007189,0.6972682377945865,0.213906928474093,0.2146294933452455,0.6850108009003225,0.6881195507910388,2.373402948402948,1044.2972972972973,440.0,0.0,77.0,,,,,,,,,,,,,,,,1
False,1000,100,0.0059353233994531,0.0059358169130396,0.2430205663561918,0.2457085703569419,0.694105144714634,0.6968306557479528,0.213906928474093,0.2146294933452455,0.6853578793122463,0.6881912523296898,2.146683708911056,1058.3150684931506,493.0,0.0,76.0,,,,,,,,,,,,,,,,1
False,1000,250,0.0062412744056177,0.0062395379689247,0.2430205663561918,0.2457085703569419,0.6923923235606676,0.6949553041195224,0.213906928474093,0.2146294933452455,0.6830550841387059,0.6854019718378804,2.411307533046664,1097.144927536232,455.0,0.0,72.0,,,,,,,,,,,,,,,,1
True,500,25,0.0146522264591277,0.0130092100602196,0.2430205663561918,0.2457085703569419,0.5946740013752578,0.5579296118022129,0.213906928474093,0.2146294933452455,0.5844680190389226,0.5455844503894562,0.2014274502019127,2609.190476190476,12953.5,0.0,24.0,,,,,,,,,,,,,,,,1
