n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
2,100,0.005,0.002254956483097,0.0022657745736652,0.2430205663561918,0.2457085703569419,0.6782271675939239,0.6830030630743265,0.213906928474093,0.2146294933452455,0.6681062030561621,0.6725082518870883,8.556068743286788,419.2473684210526,49.0,0.0,193.0,,,,,,,,,,,,,,,,1
2,100,0.05,0.0009503146468783,0.0009728352450363,0.2430205663561918,0.2457085703569419,0.6782646746264924,0.6912671125836094,0.213906928474093,0.2146294933452455,0.6755628687719407,0.6883236194390583,5.3935418427726125,175.2901098901099,32.5,0.0,458.0,,,,,,,,,,,,,,,,1
2,250,0.005,0.0401562793023691,0.0385909858098393,0.2430205663561918,0.2457085703569419,0.6445833593798838,0.6316184284553353,0.213906928474093,0.2146294933452455,0.6303841082605218,0.6180613303352697,60.53029460811562,7778.142857142857,128.5,0.0,10.0,,,,,,,,,,,,,,,,1
2,250,0.05,0.0267700193786334,0.0264024504594611,0.2430205663561918,0.2457085703569419,0.6445708570356942,0.6417453272488591,0.213906928474093,0.2146294933452455,0.6294839621804953,0.6271812152848205,57.40852713178295,6171.416666666667,107.5,0.0,15.0,,,,,,,,,,,,,,,,1
2,500,0.005,0.0665541455689608,0.0633785501448188,0.2430205663561918,0.2457085703569419,0.6423454397699568,0.6259798712258549,0.213906928474093,0.2146294933452455,0.6266588450746077,0.6137259479907747,510.6769230769231,16597.0,32.5,0.0,6.0,,,,,,,,,,,,,,,,1
2,500,0.05,0.0501297118209664,0.0482856160530099,0.2430205663561918,0.2457085703569419,0.6440582609239233,0.6319934987810214,0.213906928474093,0.2146294933452455,0.6279505571896522,0.6184985264541808,52.52610837438424,10662.8,203.0,0.0,8.0,,,,,,,,,,,,,,,,1
2,1000,0.005,0.1002562980558854,0.092770519472401,0.2430205663561918,0.2457085703569419,0.6440457585797337,0.6167906482465463,0.213906928474093,0.2146294933452455,0.6292896643482797,0.6053769749371847,308.951724137931,22399.0,72.5,0.0,4.0,,,,,,,,,,,,,,,,1
2,1000,0.05,0.057494708829334,0.0545262951089043,0.2430205663561918,0.2457085703569419,0.6454835281615303,0.6273926361192723,0.213906928474093,0.2146294933452455,0.6310013821139057,0.6151070051416839,40.51365705614568,13349.25,329.5,0.0,7.0,,,,,,,,,,,,,,,,1
3,100,0.005,0.0022810559702457,0.0022917255100514,0.2430205663561918,0.2457085703569419,0.6787022566731262,0.6834281427767707,0.213906928474093,0.2146294933452455,0.6684753506540977,0.6728767997558412,8.647199305254016,423.7127659574468,49.0,0.0,191.0,,,,,,,,,,,,,,,,1
3,100,0.05,0.0009608354429891,0.0009841878391846,0.2430205663561918,0.2457085703569419,0.6792398574732762,0.6925298493467525,0.213906928474093,0.2146294933452455,0.6764113743228716,0.6894364422299207,5.441378134061061,176.84478935698448,32.5,0.0,454.0,,,,,,,,,,,,,,,,1
3,250,0.005,0.0401562793023691,0.0385909858098393,0.2430205663561918,0.2457085703569419,0.6445833593798838,0.6316184284553353,0.213906928474093,0.2146294933452455,0.6303841082605218,0.6180613303352697,60.53029460811562,7778.142857142857,128.5,0.0,10.0,,,,,,,,,,,,,,,,1
3,250,0.05,0.0267683523994082,0.0264007834802358,0.2430205663561918,0.2457085703569419,0.6445458523473151,0.6417203225604801,0.213906928474093,0.2146294933452455,0.6294699233083244,0.6271392167082467,57.14274691358025,6171.416666666667,108.0,0.0,15.0,,,,,,,,,,,,,,,,1
3,500,0.005,0.0798049634306432,0.075046571232106,0.2430205663561918,0.2457085703569419,0.642045383509408,0.620941426517472,0.213906928474093,0.2146294933452455,0.6264120587882734,0.6093611571059838,412.4461538461538,13404.5,32.5,0.0,5.0,,,,,,,,,,,,,,,,1
3,500,0.05,0.0501297118209664,0.0482856160530099,0.2430205663561918,0.2457085703569419,0.6440582609239233,0.6319934987810214,0.213906928474093,0.2146294933452455,0.6279447715170908,0.6184942740783814,52.54384236453202,10666.4,203.0,0.0,8.0,,,,,,,,,,,,,,,,1
3,1000,0.005,0.1004438332187285,0.0927798962305432,0.2430205663561918,0.2457085703569419,0.6447958992311058,0.6168281552791148,0.213906928474093,0.2146294933452455,0.6300452465043976,0.6054454553069158,281.748427672956,22399.0,79.5,0.0,4.0,,,,,,,,,,,,,,,,1
3,1000,0.05,0.0574893506818242,0.0545102206663749,0.2430205663561918,0.2457085703569419,0.6454460211289617,0.6272801150215666,0.213906928474093,0.2146294933452455,0.6309719072591181,0.6150093846824045,40.5174506828528,13350.5,329.5,0.0,7.0,,,,,,,,,,,,,,,,1
