const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.5,2,100,0.45,-4.953574164971013e-05,-8.851949099534026e-05,0.1387710094563437,0.1384702776756775,0.1331239349082768,0.1283790557022087,0.0892377551095781,0.0889535523418541,0.1058900067971144,0.1026083859011645,114.0,,,,,,,,,,,,1
0.5,2,100,0.5,-5.20106171393871e-05,-9.995336478183877e-05,0.1387710094563437,0.1384702776756775,0.1327897884853142,0.126975640725766,0.0892377551095781,0.0889535523418541,0.1057030638645536,0.1016702275044263,115.0,,,,,,,,,,,,1
0.5,2,100,0.55,-4.112571359538969e-05,-0.0001199499979865,0.1387710094563437,0.1384702776756775,0.1339593009656831,0.1244361279112507,0.0892377551095781,0.0889535523418541,0.1081894005986273,0.0995092596695445,117.0,,,,,,,,,,,,1
0.5,2,250,0.45,0.0006732067639098,0.000535617060337,0.1387710094563437,0.1384702776756775,0.1616600394292779,0.156681257727136,0.0892377551095781,0.0889535523418541,0.1210753746219565,0.1160948269200025,34.0,,,,,,,,,,,,1
0.5,2,250,0.5,0.0007056386226091,0.0005552727322759,0.1387710094563437,0.1384702776756775,0.1627627226250543,0.1573495505730611,0.0892377551095781,0.0889535523418541,0.1222236512777478,0.1165733797017465,34.0,,,,,,,,,,,,1
0.5,2,250,0.55,0.0006977763538335,0.0005474104635003,0.1387710094563437,0.1384702776756775,0.1624954054866842,0.157082233434691,0.0892377551095781,0.0889535523418541,0.1219705296477231,0.1163352040769642,34.0,,,,,,,,,,,,1
0.5,2,500,0.45,0.0014795261061174,0.0013718567031628,0.1387710094563437,0.1384702776756775,0.1654024793664583,0.1631636983326093,0.0892377551095781,0.0889535523418541,0.1236686460357479,0.1209138558557226,18.0,,,,,,,,,,,,1
0.5,2,500,0.5,0.0014758133680845,0.0013551493820147,0.1387710094563437,0.1384702776756775,0.1653356500818658,0.162862966551943,0.0892377551095781,0.0889535523418541,0.1240957479715346,0.1208428691491173,18.0,,,,,,,,,,,,1
0.5,2,500,0.55,0.0013829949172616,0.0012419108720107,0.1387710094563437,0.1384702776756775,0.1636649179670531,0.1608246733718715,0.0892377551095781,0.0889535523418541,0.1230466231644138,0.1194340281027755,18.0,,,,,,,,,,,,1
0.5,2,1000,0.45,0.0012272286806987,0.0013487364708669,0.1387710094563437,0.1384702776756775,0.1522705249440304,0.1533063788552143,0.0892377551095781,0.0889535523418541,0.1107281128381112,0.1120582905161133,11.0,,,,,,,,,,,,1
0.5,2,1000,0.5,0.0012211532911903,0.0013456987761127,0.1387710094563437,0.1384702776756775,0.1522036956594379,0.1532729642129181,0.0892377551095781,0.0889535523418541,0.1107587995764537,0.1122907006509496,11.0,,,,,,,,,,,,1
0.5,2,1000,0.55,0.0012727941020118,0.0013882265026716,0.1387710094563437,0.1384702776756775,0.1527717445784742,0.1537407692050656,0.0892377551095781,0.0889535523418541,0.1112423493555832,0.1128168357381522,11.0,,,,,,,,,,,,1
0.5,3,100,0.45,1.991377672201013e-05,-8.77556262325868e-05,0.1387710094563437,0.1384702776756775,0.1407424733518227,0.1297824706786514,0.0892377551095781,0.0889535523418541,0.1127264036731808,0.1016544237950411,99.0,,,,,,,,,,,,1
0.5,3,100,0.5,7.017074882213481e-06,-8.7546362816186e-05,0.1387710094563437,0.1384702776756775,0.1394727169445651,0.1297156413940589,0.0892377551095781,0.0889535523418541,0.1114624253048122,0.1019505080188642,100.0,,,,,,,,,,,,1
0.5,3,100,0.55,2.315866297760133e-06,-9.064962365518485e-05,0.1387710094563437,0.1384702776756775,0.1390049119524175,0.1293146656865038,0.0892377551095781,0.0889535523418541,0.1110014292146108,0.1015826932107155,101.0,,,,,,,,,,,,1
0.5,3,250,0.45,0.0006694066673349,0.000516813134182,0.1387710094563437,0.1384702776756775,0.1588532094763925,0.1539746717011394,0.0892377551095781,0.0889535523418541,0.117949331636657,0.1130419785710331,30.0,,,,,,,,,,,,1
0.5,3,250,0.5,0.0006170570610708,0.0004845123132956,0.1387710094563437,0.1384702776756775,0.1572827212884686,0.153005647074548,0.0892377551095781,0.0889535523418541,0.1165395132046324,0.1123223310085071,30.0,,,,,,,,,,,,1
0.5,3,250,0.55,0.0006103741326115,0.0004833984918858,0.1387710094563437,0.1384702776756775,0.157082233434691,0.1529722324322518,0.0892377551095781,0.0889535523418541,0.1162319710398608,0.1123575009222435,30.0,,,,,,,,,,,,1
0.5,3,500,0.45,0.0016999699268219,0.0014660674307481,0.1387710094563437,0.1384702776756775,0.1659705282854947,0.1619273565676479,0.0892377551095781,0.0889535523418541,0.1236181579388553,0.1189670228838405,16.0,,,,,,,,,,,,1
0.5,3,500,0.5,0.0016957930965349,0.0014744210913222,0.1387710094563437,0.1384702776756775,0.1659036990009021,0.1620610151368329,0.0892377551095781,0.0889535523418541,0.1234735798363971,0.118977941309771,16.0,,,,,,,,,,,,1
