disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
False,100,50,-5.928881221592015e-05,-0.0001812670418372,0.1387710094563437,0.1384702776756775,0.1253717378955458,0.0975039262204698,0.0892377551095781,0.0889535523418541,0.1163571027102568,0.0852209329826994,226.0,,,,,,,,,,,,1
False,100,100,4.731276785310454e-06,-6.150659820903444e-05,0.1387710094563437,0.1384702776756775,0.1393056437330838,0.1315200320780566,0.0892377551095781,0.0889535523418541,0.1132733916271614,0.1045503693423458,113.0,,,,,,,,,,,,1
False,100,250,0.0006723026030006,0.0004210244929328,0.1387710094563437,0.1384702776756775,0.1555785745313596,0.1489958899989975,0.0892377551095781,0.0889535523418541,0.11405013421781,0.106504854861957,25.0,,,,,,,,,,,,1
False,250,50,-3.759147258328601e-05,-9.18902663146992e-05,0.1387710094563437,0.1384702776756775,0.1345607645270157,0.1281785678484311,0.0892377551095781,0.0889535523418541,0.1079451637516439,0.1026126173166608,112.0,,,,,,,,,,,,1
False,250,100,-1.577913663989793e-05,-9.52936095115399e-05,0.1387710094563437,0.1384702776756775,0.1370668626992348,0.1281785678484311,0.0892377551095781,0.0889535523418541,0.1112854491483961,0.1029702388991809,108.0,,,,,,,,,,,,1
False,250,250,3.3414642296254285e-05,-6.72047300115676e-05,0.1387710094563437,0.1384702776756775,0.1417449126207104,0.1324890567046479,0.0892377551095781,0.0889535523418541,0.111529468819069,0.1031004670317304,89.0,,,,,,,,,,,,1
False,500,50,0.0002169020640283,0.0001524176666144,0.1387710094563437,0.1384702776756775,0.1511344271059578,0.1471580846727035,0.0892377551095781,0.0889535523418541,0.1177007877326342,0.1136553049912398,57.0,,,,,,,,,,,,1
False,500,100,0.0001051942442659,9.034329213431668e-05,0.1387710094563437,0.1384702776756775,0.1444514986467069,0.1433488154509306,0.0892377551095781,0.0889535523418541,0.1095430468613386,0.1094273537034721,54.0,,,,,,,,,,,,1
False,500,250,0.0001997917153963,0.0001914380548222,0.1387710094563437,0.1384702776756775,0.1483610117953687,0.1476593043071473,0.0892377551095781,0.0889535523418541,0.1139233700114346,0.1144639976774299,48.0,,,,,,,,,,,,1
False,1000,50,0.0006821195944614,0.0005611355447681,0.1387710094563437,0.1384702776756775,0.1585524776957262,0.1547432084739533,0.0892377551095781,0.0889535523418541,0.1194778892435363,0.1151771077560123,29.0,,,,,,,,,,,,1
False,1000,100,0.0007005141081393,0.0006086238418246,0.1387710094563437,0.1384702776756775,0.1583854044842449,0.1555117452467671,0.0892377551095781,0.0889535523418541,0.1201289304151363,0.1172743752866288,28.0,,,,,,,,,,,,1
False,1000,250,0.0005847562401844,0.0005441813173961,0.1387710094563437,0.1384702776756775,0.1551441841815083,0.1537073545627694,0.0892377551095781,0.0889535523418541,0.1145498658706456,0.1138610427193419,28.0,,,,,,,,,,,,1
