const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.5,2,100,0.45,0.0014257518245911,0.001480122484206,0.3058823529411765,0.3002437957116959,0.6737263236856911,0.6821153966368694,0.2824474041486233,0.2644454333478672,0.6678826087630467,0.6765123606594347,15.242850310856053,312.47843137254904,20.5,0.0,258.0,,,,,,,,,,,,,,,,1
0.5,2,100,0.5,0.0013533787585172,0.0014062838988192,0.3058823529411765,0.3002437957116959,0.6740013752578609,0.6827530161905357,0.2824474041486233,0.2644454333478672,0.6687537110106122,0.6775638308492246,3.590492283429086,296.2156133828996,82.5,0.0,272.0,,,,,,,,,,,,,,,,1
0.5,2,100,0.55,0.0012994485936077,0.0013531689135175,0.3058823529411765,0.3002437957116959,0.6736263049321748,0.6831905982371694,0.2824474041486233,0.2644454333478672,0.6687354766163119,0.6783920496373362,3.794380952380952,284.5785714285714,75.0,0.0,283.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.45,0.0060438751620767,0.0061608325754627,0.3058823529411765,0.3002437957116959,0.6806026129899356,0.6822154153903857,0.2824474041486233,0.2644454333478672,0.6647750395912305,0.6661697643014902,5.0303434266488924,1343.1016949152545,267.0,0.0,62.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.5,0.0057512706709431,0.0058628300498651,0.3058823529411765,0.3002437957116959,0.6797149465524785,0.6813277489529287,0.2824474041486233,0.2644454333478672,0.6644166123712857,0.6656620470272839,4.804935726412806,1278.1129032258063,266.0,0.0,65.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.55,0.0053404656230186,0.0054397699568669,0.3058823529411765,0.3002437957116959,0.6797149465524785,0.6810276926923798,0.2824474041486233,0.2644454333478672,0.6645464305508031,0.6655572558282161,4.480042966983266,1182.7313432835822,264.0,0.0,70.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.45,0.0107097286623594,0.0109156496254812,0.3058823529411765,0.3002437957116959,0.670013127461399,0.6713758829780584,0.2824474041486233,0.2644454333478672,0.6492354375192032,0.650846521931176,7.322160496708838,2529.8064516129034,345.5,0.0,34.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.5,0.0103962350083497,0.0106002018235562,0.3058823529411765,0.3002437957116959,0.6697505782334188,0.671250859536163,0.2824474041486233,0.2644454333478672,0.6491221988783317,0.650873290577776,7.092981186685963,2450.625,345.5,0.0,35.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.55,0.0104019503656935,0.0106019878727261,0.3058823529411765,0.3002437957116959,0.6699506157404513,0.6713133712571107,0.2824474041486233,0.2644454333478672,0.6493689548654723,0.6509519439634303,7.123819040697675,2450.59375,344.0,0.0,35.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.45,0.0151851388802067,0.0154377904190369,0.3058823529411765,0.3002437957116959,0.6703256860661374,0.6707507657685816,0.2824474041486233,0.2644454333478672,0.6494756910545955,0.6499555208947208,5.345054945054945,3648.0,682.5,0.0,24.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.5,0.015183576087183,0.0154351857639974,0.3058823529411765,0.3002437957116959,0.6702881790335687,0.6706882540476339,0.2824474041486233,0.2644454333478672,0.6493683064491936,0.6498008921768117,5.380530973451328,3648.0,678.0,0.0,24.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.55,0.0151856598112146,0.0154336229709737,0.3058823529411765,0.3002437957116959,0.6703381884103269,0.6706507470150653,0.2824474041486233,0.2644454333478672,0.6494211974662049,0.6497201111581402,5.440644863463655,3647.9523809523807,670.5,0.0,24.0,,,,,,,,,,,,,,,,1
0.5,3,100,0.45,0.0020795100198605,0.0021481681446556,0.3058823529411765,0.3002437957116959,0.678114646496218,0.6847658936050509,0.2824474041486233,0.2644454333478672,0.6694090944399188,0.6762231197313465,4.59627365020766,452.73295454545456,98.5,0.0,179.0,,,,,,,,,,,,,,,,1
0.5,3,100,0.5,0.0019415749828092,0.0020057146131566,0.3058823529411765,0.3002437957116959,0.6786647496405576,0.6853410014377695,0.2824474041486233,0.2644454333478672,0.6702498848707056,0.6772121285532084,4.301965230536659,421.5925925925926,98.0,0.0,192.0,,,,,,,,,,,,,,,,1
