n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
50,0.1,0.6,0.0003641655080165,0.00040084473986534003,0.3058823529411765,0.3002437957116959,0.6368119022316685,0.6645020941426518,0.2824474041486233,0.2644454333478672,0.6372510675347849,0.6646899617473234,14.783140415875863,88.11216359867305,9.1,0.0,908.8,3.799260535574001e-06,4.2397033653018475e-06,0.0,0.0,0.001692223576263736,0.0010974466290312552,0.0,0.0,0.0016567366080996548,0.0010780881978143695,12.075511472800898,0.9134019089563012,5.470374758643141,0.0,9.03880523078132,5
50,0.1,0.7,0.0010157037958837601,0.00105996051853536,0.3058823529411765,0.3002437957116959,0.6696580608864162,0.6798699756204287,0.2824474041486233,0.2644454333478672,0.6650685585713416,0.6747706875982,35.47970366164745,223.81423220802648,7.3,0.0,358.4,3.0718684665019896e-05,3.201143904370862e-05,0.0,0.0,0.0011789253159022403,0.0010325831312715578,0.0,0.0,0.0013975728463561338,0.0012507036396748686,10.973492897220392,6.800784198581111,4.024922359499621,0.0,10.334408546211048,5
50,0.1,0.8,0.00613036927554432,0.0062476151110864,0.3058823529411765,0.3002437957116959,0.6635294117647058,0.6647321372757392,0.2824474041486233,0.2644454333478672,0.6465234380592527,0.6475904868137137,233.80198427488432,1403.4975055405248,6.1,0.0,58.6,0.0004177734025833099,0.00042507412321574,0.0,0.0,0.0064655833993226075,0.0065493408020476035,0.0,0.0,0.007570976327252258,0.007711610862968732,42.75215871613936,142.3110496323046,0.8215838362577491,0.0,4.8270073544588685,5
50,0.5,0.6,0.00100023832563968,0.0010479478281978601,0.3058823529411765,0.3002437957116959,0.6675076576858161,0.6791198349690567,0.2824474041486233,0.2644454333478672,0.6625168970629471,0.6738498964973372,11.840653920089789,221.62288927703668,20.8,0.0,361.6,1.4812723941705863e-05,1.4480425040984964e-05,0.0,0.0,0.0024243202741535703,0.0020405380790335832,0.0,0.0,0.0022916635250322644,0.002087938707473413,4.918740125024414,3.267861874891661,6.505766672729664,0.0,5.6833088953531306,5
50,0.5,0.7,0.00984378320935172,0.010021898660092279,0.3058823529411765,0.3002437957116959,0.6552603613177471,0.6559704944677127,0.2824474041486233,0.2644454333478672,0.6338237834551267,0.6346208414097528,97.5165574953444,2388.298744978745,25.5,0.0,37.2,0.0024863203619049077,0.0025276729469014703,0.0,0.0,0.00922657330772302,0.009494690437851892,0.0,0.0,0.011123136976767044,0.011585810550446312,44.536878458104745,731.9109586212556,3.7914377220257753,0.0,8.67179335547152,5
50,0.5,0.8,0.09409889354253918,0.08715821716571852,0.3058823529411765,0.3002437957116959,0.6196886916296805,0.5910783271863475,0.2824474041486233,0.2644454333478672,0.5889333937514096,0.5644531014870523,791.7270865335381,24724.5,31.4,0.0,3.4,0.013989540754653605,0.012563390790833816,0.0,0.0,0.0011810381641342868,0.002792876502901812,0.0,0.0,0.0016637946945613827,0.00262450054581841,96.0050426589797,2720.2397872246484,0.22360679774997932,0.0,0.5477225575051661,5
50,1.0,0.6,0.0021181766012104398,0.0021836819989398603,0.3058823529411765,0.3002437957116959,0.673486278677252,0.6792448584109521,0.2824474041486233,0.2644454333478672,0.6626765016847967,0.6682248264142465,11.084246752844916,459.99624024306394,41.5,0.0,174.4,0.0001661410037324291,0.000168644711450082,0.0,0.0,0.00212547940820273,0.0021774295989053544,0.0,0.0,0.0021214493570479226,0.0024794576379589387,0.794717392199788,32.980771776291164,0.0,0.0,13.612494260788505,5
50,1.0,0.7,0.031398523586808856,0.03161116004705422,0.3058823529411765,0.3002437957116959,0.6316834406451209,0.6287328874163906,0.2824474041486233,0.2644454333478672,0.6031482186849978,0.6004357267585813,160.78974175583932,8237.443095238095,668.8,0.0,10.6,0.005335039000555614,0.005019449908791953,0.0,0.0,0.006484797326842769,0.008857972178675034,0.0,0.0,0.00721727985267464,0.00931972714011573,98.73579589681283,1825.9092453194767,1402.6854422856181,0.0,1.6733200530681511,5
50,1.0,0.8,0.14007876476839404,0.13525619386968382,0.3058823529411765,0.3002437957116959,0.606246171157092,0.5904207038819779,0.2824474041486233,0.2644454333478672,0.5755899374754139,0.563515406817212,,,11567.5,0.0,2.2,0.021828116232191507,0.020646505432054034,0.0,0.0,0.001526402595130148,0.002678193564349319,0.0,0.0,0.0012645121973103065,0.0022600220403165903,,,0.0,0.0,0.447213595499958,5
125,0.1,0.6,0.0008919605719667399,0.00093840673273104,0.3058823529411765,0.3002437957116959,0.6662899293617552,0.6794248921672813,0.2824474041486233,0.2644454333478672,0.6638549712753669,0.6765250588990621,10.0174762093884,198.41576829772708,47.2,0.0,404.2,1.94765738729008e-05,1.959398803103072e-05,0.0,0.0,0.0016935808528687625,0.0018287942586812866,0.0,0.0,0.0016993102827184152,0.001692120443215668,9.400983237658846,3.969834684755624,48.39628084884209,0.0,8.074651695274545,5
125,0.1,0.7,0.00345132683608722,0.0035343037417789997,0.3058823529411765,0.3002437957116959,0.6712208539101081,0.6743714446458711,0.2824474041486233,0.2644454333478672,0.6592036452876504,0.6618697906718658,5.564468061925821,766.8934088050314,138.2,0.0,106.0,0.00013608455818370227,0.00013769584082468068,0.0,0.0,0.004407937219762414,0.004527416298647916,0.0,0.0,0.004636015830897851,0.004762076534818629,0.4554577534296834,31.23527019271179,6.2609903369994075,0.0,4.795831523312719,5
125,0.1,0.8,0.05637402846367022,0.05405801087703939,0.3058823529411765,0.3002437957116959,0.625624804650872,0.6086241170219416,0.2824474041486233,0.2644454333478672,0.5982308237533599,0.5835956449313867,593.7324434913484,15053.066666666666,2043.6,0.0,6.2,0.017071116788785593,0.015465666774421134,0.0,0.0,0.0028865608723350833,0.012070439980522183,0.0,0.0,0.003958312534261004,0.0114986375848013,556.25730901759,4537.937896837676,4473.740470791751,0.0,2.280350850198276,5
125,0.5,0.6,0.00502093401238804,0.005122071550435861,0.3058823529411765,0.3002437957116959,0.6762067887728949,0.6780846408701631,0.2824474041486233,0.2644454333478672,0.6595798016717385,0.6618200992430994,21.31894988054727,1107.243981497954,52.4,0.0,74.8,0.0007342626038337638,0.000741065559564663,0.0,0.0,0.007018663922668439,0.0070525999506303875,0.0,0.0,0.00805189055979802,0.008149601981387125,2.3034565060633785,149.85778576323244,8.532291603080617,0.0,9.038805230781334,5
125,0.5,0.7,0.03962970735584348,0.03872940462050914,0.3058823529411765,0.3002437957116959,0.6269600550103144,0.6142751765956117,0.2824474041486233,0.2644454333478672,0.5982522744758878,0.5870964421616864,199.8002185038681,10923.742857142857,54.8,0.0,8.2,0.004500696223973208,0.004159430474976465,0.0,0.0,0.00499075039151369,0.00862493403988933,0.0,0.0,0.0057606538822735425,0.009104086026607032,41.660862545403994,2159.659240127801,1.0954451150103317,0.0,1.0954451150103321,5
125,0.5,0.8,0.075839844970932,0.0710749515534162,0.3058823529411765,0.3002437957116959,0.6219866224917172,0.5965943614427706,0.2824474041486233,0.2644454333478672,0.5907702701426796,0.5685948243837499,549.3582351553929,32040.4,58.4,0.0,4.2,0.006774091949609688,0.006049319338014644,0.0,0.0,0.0015100585745828439,0.002753364212906377,0.0,0.0,0.0012466636440917808,0.0022523375679980337,208.02997030688442,11959.39399802515,0.8944271909999157,0.0,0.44721359549995787,5
125,1.0,0.6,0.00969756212615792,0.00987672101962686,0.3058823529411765,0.3002437957116959,0.6639619928736639,0.6649396761892855,0.2824474041486233,0.2644454333478672,0.6439471223586295,0.6451427522251928,45.942397333196574,2259.104136622391,62.2,0.0,37.0,0.0004964465417208555,0.0005047565873073674,0.0,0.0,0.0031980351274173927,0.003206204168177784,0.0,0.0,0.003533993101634962,0.003748293456999229,21.88534005802218,118.34015447718,34.50652112282547,0.0,1.8708286933869707,5
125,1.0,0.7,0.04926847593447576,0.04797648368592916,0.3058823529411765,0.3002437957116959,0.6226742514221416,0.6096943176845658,0.2824474041486233,0.2644454333478672,0.5939031514636312,0.582087833775244,163.9008,16390.079999999998,100.0,0.0,6.6,0.009291605285933813,0.00798930125230096,0.0,0.0,0.0013757862675219225,0.0068779462335089945,0.0,0.0,0.0016973300822096622,0.007152318719902832,62.83141639100618,6283.141639100618,0.0,0.0,1.140175425099138,5
125,1.0,0.8,0.1453710070638244,0.1442582984309558,0.3058823529411765,0.3002437957116959,0.5966243670688254,0.5887603925736076,0.2824474041486233,0.2644454333478672,0.5636989379752203,0.562011571767511,,,11629.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,5
250,0.1,0.6,0.0024943502370492797,0.00256362341678258,0.3058823529411765,0.3002437957116959,0.6773269988122773,0.6820103769456773,0.2824474041486233,0.2644454333478672,0.6675715757812974,0.6718173507893631,20.655796860051147,543.0639048553672,65.7,0.0,149.2,0.00012355733743452997,0.00012570086965558292,0.0,0.0,0.001961533735423804,0.0018163845211804526,0.0,0.0,0.0021293570427885367,0.001733766360103691,24.290604377858077,27.841149581384425,51.340286325652684,0.0,7.259476565152612,5
250,0.1,0.7,0.02241270973601664,0.02269569988817344,0.3058823529411765,0.3002437957116959,0.6449509282990561,0.6433406263674439,0.2824474041486233,0.2644454333478672,0.6201529598127125,0.6186004119702828,211.83658687087808,5122.839682539683,27.0,0.0,15.4,0.003332509950858657,0.0035034057617097975,0.0,0.0,0.004999777948919218,0.004950167365592918,0.0,0.0,0.004928370880277863,0.004673570379514616,84.84522680459351,880.8067896710734,10.295630140987,0.0,2.302172886644268,5
250,0.1,0.8,0.0637344502094142,0.0602462961805338,0.3058823529411765,0.3002437957116959,0.6245546039882478,0.6014752766143652,0.2824474041486233,0.2644454333478672,0.5925570546778746,0.5724180991970521,834.28125,26697.0,32.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
250,0.5,0.6,0.011014782038446419,0.01120863071376796,0.3058823529411765,0.3002437957116959,0.6704382071638432,0.6712333562542977,0.2824474041486233,0.2644454333478672,0.6505838320245747,0.6512618931686057,31.474649235425215,2623.5921519340873,83.3,0.0,33.2,0.000657047426252464,0.0006580987600967207,0.0,0.0,0.0025190594771965645,0.00284733306439022,0.0,0.0,0.0031999285204850304,0.0033966478291273497,1.5764995275918272,181.14897105515013,2.0493901531919207,0.0,2.16794833886788,5
250,0.5,0.7,0.029070519715953157,0.02887396906400464,0.3058823529411765,0.3002437957116959,0.6359467400137526,0.6298205913608801,0.2824474041486233,0.2644454333478672,0.6104700762391554,0.6047525669755116,63.37663938963006,8496.931010101009,143.4,0.0,11.8,0.006606179685122699,0.0056576723852510245,0.0,0.0,0.007778761231397104,0.016649727615349726,0.0,0.0,0.011131495637095019,0.018803484952475552,28.292741409089025,1643.3462277770302,27.061042108536768,0.0,2.4899799195977463,5
250,0.5,0.8,0.08450667833552117,0.0787405971953074,0.3058823529411765,0.3002437957116959,0.6229568044008251,0.59585422266675,0.2824474041486233,0.2644454333478672,0.5932045154594549,0.5693201779921614,166.9375,26710.0,160.2,0.0,3.8,0.011322682986648007,0.010073045697228193,0.0,0.0,0.001559949904913319,0.002980119352397098,0.0,0.0,0.0013229660749053828,0.0027049060985069283,0.0,0.0,0.44721359549995915,0.0,0.447213595499958,5
