n_samples,outlier_detector_kwargs,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0004459169427601,0.000484353764538,0.3058823529411765,0.3002437957116959,0.6416578108395324,0.6649621804088267,0.2824474041486233,0.2644454333478672,0.6411243840924272,0.6645446297386824,4.087384615384615,106.272,26.0,0.0,753.0,,,,,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0005650353461207,0.0006047230201177,0.3058823529411765,0.3002437957116959,0.6460336313058699,0.6642870538225918,0.2824474041486233,0.2644454333478672,0.6421093960680123,0.6597780091825788,2.894062568048196,133.12687813021702,46.0,0.0,602.0,,,,,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0014613559370112,0.0014632470478971,0.3058823529411765,0.3002437957116959,0.6536850659498656,0.6484965931112083,0.2824474041486233,0.2644454333478672,0.6382546433185144,0.6352544039307283,6.858886739737804,339.5148936170213,49.5,0.0,238.0,,,,,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0011619590813852,0.0012137659197681,0.3058823529411765,0.3002437957116959,0.6695755454147653,0.6801525285991123,0.2824474041486233,0.2644454333478672,0.6648061980726131,0.6755314067640191,1.3466383701188456,255.86129032258063,190.0,0.0,313.0,,,,,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0034811138738999,0.0034937376000718,0.3058823529411765,0.3002437957116959,0.6644370819528662,0.6600987685190973,0.2824474041486233,0.2644454333478672,0.6468625179106852,0.6436242819293218,6.33976,792.47,125.0,0.0,103.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0028682543331205,0.0029487812429397,0.3058823529411765,0.3002437957116959,0.6701506532474839,0.6747390135650434,0.2824474041486233,0.2644454333478672,0.6588519527003948,0.663010745761472,2.871805140901478,636.1048387096774,221.5,0.0,127.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0028578193056867,0.0029374602226106,0.3058823529411765,0.3002437957116959,0.6688254047633931,0.6733012439832469,0.2824474041486233,0.2644454333478672,0.6567702480367293,0.6615212311356499,2.593095066027199,636.6048387096774,245.5,0.0,127.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0060199883969472,0.006033148759252,0.3058823529411765,0.3002437957116959,0.6490216915671688,0.6441332749890605,0.2824474041486233,0.2644454333478672,0.6304993922087471,0.6264595615788434,3.251331599157686,1458.2222222222222,448.5,0.0,57.0,,,,,,,,,,,,,,,,1
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0083304310034321,0.0084173520630356,0.3058823529411765,0.3002437957116959,0.6557604550853285,0.6537725823591923,0.2824474041486233,0.2644454333478672,0.6376202647696337,0.6360571714055557,3.5464254476821804,1975.3589743589744,557.0,0.0,42.0,,,,,,,,,,,,,,,,1
