seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1733560350,True,50,25,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733560416,True,50,50,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733560482,True,50,100,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733560549,True,100,25,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733560618,True,100,50,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733560686,True,100,100,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733560824,True,250,50,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733560895,True,250,100,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733561039,True,500,50,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1733561113,True,500,100,0.0,0.0,0.3058823529411765,0.3002437957116959,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.2644454333478672,0.5549764568155725,0.5585416216053561,,,,1.0,[]
