disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
False,100,50,0.0004011141661152,0.0002513811086579,0.2427871463482838,0.1523058031100682,0.5632773650743474,0.3531593089277681,0.176659023550584,0.0748087803691306,0.5643291965533731,0.3214089335301205,799.0,,,,,,,,,,,,1
False,100,100,0.000410575529813,0.0002527047547787,0.2427871463482838,0.1523058031100682,0.5650889372515168,0.3506790356113752,0.176659023550584,0.0748087803691306,0.5656728483306515,0.3179228783561018,785.0,,,,,,,,,,,,1
False,100,250,0.0004309005175889,0.0002683524242065,0.2427871463482838,0.1523058031100682,0.5612226288465513,0.3506182445987185,0.176659023550584,0.0748087803691306,0.5610821124542956,0.31736369245407,739.0,,,,,,,,,,,,1
False,250,50,0.0009926571961774,0.0006295997594777,0.2427871463482838,0.1523058031100682,0.5644080779097618,0.3562961251808532,0.176659023550584,0.0748087803691306,0.5586798849241859,0.3088738329361674,324.0,,,,,,,,,,,,1
False,250,100,0.0010066838762582,0.0006428936338504,0.2427871463482838,0.1523058031100682,0.5629126189984073,0.3567459786745127,0.176659023550584,0.0748087803691306,0.5571907022440253,0.3091577212910951,318.0,,,,,,,,,,,,1
False,250,250,0.0011118147597407,0.0007287873285451,0.2427871463482838,0.1523058031100682,0.5496480200367178,0.3534511057885202,0.176659023550584,0.0748087803691306,0.5419768884004904,0.3039819856186765,276.0,,,,,,,,,,,,1
False,500,50,0.0016783775096946,0.0012035841134067,0.2427871463482838,0.1523058031100682,0.5046140378606426,0.3400649248015173,0.176659023550584,0.0748087803691306,0.4917890666680919,0.2826019694122455,156.0,,,,,,,,,,,,1
False,500,100,0.0018728134936234,0.0014303449822422,0.2427871463482838,0.1523058031100682,0.4956169679874527,0.3454023757127746,0.176659023550584,0.0748087803691306,0.480720693515439,0.2886614816717505,135.0,,,,,,,,,,,,1
False,500,250,0.0019837271513098,0.0018516683770067,0.2427871463482838,0.1523058031100682,0.4292574985714112,0.3263626305486997,0.176659023550584,0.0748087803691306,0.4118660222699551,0.2802191713666184,94.0,,,,,,,,,,,,1
False,1000,250,0.0024943828353798,0.002103669240453,0.2427871463482838,0.1523058031100682,0.4448321560140549,0.322703011586767,0.176659023550584,0.0748087803691306,0.4296299092166488,0.2692214992457677,81.0,,,,,,,,,,,,1
