n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
1,10,100,50,2.413117893275261e-05,1.6249592466521223e-05,0.2427871463482838,0.1523058031100682,0.3181825918856156,0.20307602524042845,0.176659023550584,0.0748087803691306,0.32789315657632984,0.18886998770777833,3124.4,1.3863845810008738e-08,6.389618253640711e-09,0.0,0.0,2.1749253875428815e-05,5.437313468845115e-06,0.0,0.0,2.140917741853083e-05,1.7206732301112467e-06,0.8944271909998904,5
1,10,100,100,9.784470141657065e-05,6.106966427233932e-05,0.2427871463482838,0.1523058031100682,0.4283966978321924,0.26815402010966694,0.176659023550584,0.0748087803691306,0.4342564533244694,0.24322098924609387,1897.0,4.827811396859461e-07,2.419818662530346e-07,0.0,0.0,0.0004538935628656469,0.00016483222731057117,0.0,0.0,0.0003813654782299543,9.825651953089464e-05,4.847679857416329,5
1,10,100,250,0.0002929368752288,0.00018908636775923998,0.2427871463482838,0.1523058031100682,0.5100633442351883,0.3248282653892448,0.176659023550584,0.0748087803691306,0.5076550069786976,0.28738072169890294,912.4,1.5470920514791016e-06,1.1285668013140589e-07,0.0,0.0,0.0015674276238850512,0.00025538014279791025,0.0,0.0,0.0016798480227029429,0.00021891719987751044,0.8944271909999143,5
1,10,250,50,4.044473208166437e-05,2.680927392701458e-05,0.2427871463482838,0.1523058031100682,0.3439798660166081,0.21938260647545862,0.176659023550584,0.0748087803691306,0.3535361282907288,0.2033532573232514,2502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,100,0.00010736886488436,7.190259633013854e-05,0.2427871463482838,0.1523058031100682,0.42660214713856703,0.27540274045885055,0.176659023550584,0.0748087803691306,0.43272775234496896,0.25324189800938635,1712.0,2.283462448621478e-07,1.4058778047435045e-07,0.0,0.0,0.00010654914856211634,4.516571781056805e-05,0.0,0.0,9.436713324454108e-05,2.6211161182503522e-05,2.7386127875258306,5
1,10,250,250,0.00029568860150536,0.00020016208535783998,0.2427871463482838,0.1523058031100682,0.5040571921847075,0.3291687436929324,0.176659023550584,0.0748087803691306,0.5025083028901768,0.2942220908381942,883.6,7.492153778400737e-07,4.355288481516215e-07,0.0,0.0,0.0004960636030528734,0.00023924179262969824,0.0,0.0,0.00045667055773256624,0.0002293258994299,0.8944271909999183,5
1,10,500,50,0.0001527045711302,9.936790310914672e-05,0.2427871463482838,0.1523058031100682,0.45474109107709515,0.2902284526255638,0.176659023550584,0.0748087803691306,0.4570566675560942,0.2595429567585753,1388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,100,0.0002129689542302,0.0001389508860724,0.2427871463482838,0.1523058031100682,0.494729419202665,0.3166847013337548,0.176659023550584,0.0748087803691306,0.4982388278518262,0.2869058655606361,1183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,250,0.00039841959207698,0.00025995126059648,0.2427871463482838,0.1523058031100682,0.5320356478498219,0.3410278544419993,0.176659023550584,0.0748087803691306,0.5300822585000372,0.30467834468537974,726.0,1.8821799849758967e-06,1.1752335254674247e-06,0.0,0.0,0.0002751893050768593,0.00015744754920478675,0.0,0.0,0.00016315358689087235,0.00010231610796122788,2.7386127875258306,5
1,10,1000,50,0.0002789043085026,0.0001931311184707,0.2427871463482838,0.1523058031100682,0.48013471288404713,0.3166603849286921,0.176659023550584,0.0748087803691306,0.471760640493207,0.2755914806754302,851.0,7.667187032107494e-08,9.583983790136355e-08,0.0,0.0,6.524776162625231e-05,8.155970203285386e-05,0.0,0.0,9.318907432281779e-05,0.00013974191443003446,0.0,5
