const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.5,2,100,0.45,0.0008664703344461,0.0005382306107541,0.2427871463482838,0.1523058031100682,0.5746452844411483,0.3584481270289,0.176659023550584,0.0748087803691306,0.5709477635967218,0.3138507552088542,383.0,,,,,,,,,,,,1
0.5,2,100,0.5,0.0008626609759506,0.0005382623554082,0.2427871463482838,0.1523058031100682,0.5731863001373877,0.3584602852314313,0.176659023550584,0.0748087803691306,0.5696596198161846,0.3141846659221509,383.0,,,,,,,,,,,,1
0.5,2,100,0.55,0.0008597178993057,0.000535467503151,0.2427871463482838,0.1523058031100682,0.5729188196816982,0.3579253243200525,0.176659023550584,0.0748087803691306,0.5693723324470674,0.314029963902263,384.0,,,,,,,,,,,,1
0.5,2,250,0.45,0.0016188311014578,0.0012318571460432,0.2427871463482838,0.1523058031100682,0.5066566158859074,0.3530985179151114,0.176659023550584,0.0748087803691306,0.4952446853425807,0.3005815010843073,163.0,,,,,,,,,,,,1
0.5,2,250,0.5,0.0016162204444725,0.0012214891083017,0.2427871463482838,0.1523058031100682,0.5062310787973106,0.3514085277632555,0.176659023550584,0.0748087803691306,0.4948598504249054,0.2981142415387882,163.0,,,,,,,,,,,,1
0.5,2,250,0.55,0.0016425507849238,0.001222682551495,0.2427871463482838,0.1523058031100682,0.5105229242908729,0.3516030590037569,0.176659023550584,0.0748087803691306,0.4991267654440511,0.2986505540836709,163.0,,,,,,,,,,,,1
0.5,3,100,0.45,0.0009313525623583,0.000567668188611,0.2427871463482838,0.1523058031100682,0.5734173059854831,0.3538280100669917,0.176659023550584,0.0748087803691306,0.5704874999061342,0.3085077367406891,355.0,,,,,,,,,,,,1
0.5,3,100,0.5,0.0009248724288712,0.0005594471237394,0.2427871463482838,0.1523058031100682,0.5738914758842053,0.3525878734087952,0.176659023550584,0.0748087803691306,0.5707314125082589,0.3071563508611612,358.0,,,,,,,,,,,,1
0.5,3,100,0.55,0.000924665075293,0.0005650524626439,0.2427871463482838,0.1523058031100682,0.5756665734537806,0.3557246896618803,0.176659023550584,0.0748087803691306,0.5726135968008201,0.30969884570839,360.0,,,,,,,,,,,,1
0.5,3,250,0.45,0.0016467190335301,0.001218916441356,0.2427871463482838,0.1523058031100682,0.5079089107466352,0.3485513501683911,0.176659023550584,0.0748087803691306,0.4980228390312585,0.2956818735100092,161.0,,,,,,,,,,,,1
0.5,3,250,0.5,0.0016506459063973,0.0012208798777896,0.2427871463482838,0.1523058031100682,0.5085411372782648,0.3488674634342059,0.176659023550584,0.0748087803691306,0.4987224150703578,0.2961158047956999,161.0,,,,,,,,,,,,1
0.5,3,250,0.55,0.0016467190335301,0.0011938448684342,0.2427871463482838,0.1523058031100682,0.5079089107466352,0.3445148269279869,0.176659023550584,0.0748087803691306,0.4966462190082278,0.2900307166088575,161.0,,,,,,,,,,,,1
1.0,2,100,0.45,0.0009128727756954,0.00056579303824,0.2427871463482838,0.1523058031100682,0.5732470911500444,0.3571228829529842,0.176659023550584,0.0748087803691306,0.569062201510331,0.3121434252809368,362.0,,,,,,,,,,,,1
1.0,2,100,0.5,0.0009005706847665,0.000554593418745,0.2427871463482838,0.1523058031100682,0.5723960169728507,0.3552869943707522,0.176659023550584,0.0748087803691306,0.5679080284123666,0.3093561110848545,366.0,,,,,,,,,,,,1
1.0,2,100,0.55,0.0008946657813913,0.0005482723309524,0.2427871463482838,0.1523058031100682,0.5729188196816982,0.3546182932315286,0.176659023550584,0.0748087803691306,0.5684895085529096,0.3081855312394151,369.0,,,,,,,,,,,,1
1.0,2,250,0.45,0.0016276230759081,0.0011725910885779,0.2427871463482838,0.1523058031100682,0.506462084645406,0.3422655594596895,0.176659023550584,0.0748087803691306,0.4960634231453485,0.2868979460790221,162.0,,,,,,,,,,,,1
1.0,2,250,0.5,0.0016249212531234,0.0011755180632613,0.2427871463482838,0.1523058031100682,0.5060243893542778,0.3427397293584116,0.176659023550584,0.0748087803691306,0.4954602923751405,0.2875088624400138,162.0,,,,,,,,,,,,1
1.0,2,250,0.55,0.0016388806708445,0.0011750677594639,0.2427871463482838,0.1523058031100682,0.5082858150251067,0.3426667801432236,0.176659023550584,0.0748087803691306,0.4973663533917936,0.2867749990248244,162.0,,,,,,,,,,,,1
1.0,2,500,0.45,0.0024798285041051,0.0021601567399885,0.2427871463482838,0.1523058031100682,0.446133083684908,0.3294386557891281,0.176659023550584,0.0748087803691306,0.4324240845169315,0.2737329390573651,82.0,,,,,,,,,,,,1
1.0,2,500,0.5,0.0024798285041051,0.0021601567399885,0.2427871463482838,0.1523058031100682,0.446133083684908,0.3294386557891281,0.176659023550584,0.0748087803691306,0.4324240845169315,0.2737329390573651,82.0,,,,,,,,,,,,1
1.0,2,500,0.55,0.0024753803812278,0.0021625290721897,0.2427871463482838,0.1523058031100682,0.4457683376089679,0.3296331870296295,0.176659023550584,0.0748087803691306,0.4323807814118346,0.2737790809726541,82.0,,,,,,,,,,,,1
1.0,3,100,0.45,0.0009585071831869,0.0005900283257678,0.2427871463482838,0.1523058031100682,0.5705966029982128,0.3540954905226811,0.176659023550584,0.0748087803691306,0.5667729376700408,0.3076254243497584,342.0,,,,,,,,,,,,1
1.0,3,100,0.5,0.000955003768511,0.0005949720976341,0.2427871463482838,0.1523058031100682,0.570353438947586,0.3563812325985726,0.176659023550584,0.0748087803691306,0.5669190554621741,0.309440170426794,343.0,,,,,,,,,,,,1
1.0,3,100,0.55,0.0009523336256014,0.0005933132148068,0.2427871463482838,0.1523058031100682,0.57038991355518,0.3564055490036353,0.176659023550584,0.0748087803691306,0.567139903946377,0.3098554183171506,344.0,,,,,,,,,,,,1
1.0,3,250,0.45,0.0017150859288757,0.0012570490296663,0.2427871463482838,0.1523058031100682,0.5103405512529028,0.348405451738015,0.176659023550584,0.0748087803691306,0.4999302998165008,0.2954816580765158,156.0,,,,,,,,,,,,1
1.0,3,250,0.5,0.0017199959722057,0.001259309208342,0.2427871463482838,0.1523058031100682,0.511106518012377,0.3487580396114238,0.176659023550584,0.0748087803691306,0.5005325052776739,0.2958784410859115,156.0,,,,,,,,,,,,1
1.0,3,250,0.55,0.0017196842234228,0.0012596988943205,0.2427871463482838,0.1523058031100682,0.5110578852022517,0.3488188306240805,0.176659023550584,0.0748087803691306,0.500766635739179,0.2952874935045438,156.0,,,,,,,,,,,,1
1.0,3,500,0.45,0.0024974727248518,0.0020866144417502,0.2427871463482838,0.1523058031100682,0.4475799097861372,0.3234081873335846,0.176659023550584,0.0748087803691306,0.4351805039098281,0.2699793059039314,82.0,,,,,,,,,,,,1
1.0,3,500,0.5,0.0024974727248518,0.0020866144417502,0.2427871463482838,0.1523058031100682,0.4475799097861372,0.3234081873335846,0.176659023550584,0.0748087803691306,0.4351805039098281,0.2699793059039314,82.0,,,,,,,,,,,,1
1.0,3,500,0.55,0.0024958417464635,0.0020883936909011,0.2427871463482838,0.1523058031100682,0.4474461695582925,0.3235540857639606,0.176659023550584,0.0748087803691306,0.4349823180321588,0.2699649975298187,82.0,,,,,,,,,,,,1
