seed,confidence,feature_proportion,n_clusters,n_samples,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734282369,0.01,0.01,2,250,0.0246668810059657,0.0060550851998713,0.3580895223805951,0.3328332083020755,0.703425856464116,0.4176044011002751,0.3091919346654753,0.2535892231258899,0.7006046286137655,0.3825465744204013,"[499, 768, 1018, 1268, 1518, 1768, 2018, 2268, 2518, 2768, 3018, 3300, 3550, 3800]"
1734282398,0.01,0.01,3,100,0.0105157868414472,0.004066806175228,0.3580895223805951,0.3328332083020755,0.7576894223555889,0.4873718429607402,0.3091919346654753,0.2535892231258899,0.7614650035570746,0.4568475950456226,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1827, 1927, 2027, 2127, 2227, 2327, 2427, 2527, 2627, 2727, 2827, 2927, 3027, 3127, 3227, 3327, 3427, 3527, 3627, 3727, 3827, 3927]"
1734282659,0.01,0.01,2,250,0.0246668810059657,0.0060550851998713,0.3580895223805951,0.3328332083020755,0.703425856464116,0.4176044011002751,0.3091919346654753,0.2535892231258899,0.7006046286137655,0.3825465744204013,"[499, 768, 1018, 1268, 1518, 1768, 2018, 2268, 2518, 2768, 3018, 3300, 3550, 3800]"
1734282687,0.01,0.01,3,100,0.0105157868414472,0.004066806175228,0.3580895223805951,0.3328332083020755,0.7576894223555889,0.4873718429607402,0.3091919346654753,0.2535892231258899,0.7614650035570746,0.4568475950456226,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1827, 1927, 2027, 2127, 2227, 2327, 2427, 2527, 2627, 2727, 2827, 2927, 3027, 3127, 3227, 3327, 3427, 3527, 3627, 3727, 3827, 3927]"
1734282949,0.01,0.01,2,250,0.0246668810059657,0.0060550851998713,0.3580895223805951,0.3328332083020755,0.703425856464116,0.4176044011002751,0.3091919346654753,0.2535892231258899,0.7006046286137655,0.3825465744204013,"[499, 768, 1018, 1268, 1518, 1768, 2018, 2268, 2518, 2768, 3018, 3300, 3550, 3800]"
1734282966,0.01,0.01,2,1000,0.1142785696424106,0.0508877219304826,0.3580895223805951,0.3328332083020755,0.5866466616654163,0.4346086521630408,0.3091919346654753,0.2535892231258899,0.5658834689229033,0.373826512064703,"[1999, 2999]"
1734282977,0.01,0.01,3,100,0.0105157868414472,0.004066806175228,0.3580895223805951,0.3328332083020755,0.7576894223555889,0.4873718429607402,0.3091919346654753,0.2535892231258899,0.7614650035570746,0.4568475950456226,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1827, 1927, 2027, 2127, 2227, 2327, 2427, 2527, 2627, 2727, 2827, 2927, 3027, 3127, 3227, 3327, 3427, 3527, 3627, 3727, 3827, 3927]"
1734283238,0.01,0.01,2,250,0.0246668810059657,0.0060550851998713,0.3580895223805951,0.3328332083020755,0.703425856464116,0.4176044011002751,0.3091919346654753,0.2535892231258899,0.7006046286137655,0.3825465744204013,"[499, 768, 1018, 1268, 1518, 1768, 2018, 2268, 2518, 2768, 3018, 3300, 3550, 3800]"
1734283255,0.01,0.01,2,1000,0.1142785696424106,0.0508877219304826,0.3580895223805951,0.3328332083020755,0.5866466616654163,0.4346086521630408,0.3091919346654753,0.2535892231258899,0.5658834689229033,0.373826512064703,"[1999, 2999]"
1734283266,0.01,0.01,3,100,0.0105157868414472,0.004066806175228,0.3580895223805951,0.3328332083020755,0.7576894223555889,0.4873718429607402,0.3091919346654753,0.2535892231258899,0.7614650035570746,0.4568475950456226,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1827, 1927, 2027, 2127, 2227, 2327, 2427, 2527, 2627, 2727, 2827, 2927, 3027, 3127, 3227, 3327, 3427, 3527, 3627, 3727, 3827, 3927]"
1734283527,0.01,0.01,2,250,0.0246668810059657,0.0060550851998713,0.3580895223805951,0.3328332083020755,0.703425856464116,0.4176044011002751,0.3091919346654753,0.2535892231258899,0.7006046286137655,0.3825465744204013,"[499, 768, 1018, 1268, 1518, 1768, 2018, 2268, 2518, 2768, 3018, 3300, 3550, 3800]"
1734283545,0.01,0.01,2,1000,0.1142785696424106,0.0508877219304826,0.3580895223805951,0.3328332083020755,0.5866466616654163,0.4346086521630408,0.3091919346654753,0.2535892231258899,0.5658834689229033,0.373826512064703,"[1999, 2999]"
1734283556,0.01,0.01,3,100,0.0105157868414472,0.004066806175228,0.3580895223805951,0.3328332083020755,0.7576894223555889,0.4873718429607402,0.3091919346654753,0.2535892231258899,0.7614650035570746,0.4568475950456226,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1827, 1927, 2027, 2127, 2227, 2327, 2427, 2527, 2627, 2727, 2827, 2927, 3027, 3127, 3227, 3327, 3427, 3527, 3627, 3727, 3827, 3927]"
