seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734281793,0.5,2,1000,0.45,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734281804,0.5,2,1000,0.5,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734281815,0.5,2,1000,0.55,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734281899,0.5,3,1000,0.45,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734281910,0.5,3,1000,0.5,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734281921,0.5,3,1000,0.55,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734282005,1.0,2,1000,0.45,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734282016,1.0,2,1000,0.5,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734282026,1.0,2,1000,0.55,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734282082,1.0,3,500,0.45,0.0859381512044677,0.0276735850629324,0.3580895223805951,0.3328332083020755,0.6159039759939985,0.4158539634908727,0.3091919346654753,0.2535892231258899,0.6065660650855327,0.3631629307169615,"[999, 2013, 3013]"
1734282092,1.0,3,500,0.5,0.0859381512044677,0.0276735850629324,0.3580895223805951,0.3328332083020755,0.6159039759939985,0.4158539634908727,0.3091919346654753,0.2535892231258899,0.6065660650855327,0.3631629307169615,"[999, 2013, 3013]"
1734282102,1.0,3,500,0.55,0.0858547970325914,0.0275068767191797,0.3580895223805951,0.3328332083020755,0.6156539134783696,0.4153538384596149,0.3091919346654753,0.2535892231258899,0.6064799635547319,0.3625392784074986,"[999, 2012, 3012]"
1734282112,1.0,3,1000,0.45,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734282123,1.0,3,1000,0.5,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
1734282134,1.0,3,1000,0.55,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,"[1999, 3999]"
