seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1736949220,True,100,100,0.0,0.0,0.3604390073942162,0.3604712683726272,0.5396745512497904,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357984863359642,0.4377244408531899,,,,1.0,[]
1736949248,True,250,25,0.0,0.0,0.3604390073942162,0.3604712683726272,0.5396745512497904,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357984863359642,0.4377244408531899,,,,1.0,[]
1736949282,True,250,50,0.0,0.0,0.3604390073942162,0.3604712683726272,0.5396745512497904,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357984863359642,0.4377244408531899,,,,1.0,[]
1736949316,True,250,100,0.0,0.0,0.3604390073942162,0.3604712683726272,0.5396745512497904,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357984863359642,0.4377244408531899,,,,1.0,[]
1736949348,True,500,25,0.0,0.0,0.3604390073942162,0.3604712683726272,0.5396745512497904,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357984863359642,0.4377244408531899,,,,1.0,[]
1736949392,True,500,50,0.0,0.0,0.3604390073942162,0.3604712683726272,0.5396745512497904,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357984863359642,0.4377244408531899,,,,1.0,[]
1736949433,True,500,100,0.0,0.0,0.3604390073942162,0.3604712683726272,0.5396745512497904,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357984863359642,0.4377244408531899,,,,1.0,[]
