n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
2,100,0.005,0.0003225345642116,0.000334657504415,0.3604390073942162,0.3604712683726272,0.858432374537055,0.877182455189501,0.3558536212730926,0.3558927203261205,0.85811830504081,0.8769595037412034,1.9021901703060693,102.19352708058123,53.72413793103448,0.0,1544.0,,,,,,,,,,,,,,,,1
2,250,0.005,0.0007838791327096,0.0008036846589379,0.3604390073942162,0.3604712683726272,0.8448763114087724,0.857148387596299,0.3558536212730926,0.3558927203261205,0.8447816681446794,0.8570930572485574,4.216932368515273,262.46768707482994,62.241379310344826,0.0,618.0,,,,,,,,,,,,,,,,1
2,500,0.005,0.0153400952344082,0.014555078093075,0.3604390073942162,0.3604712683726272,0.8206418644264644,0.7971236111648794,0.3558536212730926,0.3558927203261205,0.820284289559407,0.796987107727044,,,251.6206896551724,0.0,30.0,,,,,,,,,,,,,,,,1
2,500,0.05,0.0090305923413429,0.0086506572802109,0.3604390073942162,0.3604712683726272,0.8300298091440517,0.8103054469435949,0.3558536212730926,0.3558927203261205,0.829822552193164,0.8102485699502604,58.52384453478649,6362.954545454545,108.72413793103448,0.0,52.0,,,,,,,,,,,,,,,,1
2,1000,0.005,0.0150273788170114,0.0138616821304289,0.3604390073942162,0.3604712683726272,0.8112603719045591,0.7763217322854967,0.3558536212730926,0.3558927203261205,0.8111165604710026,0.7763500727647666,,,478.5172413793104,0.0,30.0,,,,,,,,,,,,,,,,1
2,1000,0.05,0.0153682698222205,0.0145576589713479,0.3604390073942162,0.3604712683726272,0.8214871020608313,0.7972010375130657,0.3558536212730926,0.3558927203261205,0.8210864029612953,0.7970697598946428,,,256.82758620689657,0.0,30.0,,,,,,,,,,,,,,,,1
3,100,0.005,0.000326921100727,0.0003387107148269,0.3604390073942162,0.3604712683726272,0.8599744493050985,0.8780212406281858,0.3558536212730926,0.3558927203261205,0.8596691628559533,0.877768157229875,1.8394159267810328,103.32443257676904,56.172413793103445,0.0,1528.0,,,,,,,,,,,,,,,,1
3,100,0.05,0.0003237018223968,0.0003359226478103,0.3604390073942162,0.3604712683726272,0.8615294284645064,0.8804795271831004,0.3558536212730926,0.3558927203261205,0.861217006559742,0.8802563926646734,1.4224452543174555,101.92555994729908,71.65517241379311,0.0,1548.0,,,,,,,,,,,,,,,,1
3,250,0.005,0.0008037016246628,0.0008365620469294,0.3604390073942162,0.3604712683726272,0.8362303691946369,0.8557160001548527,0.3558536212730926,0.3558927203261205,0.8359037342975492,0.8555467517664463,2.3168408762025425,274.66548042704625,118.55172413793105,0.0,592.0,,,,,,,,,,,,,,,,1
3,500,0.005,0.0153424610394917,0.0145348612132708,0.3604390073942162,0.3604712683726272,0.8207128385789684,0.7965171047707534,0.3558536212730926,0.3558927203261205,0.8202749771122004,0.7963729985449474,,,259.0344827586207,0.0,30.0,,,,,,,,,,,,,,,,1
3,500,0.05,0.0111893363025723,0.0106310677523561,0.3604390073942162,0.3604712683726272,0.8303911321022543,0.8069761139715845,0.3558536212730926,0.3558927203261205,0.8301603269607355,0.8068995889849541,95.06008242015548,11666.166666666666,122.72413793103448,0.0,42.0,,,,,,,,,,,,,,,,1
3,1000,0.005,0.0149428550535747,0.0138281307128815,0.3604390073942162,0.3604712683726272,0.8087246590014582,0.775315189759075,0.3558536212730926,0.3558927203261205,0.808531231835368,0.7753698042032662,,,494.13793103448273,0.0,30.0,,,,,,,,,,,,,,,,1
3,1000,0.05,0.0153263305502862,0.0144935671609048,0.3604390073942162,0.3604712683726272,0.8202289239028041,0.7952782831997729,0.3558536212730926,0.3558927203261205,0.8198284677261581,0.7951514790052036,,,271.3793103448276,0.0,30.0,,,,,,,,,,,,,,,,1
