seed,n_samples,outlier_detector_kwargs,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734287646,100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0114239086087311,0.0041589344704597,0.3580895223805951,0.3328332083020755,0.792198049512378,0.4908727181795448,0.3091919346654753,0.2535892231258899,0.7937249663863172,0.4619519328067262,"[222, 322, 422, 522, 622, 722, 822, 922, 1022, 1122, 1222, 1322, 1422, 1522, 1622, 1722, 1822, 1922, 2022, 2122, 2222, 2322, 2422, 2522, 2622, 2722, 2822, 2922, 3022, 3122, 3222, 3322, 3422, 3522, 3622, 3722, 3822, 3922]"
1734287707,500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.037938055942557,0.0106812417390061,0.3580895223805951,0.3328332083020755,0.6236559139784946,0.4076019004751188,0.3091919346654753,0.2535892231258899,0.6156531611053251,0.3615774525695541,"[999, 1499, 1999, 2499, 2999, 3499, 3999]"
1734287747,1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0761857130949403,0.033925147953655,0.3580895223805951,0.3328332083020755,0.5866466616654163,0.4346086521630408,0.3091919346654753,0.2535892231258899,0.5658834689229033,0.373826512064703,"[1999, 2999, 3999]"
1734287758,1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0761857130949403,0.033925147953655,0.3580895223805951,0.3328332083020755,0.5866466616654163,0.4346086521630408,0.3091919346654753,0.2535892231258899,0.5658834689229033,0.373826512064703,"[1999, 2999, 3999]"
