n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
2,100,0.005,0.0118057975128936,0.0120133431406707,0.4464661324248641,0.4406591563108926,0.8006400578116734,0.8010594505310157,0.416825438069297,0.4087358755888663,0.7884691084164044,0.7888851233171087,,,10.89655172413793,0.0,30.0,,,,,,,,,,,,,,,,1
2,100,0.05,0.0118268746854554,0.0120281831907398,0.4464661324248641,0.4406591563108926,0.801272372988528,0.8015046520330869,0.416825438069297,0.4087358755888663,0.7890371612095782,0.7892556786156208,,,6.137931034482759,0.0,30.0,,,,,,,,,,,,,,,,1
2,250,0.005,0.011730306823412,0.0119365620120527,0.4464661324248641,0.4406591563108926,0.7983753371272244,0.7987560166724736,0.416825438069297,0.4087358755888663,0.7863926395736426,0.7867644385388116,,,32.241379310344826,0.0,30.0,,,,,,,,,,,,,,,,1
2,250,0.05,0.0117752571199979,0.0119821575282068,0.4464661324248641,0.4406591563108926,0.7997238460248023,0.8001238821570981,0.416825438069297,0.4087358755888663,0.7876730278752313,0.7880368955862741,,,18.82758620689655,0.0,30.0,,,,,,,,,,,,,,,,1
2,500,0.005,0.0116031985684728,0.0118073030252194,0.4464661324248641,0.4406591563108926,0.7945620894790497,0.7948782470674771,0.416825438069297,0.4087358755888663,0.7830308303368217,0.7833106261846822,,,67.96551724137932,0.0,30.0,,,,,,,,,,,,,,,,1
2,500,0.05,0.0116958951131069,0.0119004297162324,0.4464661324248641,0.4406591563108926,0.797342985818074,0.7976720477978656,0.416825438069297,0.4087358755888663,0.7854217988199617,0.7857544038229772,,,39.6551724137931,0.0,30.0,,,,,,,,,,,,,,,,1
2,1000,0.005,0.0113986639653474,0.0115928750553813,0.4464661324248641,0.4406591563108926,0.7884260513852864,0.788445407972333,0.416825438069297,0.4087358755888663,0.7775630601144279,0.7775751306609737,,,138.75862068965515,0.0,30.0,,,,,,,,,,,,,,,,1
2,1000,0.05,0.0115526563689623,0.0117584814112242,0.4464661324248641,0.4406591563108926,0.7930458234937349,0.7934135986476197,0.416825438069297,0.4087358755888663,0.7816208648718218,0.7819587597116816,,,82.10344827586206,0.0,30.0,,,,,,,,,,,,,,,,1
3,100,0.005,0.0118055824397042,0.0120135582138601,0.4464661324248641,0.4406591563108926,0.8006336056159912,0.8010659027266979,0.416825438069297,0.4087358755888663,0.78844599175723,0.788880038448732,,,11.03448275862069,0.0,30.0,,,,,,,,,,,,,,,,1
3,100,0.05,0.0118264445390766,0.0120266776784139,0.4464661324248641,0.4406591563108926,0.8012594685971636,0.8014594866633116,0.416825438069297,0.4087358755888663,0.7890255953763256,0.7892093875921989,,,6.344827586206897,0.0,30.0,,,,,,,,,,,,,,,,1
3,250,0.005,0.0117281560915179,0.0119344112801586,0.4464661324248641,0.4406591563108926,0.7983108151704025,0.7986914947156517,0.416825438069297,0.4087358755888663,0.786325721427842,0.7866981276613026,,,32.827586206896555,0.0,30.0,,,,,,,,,,,,,,,,1
3,250,0.05,0.0117720310221568,0.0119785012839869,0.4464661324248641,0.4406591563108926,0.7996270630895694,0.8000141948305008,0.416825438069297,0.4087358755888663,0.787546134589614,0.7878919284110809,,,19.379310344827587,0.0,30.0,,,,,,,,,,,,,,,,1
3,500,0.005,0.0115986820314953,0.011806012586083,0.4464661324248641,0.4406591563108926,0.7944265933697238,0.7948395338933839,0.416825438069297,0.4087358755888663,0.7829364834892276,0.7833143756141876,,,69.13793103448276,0.0,30.0,,,,,,,,,,,,,,,,1
3,500,0.05,0.0116933142348341,0.0119040859604523,0.4464661324248641,0.4406591563108926,0.7972655594698876,0.7977817351244628,0.416825438069297,0.4087358755888663,0.7853770534906449,0.7858900988094838,,,40.51724137931034,0.0,30.0,,,,,,,,,,,,,,,,1
3,1000,0.005,0.0113861897203618,0.0115814761763428,0.4464661324248641,0.4406591563108926,0.7880518240357194,0.7881034416011768,0.416825438069297,0.4087358755888663,0.7771752552720442,0.7772188739923752,,,140.86206896551724,0.0,30.0,,,,,,,,,,,,,,,,1
3,1000,0.05,0.0115502905638788,0.0117546100938149,0.4464661324248641,0.4406591563108926,0.7929748493412309,0.7932974591253403,0.416825438069297,0.4087358755888663,0.7815557186944462,0.7818606371313925,,,83.93103448275862,0.0,30.0,,,,,,,,,,,,,,,,1
