disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
False,100,50,0.0118333268811376,0.0120395820697783,0.4464661324248641,0.4406591563108926,0.8014659388589938,0.801846618404243,0.416825438069297,0.4087358755888663,0.7892037486411742,0.789565901517893,,,2.4827586206896552,0.0,30.0,,,,,,,,,,,,,,,,1
False,100,100,0.0118333268811376,0.012037861484263,0.4464661324248641,0.4406591563108926,0.8014659388589938,0.8017950008387854,0.416825438069297,0.4087358755888663,0.7891883887090941,0.7894954487192979,,,2.9655172413793105,0.0,30.0,,,,,,,,,,,,,,,,1
False,100,250,0.0118313912224329,0.0120365710451266,0.4464661324248641,0.4406591563108926,0.801407869097854,0.8017562876646923,0.416825438069297,0.4087358755888663,0.7891445935200041,0.7894785161565671,,,3.896551724137931,0.0,30.0,,,,,,,,,,,,,,,,1
False,250,50,0.0028853045964268,0.0029443875122605,0.4464661324248641,0.4406591563108926,0.795587988592518,0.7969300452944137,0.416825438069297,0.4087358755888663,0.7841156019548495,0.7854545698158439,118.75683361864266,1629.8351648351647,13.724137931034482,0.0,121.0,,,,,,,,,,,,,,,,1
False,250,100,0.0065494565578444,0.0066691806332806,0.4464661324248641,0.4406591563108926,0.8001367865484624,0.8007949105080459,0.416825438069297,0.4087358755888663,0.7881345290162232,0.7887490759770439,481.4751126126126,6142.958333333333,12.758620689655173,0.0,54.0,,,,,,,,,,,,,,,,1
False,250,250,0.0118303158564859,0.0120372162646948,0.4464661324248641,0.4406591563108926,0.8013756081194431,0.8017756442517389,0.416825438069297,0.4087358755888663,0.7891009048006717,0.789492071366663,,,3.4482758620689653,0.0,30.0,,,,,,,,,,,,,,,,1
False,500,50,0.0019304459137953,0.001977543296967,0.4464661324248641,0.4406591563108926,0.7881550591666344,0.7906843198740532,0.416825438069297,0.4087358755888663,0.7772606285510877,0.7797447686637656,8.622431466865923,1039.4489795918366,120.55172413793105,0.0,177.0,,,,,,,,,,,,,,,,1
False,500,100,0.0028166719280912,0.0028773645330042,0.4464661324248641,0.4406591563108926,0.7929167795800911,0.7945749938704141,0.416825438069297,0.4087358755888663,0.7814513985676353,0.7830232949227588,19.44183487392316,1604.956989247312,82.55172413793103,0.0,123.0,,,,,,,,,,,,,,,,1
False,500,250,0.0064104323792295,0.0065257507129676,0.4464661324248641,0.4406591563108926,0.79903991328249,0.7995754455241119,0.416825438069297,0.4087358755888663,0.7870974645203977,0.7876114291913936,198.81888631090487,5909.72,29.724137931034484,0.0,55.0,,,,,,,,,,,,,,,,1
False,1000,50,0.0033851668237552,0.0034560132100082,0.4464661324248641,0.4406591563108926,0.7883679816241467,0.7897164905217245,0.416825438069297,0.4087358755888663,0.7765693262339041,0.7778861808562682,7.614872027866121,2124.549295774648,279.0,0.0,101.0,,,,,,,,,,,,,,,,1
False,1000,100,0.0042077758085466,0.0042923625202339,0.4464661324248641,0.4406591563108926,0.7915037487256914,0.7926328829700747,0.416825438069297,0.4087358755888663,0.7795191633179744,0.7806239027411803,14.43137714353606,2899.7115384615386,200.93103448275863,0.0,82.0,,,,,,,,,,,,,,,,1
False,1000,250,0.0062183035887112,0.006335480071011,0.4464661324248641,0.4406591563108926,0.7946911333926935,0.7954460402875099,0.416825438069297,0.4087358755888663,0.7825992165225375,0.7833558224985483,67.25233846153846,5797.615384615385,86.20689655172414,0.0,56.0,,,,,,,,,,,,,,,,1
