const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.5,2,100,0.45,0.0004391782359463,0.000460177531936,0.4464661324248641,0.4406591563108926,0.7569651452389248,0.7660046713896739,0.416825438069297,0.4087358755888663,0.7491142120481852,0.7579175101695173,2.690204228932072,228.57459379615952,84.96551724137932,0.0,707.0,,,,,,,,,,,,,,,,1
0.5,2,100,0.5,0.0004317129982842,0.0004518513973424,0.4464661324248641,0.4406591563108926,0.7564360651929851,0.7650884596028028,0.416825438069297,0.4087358755888663,0.7485688466685373,0.7569324714784192,2.5557715624515693,224.81976744186048,87.96551724137932,0.0,718.0,,,,,,,,,,,,,,,,1
0.5,2,100,0.55,0.0004254183235745,0.000446792332687,0.4464661324248641,0.4406591563108926,0.7553198353399662,0.7650303898416632,0.416825438069297,0.4087358755888663,0.74742365048533,0.7569126585635546,2.366813563471661,222.23563218390805,93.89655172413794,0.0,726.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.45,0.0016236070589367,0.0016623511047795,0.4464661324248641,0.4406591563108926,0.7858000077426348,0.7880905372098125,0.416825438069297,0.4087358755888663,0.7752223574439568,0.777418864551214,4.687821606948284,860.2960893854748,183.51724137931035,0.0,209.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.5,0.001589693789698,0.0016282555037986,0.4464661324248641,0.4406591563108926,0.7850709096305473,0.7874775786200043,0.416825438069297,0.4087358755888663,0.774507909259793,0.7768140296093119,4.620109951728005,841.4972677595629,182.1379310344828,0.0,213.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.55,0.0015623573646556,0.0016023550036299,0.4464661324248641,0.4406591563108926,0.7839353231904818,0.7867678370949635,0.416825438069297,0.4087358755888663,0.7732362289844726,0.775980271111123,3.989004353597122,827.9247311827957,207.55172413793105,0.0,216.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.45,0.0052839512055183,0.0053843076645136,0.4464661324248641,0.4406591563108926,0.7899229607835546,0.7906391545042778,0.416825438069297,0.4087358755888663,0.777816670983093,0.7784821857077842,18.192515230635337,4324.8,237.72413793103448,0.0,65.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.5,0.0050496022031591,0.0051431590405509,0.4464661324248641,0.4406591563108926,0.7898390822396861,0.7903939710683545,0.416825438069297,0.4087358755888663,0.7777706818298666,0.7783006492326319,15.85278036590034,3983.421052631578,251.27586206896552,0.0,68.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.55,0.004686150176357,0.0047733873974299,0.4464661324248641,0.4406591563108926,0.7885550952989302,0.7891164363232808,0.416825438069297,0.4087358755888663,0.7767056139696716,0.7772316691327473,13.098119603033938,3520.232558139535,268.7586206896552,0.0,73.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.45,0.011269488232652,0.0114682574867324,0.4464661324248641,0.4406591563108926,0.7958202676370769,0.7961751383995974,0.416825438069297,0.4087358755888663,0.7838769020583195,0.7842209208496335,1342.357962368059,100862.0,75.13793103448276,0.0,31.0,,,,,,,,,,,,,,,,1
