n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
2,100,0.005,0.0003550023325204,0.0003447800267258,0.6963430513561828,0.7032287965394717,0.8457990333473108,0.8483811877910441,0.6326115658062732,0.6675166905378538,0.8411098708995444,0.8438833098711871,421.0,,,,,,,,,,,,1
2,100,0.05,0.0003411088243761,0.0003225264391721,0.6963430513561828,0.7032287965394717,0.8474542605548322,0.8461080090927148,0.6326115658062732,0.6675166905378538,0.8428387351970112,0.8416941094443599,443.0,,,,,,,,,,,,1
2,250,0.005,0.000767607536553,0.0007097562029884,0.6963430513561828,0.7032287965394717,0.8260687250336562,0.823177594844519,0.6326115658062732,0.6675166905378538,0.8204839333234413,0.8179852599919373,169.0,,,,,,,,,,,,1
2,250,0.05,0.0006924367151464,0.0006560718749811,0.6963430513561828,0.7032287965394717,0.818211913221955,0.8186974465361612,0.6326115658062732,0.6675166905378538,0.8123657960632422,0.8129389332948532,176.0,,,,,,,,,,,,1
2,500,0.005,0.0017494963380068,0.0014149828014011,0.6963430513561828,0.7032287965394717,0.8188077950166626,0.8022775926375494,0.6326115658062732,0.6675166905378538,0.8122037368668377,0.7942725116399911,70.0,,,,,,,,,,,,1
2,500,0.05,0.0015311899281729,0.0012970835315648,0.6963430513561828,0.7032287965394717,0.8173070556818433,0.8056983955330935,0.6326115658062732,0.6675166905378538,0.8109371605132979,0.7987505786226703,79.0,,,,,,,,,,,,1
2,1000,0.005,0.0032644758815004,0.0022719526041015,0.6963430513561828,0.7032287965394717,0.8138641830901988,0.7850190902871268,0.6326115658062732,0.6675166905378538,0.8077835966861155,0.7760578452628184,36.0,,,,,,,,,,,,1
2,1000,0.05,0.0032603502401123,0.002282722350697,0.6963430513561828,0.7032287965394717,0.816976010240339,0.7876895235152612,0.6326115658062732,0.6675166905378538,0.810179227290981,0.7785874055535909,37.0,,,,,,,,,,,,1
3,100,0.005,0.0003616323261481,0.0003481869530384,0.6963430513561828,0.7032287965394717,0.8453355697292049,0.8466818211913222,0.6326115658062732,0.6675166905378538,0.840611119456863,0.8422364079997304,412.0,,,,,,,,,,,,1
3,100,0.05,0.0003408709911379,0.0003219757033808,0.6963430513561828,0.7032287965394717,0.8456445454746088,0.8442541546202909,0.6326115658062732,0.6675166905378538,0.8408995837418166,0.8398716737829461,438.0,,,,,,,,,,,,1
3,250,0.005,0.0007795284174088,0.0007081028554842,0.6963430513561828,0.7032287965394717,0.824965240228642,0.8200657676943789,0.6326115658062732,0.6675166905378538,0.8193855816448771,0.8145563363906827,165.0,,,,,,,,,,,,1
3,250,0.05,0.0007520185527505,0.0006983663605067,0.6963430513561828,0.7032287965394717,0.8271942795347708,0.8247445432676392,0.6326115658062732,0.6675166905378538,0.8218933369950546,0.8197179009174905,174.0,,,,,,,,,,,,1
3,500,0.005,0.0017744035664628,0.0014212884288583,0.6963430513561828,0.7032287965394717,0.8205513010085851,0.8027189865595551,0.6326115658062732,0.6675166905378538,0.8139612228481473,0.7947057178434078,70.0,,,,,,,,,,,,1
3,500,0.05,0.0015339835605906,0.0012956867153559,0.6963430513561828,0.7032287965394717,0.8175277526428462,0.8055880470525921,0.6326115658062732,0.6675166905378538,0.8111211358103793,0.7986414147627978,79.0,,,,,,,,,,,,1
3,1000,0.005,0.0032663150228421,0.0022578525204819,0.6963430513561828,0.7032287965394717,0.8139303921784997,0.7845114872768202,0.6326115658062732,0.6675166905378538,0.808072498474841,0.7756627224136455,36.0,,,,,,,,,,,,1
3,1000,0.05,0.0032418594136499,0.0023053885250702,0.6963430513561828,0.7032287965394717,0.8162918496612301,0.788528171967072,0.6326115658062732,0.6675166905378538,0.8094943918019961,0.77953593749543,37.0,,,,,,,,,,,,1
