seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1733720424,True,50,25,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720475,True,50,50,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720526,True,50,100,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720578,True,100,25,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720630,True,100,50,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720682,True,100,100,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720734,True,250,25,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720788,True,250,50,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720842,True,250,100,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720894,True,500,25,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733720951,True,500,50,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733721006,True,500,100,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
