seed,n_clusters,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1733706983,2,250,0.005,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733707724,2,500,0.05,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733708749,2,500,0.005,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733709774,2,1000,0.05,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733711128,2,1000,0.005,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733714417,3,250,0.005,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733715225,3,500,0.05,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733716337,3,500,0.005,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733717451,3,1000,0.05,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
1733718938,3,1000,0.005,0.0,0.0,0.1746672045179507,0.1754915200729607,0.5211428170545627,0.4738937509865478,0.1637466349160202,0.1640181559553793,0.5099760224999897,0.4630586247866536,[]
