seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734283981,125,1.0,0.8,0.08227056764191049,0.035092106359923304,0.35808952238059516,0.3328332083020755,0.6049012253063266,0.43810952738184544,0.30919193466547534,0.2535892231258899,0.5954196818330251,0.37660350179243457,"[1006, 1888, 2014]"
1734283991,250,0.1,0.6,0.02317245978161207,0.00515128782195549,0.35808952238059516,0.3328332083020755,0.7056764191047762,0.41010252563140787,0.30919193466547534,0.2535892231258899,0.7047720924913865,0.37754219312782766,"[275, 526, 777, 1028, 1279, 1530, 1807, 2058, 2309, 2560, 2811, 3062, 3313, 3616, 3867]"
1734283998,250,0.1,0.7,0.025172959906643325,0.0057014253563390845,0.35808952238059516,0.3328332083020755,0.735683920980245,0.4183545886471618,0.30919193466547534,0.2535892231258899,0.7369162800783909,0.38221850157356674,"[275, 526, 777, 1054, 1305, 1608, 1859, 2110, 2361, 2612, 2863, 3114, 3365, 3616, 3867]"
1734284005,250,0.1,0.8,0.026583568969165364,0.005405197453209456,0.35808952238059516,0.3328332083020755,0.7036759189797449,0.40310077519379844,0.30919193466547534,0.2535892231258899,0.7015575650448327,0.3642081147975566,"[275, 552, 855, 1106, 1357, 1660, 2067, 2422, 2777, 3028, 3279, 3608, 3859]"
1734284012,250,0.5,0.6,0.025202729253742003,0.007376844211052764,0.35808952238059516,0.3328332083020755,0.7109277319329832,0.4361090272568142,0.30919193466547534,0.2535892231258899,0.7108187021298503,0.4071122264684838,"[375, 626, 877, 1128, 1379, 1756, 2007, 2258, 2509, 2886, 3137, 3388, 3639, 3890]"
1734284019,250,0.5,0.7,0.038884721180295075,0.011252813203300828,0.35808952238059516,0.3328332083020755,0.6691672918229558,0.42285571392848215,0.30919193466547534,0.2535892231258899,0.6642409165215404,0.3752153081570845,"[375, 752, 1003, 1380, 1757, 2890, 3141, 3644]"
1734284028,250,0.5,0.8,0.11702925731432859,0.05276319079769942,0.35808952238059516,0.3328332083020755,0.5921480370092523,0.43835958989747437,0.30919193466547534,0.2535892231258899,0.5717355700050462,0.3719079495515404,"[1005, 1886]"
1734284038,250,1.0,0.6,0.02662204012541597,0.006405447515725087,0.35808952238059516,0.3328332083020755,0.7041760440110028,0.41610402600650165,0.30919193466547534,0.2535892231258899,0.7029410509726268,0.3753316715917334,"[500, 751, 1002, 1253, 1504, 2006, 2257, 2508, 2759, 3010, 3261, 3512, 3763]"
1734284045,250,1.0,0.7,0.08752188047011754,0.035342168875552214,0.35808952238059516,0.3328332083020755,0.6206551637909478,0.43885971492873216,0.30919193466547534,0.2535892231258899,0.6106395640969792,0.37581288082518666,"[500, 1253, 2006]"
1734284055,250,1.0,0.8,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.30919193466547534,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734284067,500,0.1,0.6,0.04393955631765084,0.006894580788054153,0.35808952238059516,0.3328332083020755,0.665666416604151,0.3810952738184546,0.30919193466547534,0.2535892231258899,0.6540918648268764,0.3183225412207187,"[601, 1102, 1603, 2257, 2809, 3310, 3811]"
1734284075,500,0.1,0.7,0.04393955631765084,0.006894580788054153,0.35808952238059516,0.3328332083020755,0.665666416604151,0.3810952738184546,0.30919193466547534,0.2535892231258899,0.6540918648268764,0.3183225412207187,"[601, 1102, 1603, 2257, 2809, 3310, 3811]"
1734284083,500,0.1,0.8,0.04730349253980162,0.012669834125197963,0.35808952238059516,0.3328332083020755,0.6419104776194049,0.4088522130532633,0.30919193466547534,0.2535892231258899,0.6298729488862913,0.3508119230851768,"[601, 1102, 1858, 2512, 3115, 3973]"
1734284092,500,0.5,0.6,0.057314328582145524,0.017104276069017255,0.35808952238059516,0.3328332083020755,0.6446611652913228,0.4183545886471618,0.30919193466547534,0.2535892231258899,0.6364588431543952,0.3720285764249499,"[750, 1251, 1752, 2504, 3256]"
1734284101,500,0.5,0.7,0.2473118279569892,0.12578144536134034,0.35808952238059516,0.3328332083020755,0.6054013503375844,0.45861465366341586,0.30919193466547534,0.2535892231258899,0.5825620821435873,0.39649299226688756,[1252]
1734284112,500,0.5,0.8,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.30919193466547534,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
