n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
2,100,0.005,3.5255217139360285e-05,6.117676275865063e-05,0.5011119150988905,0.382040520984081,0.6938169319826338,0.7164327062228654,0.0669601464993663,0.08147816845807,0.235087698253205,0.2408921476463473,5466.0,,,,,,,,,,,,1
2,100,0.05,3.332767268725062e-05,5.783884784232839e-05,0.5011119150988905,0.382040520984081,0.6959454896285576,0.7201664254703328,0.0669601464993663,0.08147816845807,0.2392452043961576,0.2408872481517291,5846.0,,,,,,,,,,,,1
2,250,0.005,8.076044698422857e-05,0.0001472141769677,0.5011119150988905,0.382040520984081,0.6822575976845152,0.7122419199228172,0.0669601464993663,0.08147816845807,0.2180187367505211,0.2464310637124865,2243.0,,,,,,,,,,,,1
2,250,0.05,6.998302720240936e-05,0.0001284935268828,0.5011119150988905,0.382040520984081,0.6811782440906898,0.712654365653642,0.0669601464993663,0.08147816845807,0.2235905334140818,0.2378897512333859,2573.0,,,,,,,,,,,,1
2,500,0.005,0.0001363704064324,0.000281715094889,0.5011119150988905,0.382040520984081,0.6490738060781476,0.6877013989387362,0.0669601464993663,0.08147816845807,0.2013280312705272,0.2157908701167221,1085.0,,,,,,,,,,,,1
2,500,0.05,0.0001225839038592,0.0002555764950886,0.5011119150988905,0.382040520984081,0.6495610226724554,0.6915436565364207,0.0669601464993663,0.08147816845807,0.2056852007592747,0.217484771045189,1211.0,,,,,,,,,,,,1
2,1000,0.005,0.0002612727786537,0.0005294957016653,0.5011119150988905,0.382040520984081,0.6411541244573082,0.6658502170767004,0.0669601464993663,0.08147816845807,0.1939062208226322,0.2181898362601021,536.0,,,,,,,,,,,,1
2,1000,0.05,0.0002368637330045,0.0004831601105117,0.5011119150988905,0.382040520984081,0.6418089725036179,0.6690376266280752,0.0669601464993663,0.08147816845807,0.1931381725212975,0.2207146164341294,594.0,,,,,,,,,,,,1
3,100,0.005,3.54089433064004e-05,6.141105221113491e-05,0.5011119150988905,0.382040520984081,0.6937011577424023,0.7160552339604438,0.0669601464993663,0.08147816845807,0.2338700785561553,0.2413535953106019,5439.0,,,,,,,,,,,,1
3,100,0.05,3.342712545874149e-05,5.803615772664868e-05,0.5011119150988905,0.382040520984081,0.6955909310178485,0.7196948866377231,0.0669601464993663,0.08147816845807,0.2381761342911227,0.2418023867639361,5818.0,,,,,,,,,,,,1
3,250,0.005,8.130589219372088e-05,0.0001487560445889,0.5011119150988905,0.382040520984081,0.6814483839845634,0.7119814278822962,0.0669601464993663,0.08147816845807,0.2165760570493623,0.2450168654591745,2218.0,,,,,,,,,,,,1
3,250,0.05,7.037090362219414e-05,0.0001301217704778,0.5011119150988905,0.382040520984081,0.6800651230101302,0.7129401833092137,0.0669601464993663,0.08147816845807,0.2237142039414335,0.2442472116791015,2543.0,,,,,,,,,,,,1
3,500,0.005,0.0001371303055914,0.0002832433270134,0.5011119150988905,0.382040520984081,0.6488012542209358,0.6870935841775205,0.0669601464993663,0.08147816845807,0.2003317178399403,0.2164030810927117,1077.0,,,,,,,,,,,,1
3,500,0.05,0.0001256407158934,0.0002606211802106,0.5011119150988905,0.382040520984081,0.6501218041485769,0.6911372407139411,0.0669601464993663,0.08147816845807,0.202441208582778,0.2179453259664167,1186.0,,,,,,,,,,,,1
3,1000,0.005,0.0002621632510736,0.0005305935417197,0.5011119150988905,0.382040520984081,0.6411070911722142,0.6653774722624216,0.0669601464993663,0.08147816845807,0.1933071900688374,0.2181079022541533,534.0,,,,,,,,,,,,1
3,1000,0.05,0.0002384069884586,0.0004868945889981,0.5011119150988905,0.382040520984081,0.6412952243125905,0.6683345393150024,0.0669601464993663,0.08147816845807,0.1935617151978877,0.2206011298525427,588.0,,,,,,,,,,,,1
