n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
1,10,100,50,6.958096179722675e-06,1.0994455692663867e-05,0.5011119150988905,0.382040520984081,0.7250429329474193,0.7358728895320791,0.0669601464993663,0.08147816845807,0.2713049277368976,0.2761605126787445,32182.8,7.724716016506104e-10,5.030475512628037e-10,0.0,0.0,2.6771706561523965e-05,1.5570713238385394e-05,0.0,0.0,4.4605138385397614e-05,7.110319062285653e-06,0.8366600265339669,5
1,10,100,100,1.2975860090327302e-05,2.117502214588099e-05,0.5011119150988905,0.382040520984081,0.7125820067534974,0.7271341051616016,0.0669601464993663,0.08147816845807,0.2555922451477276,0.2546201264699627,16297.2,7.1916017269551555e-09,5.955538244568032e-09,0.0,0.0,0.0001028024217326304,0.000383034093168438,0.0,0.0,0.0009062482493047102,0.00043663761440658033,16.75410397484762,5
1,10,100,250,3.1357896223720635e-05,5.751848687642212e-05,0.5011119150988905,0.382040520984081,0.6791473709599615,0.70859671972986,0.0669601464993663,0.08147816845807,0.22820486822379765,0.24456925302679142,5677.8,2.0275049799602947e-07,5.372304407959089e-07,0.0,0.0,0.00048166627050224897,0.00015755170875563285,0.0,0.0,0.0005901009644476086,0.0011263084051907715,51.86713795844155,5
1,10,250,50,6.2793472245857635e-06,9.7993939297137e-06,0.5011119150988905,0.382040520984081,0.7315325615050651,0.7416292812349252,0.0669601464993663,0.08147816845807,0.2963651621152644,0.30330868658953103,36695.0,1.4952678213996564e-10,1.2075377006690298e-10,0.0,0.0,5.486885270636806e-06,4.431059592606774e-06,0.0,0.0,6.946328918935125e-05,0.00014139545990748948,0.0,5
1,10,250,100,1.1667980508164426e-05,1.890421929965407e-05,0.5011119150988905,0.382040520984081,0.7190651230101303,0.7351637723106609,0.0669601464993663,0.08147816845807,0.27121949513506444,0.27750785068534534,18679.6,6.306523909043549e-10,2.561646421445681e-09,0.0,0.0,1.2573479516622637e-05,1.9397194515649912e-05,0.0,0.0,2.705144227012313e-05,0.0025540404489809735,1.81659021245842,5
1,10,250,250,3.193885245673964e-05,5.644489637183639e-05,0.5011119150988905,0.382040520984081,0.6884397009165462,0.7131010612638689,0.0669601464993663,0.08147816845807,0.24770767122159137,0.25178557153923375,5865.2,3.341161253089634e-08,5.941495011277e-08,0.0,0.0,0.00023976359318684157,0.00029151298630865737,0.0,0.0,0.0008882917453742356,0.0021913040553991374,2.38746727726265,5
1,10,500,50,6.714215773604224e-06,1.0575705124687722e-05,0.5011119150988905,0.382040520984081,0.7307850940665702,0.743803666184274,0.0669601464993663,0.08147816845807,0.285845669409437,0.2949621055113988,34207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,100,1.1826692328640938e-05,1.929065345411658e-05,0.5011119150988905,0.382040520984081,0.7167503617945007,0.733770863482875,0.0669601464993663,0.08147816845807,0.2694735165884704,0.26754725267905005,18233.2,3.606616922544285e-10,1.7234974391826454e-10,0.0,0.0,1.1865290763385397e-05,5.552756600648136e-06,0.0,0.0,1.2747165095700403e-05,1.41562338632299e-05,0.447213595500263,5
1,10,500,250,2.8297241802461365e-05,5.1354412915243376e-05,0.5011119150988905,0.382040520984081,0.6787843704775687,0.7044838398456343,0.0669601464993663,0.08147816845807,0.22717922249320183,0.24215696635817247,6278.8,3.9801040409746616e-08,1.0805418968174058e-07,0.0,0.0,9.343050626262987e-05,0.0002304466569070037,0.0,0.0,0.00021514368281930243,0.00036129500610451623,8.983317872590254,5
1,10,1000,50,7.38379417709226e-06,1.1862518344252233e-05,0.5011119150988905,0.382040520984081,0.7250180897250362,0.7417595272551857,0.0669601464993663,0.08147816845807,0.271167010429396,0.2844296005625274,30324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
