const,max_depth,n_samples,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
0.5,2,1000,0.45,0.6615594848647978,,1,InsectsGradualBalanced
0.5,3,1000,0.55,0.6605656548925422,,1,InsectsGradualBalanced
0.5,3,1000,0.5,0.6605656548925422,,1,InsectsGradualBalanced
0.5,3,1000,0.45,0.6605656548925422,,1,InsectsGradualBalanced
1.0,2,1000,0.45,0.6603171973994783,,1,InsectsGradualBalanced
1.0,2,1000,0.55,0.6601929686529463,,1,InsectsGradualBalanced
1.0,2,1000,0.5,0.6601929686529463,,1,InsectsGradualBalanced
1.0,3,1000,0.45,0.6582053087084351,,1,InsectsGradualBalanced
1.0,3,1000,0.5,0.6582053087084351,,1,InsectsGradualBalanced
1.0,3,1000,0.55,0.6579982607975485,,1,InsectsGradualBalanced
0.5,2,250,0.45,0.6806026129899356,,1,InsectsIncrementalAbruptBalanced
1.0,3,250,0.55,0.680590110645746,,1,InsectsIncrementalAbruptBalanced
0.5,2,250,0.5,0.6797149465524785,,1,InsectsIncrementalAbruptBalanced
0.5,2,250,0.55,0.6797149465524785,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.5,0.6792523598174658,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.45,0.6791023316871914,,1,InsectsIncrementalAbruptBalanced
1.0,3,250,0.5,0.6790773269988123,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.55,0.6789648059011064,,1,InsectsIncrementalAbruptBalanced
0.5,3,100,0.5,0.6786647496405576,,1,InsectsIncrementalAbruptBalanced
1.0,2,250,0.45,0.6783896980683878,,1,InsectsIncrementalAbruptBalanced
1.0,2,250,0.55,0.6783396886916296,,1,InsectsIncrementalAbruptBalanced
0.5,3,100,0.55,0.6783146840032506,,1,InsectsIncrementalAbruptBalanced
0.5,3,250,0.55,0.6782896793148715,,1,InsectsIncrementalAbruptBalanced
0.5,3,250,0.5,0.6782021629055448,,1,InsectsIncrementalAbruptBalanced
0.5,3,100,0.45,0.678114646496218,,1,InsectsIncrementalAbruptBalanced
1.0,2,250,0.5,0.677902106644996,,1,InsectsIncrementalAbruptBalanced
1.0,3,250,0.45,0.6776145527286366,,1,InsectsIncrementalAbruptBalanced
0.5,3,250,0.45,0.6758142151653435,,1,InsectsIncrementalAbruptBalanced
1.0,2,100,0.45,0.6755391635931737,,1,InsectsIncrementalAbruptBalanced
1.0,2,100,0.55,0.6746389948115271,,1,InsectsIncrementalAbruptBalanced
1.0,2,100,0.5,0.6742014127648934,,1,InsectsIncrementalAbruptBalanced
0.5,2,100,0.5,0.6740013752578609,,1,InsectsIncrementalAbruptBalanced
0.5,2,100,0.45,0.6737263236856911,,1,InsectsIncrementalAbruptBalanced
0.5,2,100,0.55,0.6736263049321748,,1,InsectsIncrementalAbruptBalanced
1.0,2,500,0.45,0.6728636619366131,,1,InsectsIncrementalAbruptBalanced
1.0,2,500,0.55,0.6725761080202538,,1,InsectsIncrementalAbruptBalanced
1.0,2,500,0.5,0.6725010939551166,,1,InsectsIncrementalAbruptBalanced
1.0,2,1000,0.55,0.6706132399824967,,1,InsectsIncrementalAbruptBalanced
1.0,2,1000,0.5,0.6704007001312746,,1,InsectsIncrementalAbruptBalanced
0.5,2,1000,0.55,0.6703381884103269,,1,InsectsIncrementalAbruptBalanced
0.5,2,1000,0.45,0.6703256860661374,,1,InsectsIncrementalAbruptBalanced
0.5,2,1000,0.5,0.6702881790335687,,1,InsectsIncrementalAbruptBalanced
0.5,3,500,0.55,0.6702756766893793,,1,InsectsIncrementalAbruptBalanced
0.5,3,500,0.5,0.6702256673126211,,1,InsectsIncrementalAbruptBalanced
1.0,2,1000,0.45,0.670200662624242,,1,InsectsIncrementalAbruptBalanced
0.5,2,500,0.45,0.670013127461399,,1,InsectsIncrementalAbruptBalanced
0.5,2,500,0.55,0.6699506157404513,,1,InsectsIncrementalAbruptBalanced
1.0,3,500,0.55,0.669825592298556,,1,InsectsIncrementalAbruptBalanced
1.0,3,500,0.5,0.6697630805776082,,1,InsectsIncrementalAbruptBalanced
0.5,2,500,0.5,0.6697505782334188,,1,InsectsIncrementalAbruptBalanced
1.0,3,500,0.45,0.6695755454147653,,1,InsectsIncrementalAbruptBalanced
0.5,3,500,0.45,0.6691004563355629,,1,InsectsIncrementalAbruptBalanced
0.5,3,1000,0.55,0.6671000812652372,,1,InsectsIncrementalAbruptBalanced
0.5,3,1000,0.45,0.6670500718884791,,1,InsectsIncrementalAbruptBalanced
0.5,3,1000,0.5,0.6670125648559104,,1,InsectsIncrementalAbruptBalanced
1.0,3,1000,0.5,0.66648746639995,,1,InsectsIncrementalAbruptBalanced
1.0,3,1000,0.55,0.6664499593673814,,1,InsectsIncrementalAbruptBalanced
1.0,3,1000,0.45,0.6664249546790023,,1,InsectsIncrementalAbruptBalanced
0.5,2,500,0.45,0.572443306382307,,1,InsectsIncrementalBalanced
0.5,2,500,0.5,0.572443306382307,,1,InsectsIncrementalBalanced
1.0,2,500,0.45,0.572110072434537,,1,InsectsIncrementalBalanced
1.0,2,500,0.5,0.572110072434537,,1,InsectsIncrementalBalanced
1.0,2,500,0.55,0.5720223792903871,,1,InsectsIncrementalBalanced
0.5,3,500,0.5,0.5717943771155971,,1,InsectsIncrementalBalanced
0.5,3,500,0.45,0.571759299857937,,1,InsectsIncrementalBalanced
0.5,3,500,0.55,0.571759299857937,,1,InsectsIncrementalBalanced
0.5,2,500,0.55,0.5706368276128172,,1,InsectsIncrementalBalanced
1.0,2,250,0.45,0.5701632846344072,,1,InsectsIncrementalBalanced
0.5,2,250,0.45,0.5698475893154673,,1,InsectsIncrementalBalanced
1.0,2,250,0.5,0.5690758896469474,,1,InsectsIncrementalBalanced
0.5,2,250,0.5,0.5689355806163074,,1,InsectsIncrementalBalanced
1.0,2,1000,0.45,0.5688303488433274,,1,InsectsIncrementalBalanced
0.5,2,250,0.55,0.5686725011838575,,1,InsectsIncrementalBalanced
1.0,2,250,0.55,0.5685848080397075,,1,InsectsIncrementalBalanced
0.5,3,250,0.55,0.5685497307820475,,1,InsectsIncrementalBalanced
1.0,2,1000,0.5,0.5684094217514075,,1,InsectsIncrementalBalanced
1.0,2,1000,0.55,0.5682866513495974,,1,InsectsIncrementalBalanced
0.5,3,250,0.45,0.5682164968342776,,1,InsectsIncrementalBalanced
0.5,2,1000,0.5,0.5681814195766175,,1,InsectsIncrementalBalanced
0.5,3,250,0.5,0.5678832628865075,,1,InsectsIncrementalBalanced
0.5,2,1000,0.45,0.5678832628865075,,1,InsectsIncrementalBalanced
0.5,2,1000,0.55,0.5678657242576776,,1,InsectsIncrementalBalanced
1.0,3,250,0.55,0.5676201834540575,,1,InsectsIncrementalBalanced
0.5,3,1000,0.55,0.5664450953224477,,1,InsectsIncrementalBalanced
0.5,3,1000,0.5,0.5664100180647877,,1,InsectsIncrementalBalanced
1.0,3,1000,0.5,0.5663749408071277,,1,InsectsIncrementalBalanced
1.0,3,1000,0.45,0.5663047862918077,,1,InsectsIncrementalBalanced
1.0,3,1000,0.55,0.5662697090341478,,1,InsectsIncrementalBalanced
0.5,3,1000,0.45,0.5658487819422278,,1,InsectsIncrementalBalanced
1.0,3,250,0.45,0.5579213217110687,,1,InsectsIncrementalBalanced
1.0,3,250,0.5,0.5566936176929688,,1,InsectsIncrementalBalanced
1.0,3,500,0.45,0.554816984408159,,1,InsectsIncrementalBalanced
1.0,3,500,0.5,0.554483750460389,,1,InsectsIncrementalBalanced
1.0,3,500,0.55,0.554483750460389,,1,InsectsIncrementalBalanced
0.5,3,100,0.45,0.5517477243629093,,1,InsectsIncrementalBalanced
0.5,3,100,0.5,0.5504674044583194,,1,InsectsIncrementalBalanced
1.0,3,100,0.45,0.5496606275321395,,1,InsectsIncrementalBalanced
0.5,3,100,0.55,0.5492747776978796,,1,InsectsIncrementalBalanced
1.0,3,100,0.5,0.5482926144833997,,1,InsectsIncrementalBalanced
1.0,3,100,0.55,0.5468719855481698,,1,InsectsIncrementalBalanced
0.5,2,100,0.45,0.5328235438553414,,1,InsectsIncrementalBalanced
1.0,2,100,0.45,0.5324903099075714,,1,InsectsIncrementalBalanced
1.0,2,100,0.5,0.5314906080642615,,1,InsectsIncrementalBalanced
0.5,2,100,0.5,0.5293508953470017,,1,InsectsIncrementalBalanced
1.0,2,100,0.55,0.5290001227704018,,1,InsectsIncrementalBalanced
0.5,2,100,0.55,0.5255625515197222,,1,InsectsIncrementalBalanced
1.0,3,100,0.45,0.6980433831343377,,1,InsectsIncrementalReoccurringBalanced
1.0,3,100,0.5,0.6980058761017691,,1,InsectsIncrementalReoccurringBalanced
0.5,3,100,0.45,0.6977558292179784,,1,InsectsIncrementalReoccurringBalanced
0.5,3,100,0.55,0.6972182284178283,,1,InsectsIncrementalReoccurringBalanced
0.5,3,100,0.5,0.6971307120085016,,1,InsectsIncrementalReoccurringBalanced
1.0,3,100,0.55,0.6970056885666063,,1,InsectsIncrementalReoccurringBalanced
1.0,2,250,0.5,0.6961555291617179,,1,InsectsIncrementalReoccurringBalanced
1.0,2,250,0.55,0.6957054447708946,,1,InsectsIncrementalReoccurringBalanced
1.0,2,100,0.5,0.6950803275614178,,1,InsectsIncrementalReoccurringBalanced
1.0,2,250,0.45,0.6946802525473527,,1,InsectsIncrementalReoccurringBalanced
1.0,2,100,0.45,0.6942426705007189,,1,InsectsIncrementalReoccurringBalanced
0.5,2,250,0.55,0.6937425767331374,,1,InsectsIncrementalReoccurringBalanced
1.0,3,250,0.55,0.6926048634118898,,1,InsectsIncrementalReoccurringBalanced
0.5,2,250,0.5,0.6922297930862037,,1,InsectsIncrementalReoccurringBalanced
0.5,3,250,0.5,0.692192286053635,,1,InsectsIncrementalReoccurringBalanced
0.5,3,250,0.45,0.6917922110395699,,1,InsectsIncrementalReoccurringBalanced
1.0,3,250,0.5,0.6916921922860536,,1,InsectsIncrementalReoccurringBalanced
1.0,3,250,0.45,0.6915546664999688,,1,InsectsIncrementalReoccurringBalanced
1.0,2,100,0.55,0.691492154779021,,1,InsectsIncrementalReoccurringBalanced
0.5,3,250,0.55,0.6914046383696943,,1,InsectsIncrementalReoccurringBalanced
0.5,2,100,0.45,0.6911045821091455,,1,InsectsIncrementalReoccurringBalanced
0.5,2,250,0.45,0.6911045821091455,,1,InsectsIncrementalReoccurringBalanced
0.5,2,100,0.5,0.6905294742764269,,1,InsectsIncrementalReoccurringBalanced
0.5,2,100,0.55,0.689154216415578,,1,InsectsIncrementalReoccurringBalanced
1.0,3,500,0.55,0.689016690629493,,1,InsectsIncrementalReoccurringBalanced
1.0,3,500,0.5,0.6888791648434082,,1,InsectsIncrementalReoccurringBalanced
1.0,3,500,0.45,0.6886416203038069,,1,InsectsIncrementalReoccurringBalanced
0.5,2,500,0.45,0.6883540663874477,,1,InsectsIncrementalReoccurringBalanced
0.5,2,500,0.5,0.6879914984059511,,1,InsectsIncrementalReoccurringBalanced
0.5,2,500,0.55,0.6879539913733825,,1,InsectsIncrementalReoccurringBalanced
0.5,3,500,0.5,0.6873163718197162,,1,InsectsIncrementalReoccurringBalanced
0.5,3,500,0.55,0.6871913483778208,,1,InsectsIncrementalReoccurringBalanced
0.5,3,500,0.45,0.6871913483778208,,1,InsectsIncrementalReoccurringBalanced
1.0,2,500,0.5,0.6871788460336313,,1,InsectsIncrementalReoccurringBalanced
1.0,2,500,0.45,0.6871163343126836,,1,InsectsIncrementalReoccurringBalanced
1.0,2,500,0.55,0.6870663249359255,,1,InsectsIncrementalReoccurringBalanced
1.0,2,1000,0.45,0.6850784522097894,,1,InsectsIncrementalReoccurringBalanced
1.0,2,1000,0.55,0.684815902981809,,1,InsectsIncrementalReoccurringBalanced
1.0,2,1000,0.5,0.68479089829343,,1,InsectsIncrementalReoccurringBalanced
1.0,3,1000,0.45,0.6846908795399137,,1,InsectsIncrementalReoccurringBalanced
0.5,2,1000,0.45,0.6846533725073451,,1,InsectsIncrementalReoccurringBalanced
0.5,2,1000,0.5,0.6844658373445021,,1,InsectsIncrementalReoccurringBalanced
1.0,3,1000,0.5,0.6842157904607113,,1,InsectsIncrementalReoccurringBalanced
1.0,3,1000,0.55,0.6841782834281428,,1,InsectsIncrementalReoccurringBalanced
0.5,2,1000,0.55,0.6841657810839532,,1,InsectsIncrementalReoccurringBalanced
0.5,3,1000,0.55,0.6837907107582671,,1,InsectsIncrementalReoccurringBalanced
0.5,3,1000,0.45,0.6835906732512346,,1,InsectsIncrementalReoccurringBalanced
0.5,3,1000,0.5,0.6834281427767707,,1,InsectsIncrementalReoccurringBalanced
0.5,3,250,0.55,0.7093842934243859,,1,NOAAWeather
1.0,3,250,0.55,0.7092190769908581,,1,NOAAWeather
1.0,3,250,0.5,0.7091640048463487,,1,NOAAWeather
1.0,3,250,0.45,0.7091640048463487,,1,NOAAWeather
0.5,3,250,0.5,0.7091089327018394,,1,NOAAWeather
0.5,3,250,0.45,0.7090538605573301,,1,NOAAWeather
1.0,2,250,0.45,0.7089437162683115,,1,NOAAWeather
0.5,2,250,0.55,0.7089437162683115,,1,NOAAWeather
1.0,2,250,0.55,0.7089437162683115,,1,NOAAWeather
1.0,2,250,0.5,0.7089437162683115,,1,NOAAWeather
0.5,2,250,0.5,0.7089437162683115,,1,NOAAWeather
0.5,2,250,0.45,0.7076770569445974,,1,NOAAWeather
0.5,2,1000,0.45,0.7056944597422624,,1,NOAAWeather
0.5,2,1000,0.5,0.7056944597422624,,1,NOAAWeather
1.0,2,1000,0.45,0.70508866615266,,1,NOAAWeather
0.5,2,1000,0.55,0.70508866615266,,1,NOAAWeather
1.0,2,1000,0.5,0.70508866615266,,1,NOAAWeather
0.5,3,500,0.45,0.7042625839850204,,1,NOAAWeather
1.0,3,500,0.55,0.7033814296728714,,1,NOAAWeather
1.0,3,500,0.45,0.7033814296728714,,1,NOAAWeather
1.0,3,500,0.5,0.7032712853838529,,1,NOAAWeather
0.5,3,500,0.55,0.7032162132393436,,1,NOAAWeather
1.0,2,1000,0.55,0.7032162132393436,,1,NOAAWeather
0.5,3,500,0.5,0.7031611410948342,,1,NOAAWeather
1.0,2,500,0.5,0.7006278224474061,,1,NOAAWeather
1.0,2,500,0.55,0.7006278224474061,,1,NOAAWeather
0.5,2,500,0.55,0.7005176781583875,,1,NOAAWeather
0.5,2,500,0.5,0.7001872452913317,,1,NOAAWeather
1.0,2,500,0.45,0.6999118845687851,,1,NOAAWeather
0.5,2,500,0.45,0.6996365238462385,,1,NOAAWeather
1.0,3,1000,0.5,0.6979843595109594,,1,NOAAWeather
1.0,3,1000,0.45,0.6979843595109594,,1,NOAAWeather
1.0,3,1000,0.55,0.6979843595109594,,1,NOAAWeather
0.5,3,1000,0.5,0.6960568344531336,,1,NOAAWeather
0.5,3,1000,0.45,0.6960568344531336,,1,NOAAWeather
0.5,3,1000,0.55,0.6956162572970591,,1,NOAAWeather
1.0,3,500,0.45,0.6159039759939985,,1,OutdoorObjects
1.0,3,500,0.5,0.6159039759939985,,1,OutdoorObjects
1.0,3,500,0.55,0.6156539134783696,,1,OutdoorObjects
0.5,2,1000,0.45,0.5681420355088772,,1,OutdoorObjects
0.5,2,1000,0.5,0.5681420355088772,,1,OutdoorObjects
0.5,2,1000,0.55,0.5681420355088772,,1,OutdoorObjects
0.5,3,1000,0.45,0.5681420355088772,,1,OutdoorObjects
0.5,3,1000,0.5,0.5681420355088772,,1,OutdoorObjects
0.5,3,1000,0.55,0.5681420355088772,,1,OutdoorObjects
1.0,2,1000,0.45,0.5681420355088772,,1,OutdoorObjects
1.0,2,1000,0.5,0.5681420355088772,,1,OutdoorObjects
1.0,2,1000,0.55,0.5681420355088772,,1,OutdoorObjects
1.0,3,1000,0.45,0.5681420355088772,,1,OutdoorObjects
1.0,3,1000,0.5,0.5681420355088772,,1,OutdoorObjects
1.0,3,1000,0.55,0.5681420355088772,,1,OutdoorObjects
0.5,3,100,0.5,0.6951314520019296,,1,PokerHand
0.5,3,100,0.55,0.6951290400385914,,1,PokerHand
0.5,3,100,0.45,0.6950361794500723,,1,PokerHand
1.0,3,100,0.55,0.6949167872648335,,1,PokerHand
1.0,3,100,0.5,0.6933936324167873,,1,PokerHand
1.0,3,100,0.45,0.6933550410033767,,1,PokerHand
1.0,3,250,0.45,0.6569199228171732,,1,PokerHand
1.0,3,250,0.5,0.6569199228171732,,1,PokerHand
1.0,3,250,0.55,0.6569199228171732,,1,PokerHand
0.5,3,500,0.45,0.1659705282854947,,1,Powersupply
0.5,3,500,0.5,0.1659036990009021,,1,Powersupply
0.5,3,500,0.55,0.1658368697163096,,1,Powersupply
0.5,2,500,0.45,0.1654024793664583,,1,Powersupply
0.5,2,500,0.5,0.1653356500818658,,1,Powersupply
1.0,3,250,0.55,0.1636649179670531,,1,Powersupply
0.5,2,500,0.55,0.1636649179670531,,1,Powersupply
1.0,2,500,0.45,0.1632305276172018,,1,Powersupply
0.5,2,250,0.5,0.1627627226250543,,1,Powersupply
1.0,3,250,0.45,0.1626624786981655,,1,Powersupply
0.5,2,250,0.55,0.1624954054866842,,1,Powersupply
1.0,2,250,0.5,0.1620944297791292,,1,Powersupply
1.0,2,500,0.5,0.1620610151368329,,1,Powersupply
1.0,2,250,0.55,0.1618605272830554,,1,Powersupply
0.5,2,250,0.45,0.1616600394292779,,1,Powersupply
1.0,2,500,0.55,0.1616266247869816,,1,Powersupply
1.0,3,250,0.5,0.1615932101446854,,1,Powersupply
1.0,2,250,0.45,0.160624185518094,,1,Powersupply
0.5,3,250,0.45,0.1588532094763925,,1,Powersupply
1.0,3,500,0.45,0.1579844287766899,,1,Powersupply
1.0,2,1000,0.5,0.1577505262806161,,1,Powersupply
1.0,3,500,0.5,0.1577171116383199,,1,Powersupply
1.0,3,500,0.55,0.1576836969960236,,1,Powersupply
1.0,2,1000,0.45,0.1576836969960236,,1,Powersupply
1.0,3,1000,0.55,0.1572827212884686,,1,Powersupply
0.5,3,250,0.5,0.1572827212884686,,1,Powersupply
1.0,3,1000,0.5,0.1572158920038761,,1,Powersupply
1.0,2,1000,0.55,0.157082233434691,,1,Powersupply
0.5,3,250,0.55,0.157082233434691,,1,Powersupply
0.5,3,1000,0.45,0.156814916296321,,1,Powersupply
1.0,3,1000,0.45,0.1564807698733585,,1,Powersupply
0.5,3,1000,0.5,0.1560129648812109,,1,Powersupply
0.5,3,1000,0.55,0.1560129648812109,,1,Powersupply
0.5,2,1000,0.55,0.1527717445784742,,1,Powersupply
0.5,2,1000,0.45,0.1522705249440304,,1,Powersupply
0.5,2,1000,0.5,0.1522036956594379,,1,Powersupply
1.0,3,100,0.45,0.1467571089651485,,1,Powersupply
1.0,3,100,0.5,0.1457546696962609,,1,Powersupply
1.0,3,100,0.55,0.1421458883282654,,1,Powersupply
0.5,3,100,0.45,0.1407424733518227,,1,Powersupply
0.5,3,100,0.5,0.1394727169445651,,1,Powersupply
0.5,3,100,0.55,0.1390049119524175,,1,Powersupply
0.5,2,100,0.55,0.1339593009656831,,1,Powersupply
0.5,2,100,0.45,0.1331239349082768,,1,Powersupply
1.0,2,100,0.55,0.1330905202659805,,1,Powersupply
1.0,2,100,0.5,0.1330905202659805,,1,Powersupply
0.5,2,100,0.5,0.1327897884853142,,1,Powersupply
1.0,2,100,0.45,0.1321549102816854,,1,Powersupply
0.5,3,100,0.55,0.5756665734537806,,1,RialtoBridgeTimelapse
0.5,2,100,0.45,0.5746452844411483,,1,RialtoBridgeTimelapse
0.5,3,100,0.5,0.5738914758842053,,1,RialtoBridgeTimelapse
0.5,3,100,0.45,0.5734173059854831,,1,RialtoBridgeTimelapse
1.0,2,100,0.45,0.5732470911500444,,1,RialtoBridgeTimelapse
0.5,2,100,0.5,0.5731863001373877,,1,RialtoBridgeTimelapse
0.5,2,100,0.55,0.5729188196816982,,1,RialtoBridgeTimelapse
1.0,2,100,0.55,0.5729188196816982,,1,RialtoBridgeTimelapse
1.0,2,100,0.5,0.5723960169728507,,1,RialtoBridgeTimelapse
1.0,3,100,0.45,0.5705966029982128,,1,RialtoBridgeTimelapse
1.0,3,100,0.55,0.57038991355518,,1,RialtoBridgeTimelapse
1.0,3,100,0.5,0.570353438947586,,1,RialtoBridgeTimelapse
1.0,3,250,0.5,0.511106518012377,,1,RialtoBridgeTimelapse
1.0,3,250,0.55,0.5110578852022517,,1,RialtoBridgeTimelapse
0.5,2,250,0.55,0.5105229242908729,,1,RialtoBridgeTimelapse
1.0,3,250,0.45,0.5103405512529028,,1,RialtoBridgeTimelapse
0.5,3,250,0.5,0.5085411372782648,,1,RialtoBridgeTimelapse
1.0,2,250,0.55,0.5082858150251067,,1,RialtoBridgeTimelapse
0.5,3,250,0.55,0.5079089107466352,,1,RialtoBridgeTimelapse
0.5,3,250,0.45,0.5079089107466352,,1,RialtoBridgeTimelapse
0.5,2,250,0.45,0.5066566158859074,,1,RialtoBridgeTimelapse
1.0,2,250,0.45,0.506462084645406,,1,RialtoBridgeTimelapse
0.5,2,250,0.5,0.5062310787973106,,1,RialtoBridgeTimelapse
1.0,2,250,0.5,0.5060243893542778,,1,RialtoBridgeTimelapse
1.0,3,500,0.45,0.4475799097861372,,1,RialtoBridgeTimelapse
1.0,3,500,0.5,0.4475799097861372,,1,RialtoBridgeTimelapse
1.0,3,500,0.55,0.4474461695582925,,1,RialtoBridgeTimelapse
1.0,2,500,0.5,0.446133083684908,,1,RialtoBridgeTimelapse
