disjoint_training_windows,n_samples,n_windows,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
False,1000,100,0.1583854044842449,,1,Powersupply
False,100,250,0.1555785745313596,,1,Powersupply
False,1000,250,0.1551441841815083,,1,Powersupply
False,500,50,0.1511344271059578,,1,Powersupply
False,500,250,0.1483610117953687,,1,Powersupply
False,500,100,0.1444514986467069,,1,Powersupply
False,250,250,0.1417449126207104,,1,Powersupply
False,100,100,0.1393056437330838,,1,Powersupply
False,250,100,0.1370668626992348,,1,Powersupply
False,250,50,0.1345607645270157,,1,Powersupply
False,100,50,0.1253717378955458,,1,Powersupply
False,100,100,0.5650889372515168,,1,RialtoBridgeTimelapse
False,250,50,0.5644080779097618,,1,RialtoBridgeTimelapse
False,100,50,0.5632773650743474,,1,RialtoBridgeTimelapse
False,250,100,0.5629126189984073,,1,RialtoBridgeTimelapse
False,100,250,0.5612226288465513,,1,RialtoBridgeTimelapse
False,250,250,0.5496480200367178,,1,RialtoBridgeTimelapse
False,500,50,0.5046140378606426,,1,RialtoBridgeTimelapse
False,500,100,0.4956169679874527,,1,RialtoBridgeTimelapse
False,1000,250,0.4448321560140549,,1,RialtoBridgeTimelapse
False,500,250,0.4292574985714112,,1,RialtoBridgeTimelapse
False,500,250,0.8228162543713625,,1,SineClusters
False,250,250,0.8225968797181681,,1,SineClusters
True,100,50,0.8218871381931271,,1,SineClusters
True,50,25,0.821745189888119,,1,SineClusters
False,100,250,0.8185578052211168,,1,SineClusters
True,100,25,0.817686758804021,,1,SineClusters
False,250,50,0.8172286529105854,,1,SineClusters
False,500,50,0.8157252913166351,,1,SineClusters
True,50,50,0.8157123869252707,,1,SineClusters
False,1000,250,0.8140670770263121,,1,SineClusters
False,100,50,0.8139380331126682,,1,SineClusters
False,500,100,0.8136089711328766,,1,SineClusters
False,250,100,0.8074148632779735,,1,SineClusters
False,100,100,0.8045113752209877,,1,SineClusters
False,1000,50,0.8002658304621063,,1,SineClusters
False,1000,100,0.7993883318493283,,1,SineClusters
True,50,100,0.7992399313486379,,1,SineClusters
False,100,50,0.8014659388589938,,1,WaveformDrift2
False,100,100,0.8014659388589938,,1,WaveformDrift2
False,100,250,0.801407869097854,,1,WaveformDrift2
False,250,250,0.8013756081194431,,1,WaveformDrift2
True,100,25,0.8006336056159912,,1,WaveformDrift2
False,250,100,0.8001367865484624,,1,WaveformDrift2
False,500,250,0.79903991328249,,1,WaveformDrift2
True,250,25,0.7974397687533068,,1,WaveformDrift2
True,250,50,0.7958654330068522,,1,WaveformDrift2
False,250,50,0.795587988592518,,1,WaveformDrift2
True,500,25,0.7955105622443317,,1,WaveformDrift2
False,1000,250,0.7946911333926935,,1,WaveformDrift2
False,500,100,0.7929167795800911,,1,WaveformDrift2
False,1000,100,0.7915037487256914,,1,WaveformDrift2
