n_consecutive_deviations,n_permutations,n_samples,update_interval,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
1,40,100,50,60,71,62,72,72,72,59,4,18,66,71,39,60,55.84615384615385,0.7756410256410257
1,10,500,250,61,33,5,39,37,35,2,48,66,21,4,64,37,34.76923076923077,0.48290598290598286
4,10,500,250,62,12,47,10,17,16,9,64,70,7,7,56,21,30.615384615384617,0.42521367521367526
4,40,500,250,63,10,48,12,18,18,5,54,71,9,8,66,19,30.846153846153847,0.42841880341880345
1,40,500,250,64,27,3,38,41,36,3,52,68,23,6,63,38,35.53846153846154,0.4935897435897436
1,20,500,250,65,26,4,31,42,34,1,44,62,22,5,65,39,33.84615384615385,0.4700854700854701
4,20,500,250,66,11,46,11,16,17,4,53,72,8,9,60,20,30.23076923076923,0.4198717948717949
4,20,250,250,67,2,11,17,21,5,23,66,54,17,16,59,12,28.46153846153846,0.3952991452991453
1,20,250,250,68,34,8,42,47,29,15,60,49,43,25,58,34,39.38461538461539,0.5470085470085471
1,10,250,250,69,35,7,41,43,28,18,58,51,45,26,62,36,39.92307692307692,0.5544871794871794
1,40,250,250,70,36,9,40,48,30,14,56,50,44,27,55,35,39.53846153846154,0.5491452991452992
4,10,250,250,71,3,10,18,19,6,20,67,53,16,13,61,11,28.307692307692307,0.39316239316239315
4,40,250,250,72,1,12,16,20,4,24,59,52,18,15,57,10,27.692307692307693,0.38461538461538464
