disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (ht) (std),count,stream
False,1000,50,0.0006821195944614,,1,Powersupply
False,100,250,0.0006723026030006,,1,Powersupply
False,1000,250,0.0005847562401844,,1,Powersupply
False,500,50,0.0002169020640283,,1,Powersupply
False,500,250,0.0001997917153963,,1,Powersupply
False,500,100,0.0001051942442659,,1,Powersupply
False,250,250,3.3414642296254285e-05,,1,Powersupply
False,100,100,4.731276785310454e-06,,1,Powersupply
False,250,100,-1.577913663989793e-05,,1,Powersupply
False,250,50,-3.759147258328601e-05,,1,Powersupply
False,100,50,-5.928881221592015e-05,,1,Powersupply
False,1000,250,0.0024943828353798,,1,RialtoBridgeTimelapse
False,500,250,0.0019837271513098,,1,RialtoBridgeTimelapse
False,500,100,0.0018728134936234,,1,RialtoBridgeTimelapse
False,500,50,0.0016783775096946,,1,RialtoBridgeTimelapse
False,250,250,0.0011118147597407,,1,RialtoBridgeTimelapse
False,250,100,0.0010066838762582,,1,RialtoBridgeTimelapse
False,250,50,0.0009926571961774,,1,RialtoBridgeTimelapse
False,100,250,0.0004309005175889,,1,RialtoBridgeTimelapse
False,100,100,0.000410575529813,,1,RialtoBridgeTimelapse
False,100,50,0.0004011141661152,,1,RialtoBridgeTimelapse
True,50,100,0.0365667436628684,,1,SineClusters
True,100,50,0.0219737205142338,,1,SineClusters
True,50,25,0.0209684628406319,,1,SineClusters
False,100,250,0.0208235817194045,,1,SineClusters
True,100,25,0.0207839887004456,,1,SineClusters
True,50,50,0.0206942445241388,,1,SineClusters
False,500,250,0.0057083610737919,,1,SineClusters
False,1000,250,0.0055320496296597,,1,SineClusters
False,1000,100,0.0036579110371259,,1,SineClusters
False,100,100,0.003524383871641,,1,SineClusters
False,1000,50,0.0031416201647706,,1,SineClusters
False,500,100,0.0021579522082793,,1,SineClusters
False,250,250,0.0019920597944997,,1,SineClusters
False,500,50,0.0018507572517171,,1,SineClusters
False,250,100,0.0014512203113109,,1,SineClusters
False,100,50,0.0012774620442773,,1,SineClusters
False,250,50,0.0011362926505382,,1,SineClusters
True,50,100,0.0204036862315674,,1,WaveformDrift2
True,100,100,0.0192133483024273,,1,WaveformDrift2
