n_clusters,n_samples,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
3,250,0.05,0.6574143535883971,,1,OutdoorObjects
2,500,0.005,0.6324081020255063,,1,OutdoorObjects
3,500,0.005,0.6324081020255063,,1,OutdoorObjects
2,1000,0.005,0.5726431607901975,,1,OutdoorObjects
2,1000,0.05,0.5726431607901975,,1,OutdoorObjects
3,1000,0.005,0.5726431607901975,,1,OutdoorObjects
3,1000,0.05,0.5726431607901975,,1,OutdoorObjects
2,100,0.05,0.6959454896285576,,1,PokerHand
3,100,0.05,0.6955909310178485,,1,PokerHand
2,100,0.005,0.6938169319826338,,1,PokerHand
3,100,0.005,0.6937011577424023,,1,PokerHand
2,250,0.005,0.6822575976845152,,1,PokerHand
3,250,0.005,0.6814483839845634,,1,PokerHand
2,250,0.05,0.6811782440906898,,1,PokerHand
3,250,0.05,0.6800651230101302,,1,PokerHand
3,500,0.05,0.6501218041485769,,1,PokerHand
2,500,0.05,0.6495610226724554,,1,PokerHand
2,500,0.005,0.6490738060781476,,1,PokerHand
3,500,0.005,0.6488012542209358,,1,PokerHand
2,1000,0.05,0.6418089725036179,,1,PokerHand
3,1000,0.05,0.6412952243125905,,1,PokerHand
2,1000,0.005,0.6411541244573082,,1,PokerHand
3,1000,0.005,0.6411070911722142,,1,PokerHand
3,100,0.05,0.1622949176329067,,1,Powersupply
2,250,0.05,0.1611588197948341,,1,Powersupply
2,100,0.05,0.1607912587295753,,1,Powersupply
2,1000,0.005,0.1604236976643165,,1,Powersupply
3,500,0.005,0.1552778427506933,,1,Powersupply
3,250,0.05,0.155110769539212,,1,Powersupply
2,1000,0.05,0.1549436963277308,,1,Powersupply
2,100,0.005,0.154442476693287,,1,Powersupply
2,500,0.005,0.1542754034818057,,1,Powersupply
3,1000,0.05,0.1540749156280282,,1,Powersupply
2,250,0.005,0.1538744277742506,,1,Powersupply
3,250,0.005,0.1530724763591405,,1,Powersupply
2,500,0.05,0.1518361345941791,,1,Powersupply
3,100,0.005,0.1512012563905503,,1,Powersupply
3,500,0.05,0.151034183179069,,1,Powersupply
2,100,0.005,0.5847609089472212,,1,RialtoBridgeTimelapse
3,100,0.005,0.5836180379092755,,1,RialtoBridgeTimelapse
2,100,0.05,0.5832046590232101,,1,RialtoBridgeTimelapse
3,100,0.05,0.5820739461877956,,1,RialtoBridgeTimelapse
2,250,0.05,0.5683473355299152,,1,RialtoBridgeTimelapse
3,250,0.05,0.5675448941628469,,1,RialtoBridgeTimelapse
2,250,0.005,0.5637150603654756,,1,RialtoBridgeTimelapse
3,250,0.005,0.5627302459604372,,1,RialtoBridgeTimelapse
3,500,0.05,0.510814721151625,,1,RialtoBridgeTimelapse
2,500,0.005,0.5107782465440309,,1,RialtoBridgeTimelapse
3,500,0.005,0.510705297328843,,1,RialtoBridgeTimelapse
2,500,0.05,0.5102919184427774,,1,RialtoBridgeTimelapse
3,1000,0.05,0.4435312283432017,,1,RialtoBridgeTimelapse
2,1000,0.05,0.4434825955330764,,1,RialtoBridgeTimelapse
2,1000,0.005,0.4433488553052316,,1,RialtoBridgeTimelapse
3,1000,0.005,0.4430205838368855,,1,RialtoBridgeTimelapse
3,100,0.05,0.8615294284645064,,1,SineClusters
3,100,0.005,0.8599744493050985,,1,SineClusters
2,100,0.005,0.858432374537055,,1,SineClusters
2,250,0.005,0.8448763114087724,,1,SineClusters
3,250,0.005,0.8362303691946369,,1,SineClusters
3,500,0.05,0.8303911321022543,,1,SineClusters
2,500,0.05,0.8300298091440517,,1,SineClusters
2,1000,0.05,0.8214871020608313,,1,SineClusters
3,500,0.005,0.8207128385789684,,1,SineClusters
2,500,0.005,0.8206418644264644,,1,SineClusters
3,1000,0.05,0.8202289239028041,,1,SineClusters
2,1000,0.005,0.8112603719045591,,1,SineClusters
3,1000,0.005,0.8087246590014582,,1,SineClusters
2,100,0.05,0.801272372988528,,1,WaveformDrift2
3,100,0.05,0.8012594685971636,,1,WaveformDrift2
2,100,0.005,0.8006400578116734,,1,WaveformDrift2
3,100,0.005,0.8006336056159912,,1,WaveformDrift2
2,250,0.05,0.7997238460248023,,1,WaveformDrift2
3,250,0.05,0.7996270630895694,,1,WaveformDrift2
2,250,0.005,0.7983753371272244,,1,WaveformDrift2
3,250,0.005,0.7983108151704025,,1,WaveformDrift2
2,500,0.05,0.797342985818074,,1,WaveformDrift2
3,500,0.05,0.7972655594698876,,1,WaveformDrift2
2,500,0.005,0.7945620894790497,,1,WaveformDrift2
3,500,0.005,0.7944265933697238,,1,WaveformDrift2
2,1000,0.05,0.7930458234937349,,1,WaveformDrift2
3,1000,0.05,0.7929748493412309,,1,WaveformDrift2
2,1000,0.005,0.7884260513852864,,1,WaveformDrift2
3,1000,0.005,0.7880518240357194,,1,WaveformDrift2
