const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
1.0,3,100,0.5,0.0081699223382108,,1,InsectsGradualBalanced
0.5,3,100,0.45,0.0076933717355813,,1,InsectsGradualBalanced
1.0,3,100,0.55,0.0076246494502657,,1,InsectsGradualBalanced
0.5,3,100,0.5,0.0072425359228125,,1,InsectsGradualBalanced
0.5,3,100,0.55,0.0066608079776326,,1,InsectsGradualBalanced
1.0,2,100,0.45,0.0051880290813579,,1,InsectsGradualBalanced
0.5,2,100,0.45,0.00510970914726,,1,InsectsGradualBalanced
1.0,2,100,0.5,0.0048896882306133,,1,InsectsGradualBalanced
0.5,2,100,0.5,0.0048554115422308,,1,InsectsGradualBalanced
1.0,2,100,0.55,0.0046690648371877,,1,InsectsGradualBalanced
0.5,2,100,0.55,0.0044005255986967,,1,InsectsGradualBalanced
1.0,2,1000,0.55,0.0151971202933883,,1,InsectsIncrementalAbruptBalanced
1.0,2,1000,0.5,0.015188264466254,,1,InsectsIncrementalAbruptBalanced
0.5,2,1000,0.55,0.0151856598112146,,1,InsectsIncrementalAbruptBalanced
0.5,2,1000,0.45,0.0151851388802067,,1,InsectsIncrementalAbruptBalanced
0.5,2,1000,0.5,0.015183576087183,,1,InsectsIncrementalAbruptBalanced
1.0,2,1000,0.45,0.0151799295701277,,1,InsectsIncrementalAbruptBalanced
0.5,3,1000,0.55,0.0150507386801691,,1,InsectsIncrementalAbruptBalanced
0.5,3,1000,0.45,0.0150486549561376,,1,InsectsIncrementalAbruptBalanced
0.5,3,1000,0.5,0.0150470921631139,,1,InsectsIncrementalAbruptBalanced
1.0,3,1000,0.5,0.0150252130607822,,1,InsectsIncrementalAbruptBalanced
1.0,3,1000,0.55,0.0150236502677585,,1,InsectsIncrementalAbruptBalanced
1.0,3,1000,0.45,0.0150226084057427,,1,InsectsIncrementalAbruptBalanced
0.5,3,500,0.55,0.0125652870258,,1,InsectsIncrementalAbruptBalanced
0.5,3,500,0.5,0.0125635625645325,,1,InsectsIncrementalAbruptBalanced
1.0,3,500,0.55,0.0125497668743923,,1,InsectsIncrementalAbruptBalanced
1.0,3,500,0.5,0.0125476112978079,,1,InsectsIncrementalAbruptBalanced
1.0,3,500,0.45,0.0125411445680547,,1,InsectsIncrementalAbruptBalanced
0.5,3,500,0.45,0.0125247621860133,,1,InsectsIncrementalAbruptBalanced
1.0,2,500,0.45,0.0111206457271344,,1,InsectsIncrementalAbruptBalanced
1.0,2,500,0.55,0.0107851104435022,,1,InsectsIncrementalAbruptBalanced
1.0,2,500,0.5,0.0107829041474688,,1,InsectsIncrementalAbruptBalanced
0.5,2,500,0.45,0.0107097286623594,,1,InsectsIncrementalAbruptBalanced
0.5,2,500,0.55,0.0104019503656935,,1,InsectsIncrementalAbruptBalanced
0.5,2,500,0.5,0.0103962350083497,,1,InsectsIncrementalAbruptBalanced
1.0,3,250,0.45,0.0092933049946865,,1,InsectsIncrementalAbruptBalanced
0.5,3,250,0.45,0.0092482965556041,,1,InsectsIncrementalAbruptBalanced
1.0,3,250,0.5,0.0091023164404301,,1,InsectsIncrementalAbruptBalanced
1.0,3,250,0.55,0.0089216132786802,,1,InsectsIncrementalAbruptBalanced
0.5,3,250,0.5,0.0086586002317294,,1,InsectsIncrementalAbruptBalanced
