n_samples,outlier_detector_kwargs,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0014146700125321,,1,InsectsIncrementalReoccurringBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0014124432897084,,1,InsectsIncrementalReoccurringBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0006348050902729,,1,InsectsIncrementalReoccurringBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0005207449611087,,1,InsectsIncrementalReoccurringBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.2050512628157039,,1,OutdoorObjects
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.1271567891972993,,1,OutdoorObjects
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0866049845794782,,1,OutdoorObjects
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0830207551887972,,1,OutdoorObjects
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0662040510127531,,1,OutdoorObjects
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0331193909588508,,1,OutdoorObjects
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.025987266047281,,1,OutdoorObjects
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0245239881398921,,1,OutdoorObjects
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.015572074836891,,1,OutdoorObjects
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0133222960912641,,1,OutdoorObjects
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0116015846066779,,1,OutdoorObjects
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.000167542498094,,1,PokerHand
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,9.457811044897492e-05,,1,PokerHand
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,5.633371386329587e-05,,1,PokerHand
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,2.5393551533095103e-05,,1,PokerHand
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0026373024955652,,1,RialtoBridgeTimelapse
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0025623806581629,,1,RialtoBridgeTimelapse
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0025065904383278,,1,RialtoBridgeTimelapse
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0018367760422707,,1,RialtoBridgeTimelapse
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0016904932498917,,1,RialtoBridgeTimelapse
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0016900661406217,,1,RialtoBridgeTimelapse
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0016880829828314,,1,RialtoBridgeTimelapse
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0012090096417573,,1,RialtoBridgeTimelapse
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0010525039589432,,1,RialtoBridgeTimelapse
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0010482989271789,,1,RialtoBridgeTimelapse
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0010338156455434,,1,RialtoBridgeTimelapse
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0005754500198086,,1,RialtoBridgeTimelapse
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0004438840017092,,1,RialtoBridgeTimelapse
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0004025350838078,,1,RialtoBridgeTimelapse
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0003910244403354,,1,RialtoBridgeTimelapse
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0040251238036844,,1,SineClusters
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0022190914313238,,1,WaveformDrift2
