n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
500,0.5,0.8,0.1409678799674244,0.0291034547340281,5,InsectsGradualBalanced
500,0.1,0.8,0.1203348654878738,0.0243185977800953,5,InsectsGradualBalanced
50,0.5,0.8,0.1021778679586456,0.0338564235631405,5,InsectsGradualBalanced
500,1.0,0.7,0.0989067870305188,0.0148107484325136,5,InsectsGradualBalanced
125,0.1,0.8,0.0980827363451902,0.0413654121520807,5,InsectsGradualBalanced
250,1.0,0.7,0.0978156445401465,0.0155438376731077,5,InsectsGradualBalanced
250,0.5,0.7,0.0851960743716095,0.0001018541047351,5,InsectsGradualBalanced
500,0.1,0.7,0.0829204797990254,0.0172476028128479,5,InsectsGradualBalanced
125,0.5,0.7,0.0748968211244081,0.0117677014330126,5,InsectsGradualBalanced
125,1.0,0.7,0.0719735806865708,0.0074344236992612,5,InsectsGradualBalanced
250,0.1,0.7,0.0712403550181511,0.02431565372498,5,InsectsGradualBalanced
500,0.5,0.7,0.0699109693983187,0.0081186980938001,5,InsectsGradualBalanced
50,1.0,0.7,0.0550240405629862,0.0111387784138978,5,InsectsGradualBalanced
500,0.5,0.6,0.0526351283401264,0.0043801502975857,5,InsectsGradualBalanced
250,1.0,0.6,0.0504475192702448,0.0043185882033633,5,InsectsGradualBalanced
250,0.5,0.6,0.0403984982124863,0.0025407507354646,5,InsectsGradualBalanced
500,1.0,0.6,0.0361172535324673,0.0015971546685948,5,InsectsGradualBalanced
125,1.0,0.6,0.0322710761983609,0.0058416245166023,5,InsectsGradualBalanced
50,0.5,0.7,0.0273412704388106,0.0131969206396731,5,InsectsGradualBalanced
500,0.1,0.6,0.0223294023808537,0.003134776330764,5,InsectsGradualBalanced
125,0.5,0.6,0.0144731092704921,0.0010729679234411,5,InsectsGradualBalanced
50,0.1,0.8,0.0113334289026062,0.0013172019521892,5,InsectsGradualBalanced
125,0.1,0.7,0.0110105185901132,0.0008552598180932,5,InsectsGradualBalanced
250,0.1,0.6,0.0076900197115138,0.0005580443505397,5,InsectsGradualBalanced
50,1.0,0.6,0.0069299962464914,0.0003926492008506,5,InsectsGradualBalanced
50,0.5,0.6,0.0030505018268829,0.0004820192454444,5,InsectsGradualBalanced
125,0.1,0.6,0.0027727138527714,5.4402978716914254e-05,5,InsectsGradualBalanced
50,0.1,0.7,0.0024145001195922,0.0001464810215259,5,InsectsGradualBalanced
50,0.1,0.6,0.0009519162843013,2.0034967214212803e-05,5,InsectsGradualBalanced
250,1.0,0.8,0.1533412514846533,0.0,5,InsectsIncrementalAbruptBalanced
500,1.0,0.8,0.1529661811589673,0.0,5,InsectsIncrementalAbruptBalanced
125,1.0,0.8,0.1453710070638244,0.0,5,InsectsIncrementalAbruptBalanced
50,1.0,0.8,0.140078764768394,0.0218281162321915,5,InsectsIncrementalAbruptBalanced
50,0.5,0.8,0.0940988935425391,0.0139895407546536,5,InsectsIncrementalAbruptBalanced
250,0.5,0.8,0.0845066783355211,0.011322682986648,5,InsectsIncrementalAbruptBalanced
125,0.5,0.8,0.075839844970932,0.0067740919496096,5,InsectsIncrementalAbruptBalanced
500,0.5,0.8,0.063981996624367,0.0,5,InsectsIncrementalAbruptBalanced
500,0.1,0.8,0.0637494530224417,0.0,5,InsectsIncrementalAbruptBalanced
250,0.1,0.8,0.0637344502094142,0.0,5,InsectsIncrementalAbruptBalanced
125,0.1,0.8,0.0563740284636702,0.0170711167887855,5,InsectsIncrementalAbruptBalanced
125,1.0,0.7,0.0492684759344757,0.0092916052859338,5,InsectsIncrementalAbruptBalanced
500,0.5,0.7,0.0447555345198652,0.0028862992115123,5,InsectsIncrementalAbruptBalanced
500,0.1,0.7,0.0438576330284149,0.0091079338297904,5,InsectsIncrementalAbruptBalanced
125,0.5,0.7,0.0396297073558434,0.0045006962239732,5,InsectsIncrementalAbruptBalanced
250,1.0,0.7,0.0382210553367644,0.0020018003097634,5,InsectsIncrementalAbruptBalanced
500,1.0,0.7,0.0354786661387898,0.0027016204358633,5,InsectsIncrementalAbruptBalanced
50,1.0,0.7,0.0313985235868088,0.0053350390005556,5,InsectsIncrementalAbruptBalanced
250,0.5,0.7,0.0290705197159531,0.0066061796851226,5,InsectsIncrementalAbruptBalanced
250,0.1,0.7,0.0224127097360166,0.0033325099508586,5,InsectsIncrementalAbruptBalanced
500,0.5,0.6,0.0136701853819812,0.0004264558853226,5,InsectsIncrementalAbruptBalanced
250,1.0,0.6,0.0131898951749423,0.0010303934694103,5,InsectsIncrementalAbruptBalanced
500,1.0,0.6,0.0126592116504862,0.0007801616769769,5,InsectsIncrementalAbruptBalanced
250,0.5,0.6,0.0110147820384464,0.0006570474262524,5,InsectsIncrementalAbruptBalanced
