confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (ht) (std),count,stream
0.1,0.1,3,500,0.0077897585501284,0.0001001923897669,5,InsectsGradualBalanced
0.01,0.1,2,100,0.0070906750347153,0.0009767647672471,5,InsectsGradualBalanced
0.1,0.01,3,250,0.0060798379754418,0.000286672491774,5,InsectsGradualBalanced
0.01,0.1,3,100,0.0048450981648438,0.0007063248608334,5,InsectsGradualBalanced
0.1,0.1,2,250,0.0042805395525123,0.0001709237300525,5,InsectsGradualBalanced
0.1,0.1,3,250,0.0039720948822858,6.956288487694983e-05,5,InsectsGradualBalanced
0.1,0.01,2,100,0.003181828948969,4.095841514006905e-05,5,InsectsGradualBalanced
0.1,0.01,3,100,0.0023534479909405,7.593287840655496e-05,5,InsectsGradualBalanced
0.1,0.1,2,100,0.001605417080337,4.525330820969784e-05,5,InsectsGradualBalanced
0.1,0.1,3,100,0.0013861905919567,2.8111304283785237e-05,5,InsectsGradualBalanced
0.01,0.01,2,500,0.0091764169144306,0.0004764672662085,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,1000,0.0091556989900293,0.0008276016925675,5,InsectsIncrementalAbruptBalanced
0.01,0.01,2,1000,0.0089468467126018,0.0003522669228436,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,500,0.0083579029262005,0.000561403243027,5,InsectsIncrementalAbruptBalanced
0.01,0.01,2,250,0.0072934565291418,0.0004327325082176,5,InsectsIncrementalAbruptBalanced
0.01,0.1,2,1000,0.0066226881826056,4.803320160467391e-05,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,250,0.0065018443241423,0.0007890356563575,5,InsectsIncrementalAbruptBalanced
0.01,0.1,3,1000,0.0064222857384659,0.0002422314852846,5,InsectsIncrementalAbruptBalanced
0.1,0.01,2,1000,0.0062722461745832,0.0002730529512781,5,InsectsIncrementalAbruptBalanced
0.1,0.01,3,1000,0.0058388419863857,0.0002172504656478,5,InsectsIncrementalAbruptBalanced
0.01,0.01,2,100,0.0053191507524429,0.0003159973060599,5,InsectsIncrementalAbruptBalanced
0.1,0.1,2,1000,0.0048903254945887,8.596782902856846e-05,5,InsectsIncrementalAbruptBalanced
0.1,0.1,3,1000,0.0047804715439106,5.617667710651579e-05,5,InsectsIncrementalAbruptBalanced
0.01,0.1,2,500,0.0045613824672292,0.0001464656705152,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,100,0.0044788348819118,0.0003861834679048,5,InsectsIncrementalAbruptBalanced
0.1,0.01,2,500,0.0041483888230534,0.000164003846893,5,InsectsIncrementalAbruptBalanced
0.01,0.1,3,500,0.0039156978731513,0.000205357059333,5,InsectsIncrementalAbruptBalanced
0.1,0.01,3,500,0.0035202937824068,6.46016718620017e-05,5,InsectsIncrementalAbruptBalanced
0.01,0.1,2,250,0.0031826450660302,0.0001210563961749,5,InsectsIncrementalAbruptBalanced
0.01,0.1,3,250,0.0027490233996974,0.0001091349829377,5,InsectsIncrementalAbruptBalanced
0.1,0.1,2,500,0.0025814436309287,3.8483142584956446e-05,5,InsectsIncrementalAbruptBalanced
0.1,0.1,3,500,0.0024428153135507,1.286121718346792e-05,5,InsectsIncrementalAbruptBalanced
0.1,0.01,2,250,0.0024152506233072,0.000111166462307,5,InsectsIncrementalAbruptBalanced
0.1,0.01,3,250,0.0017922984923184,5.23969800888496e-05,5,InsectsIncrementalAbruptBalanced
0.01,0.1,2,100,0.0017301538342248,5.7484037753731965e-05,5,InsectsIncrementalAbruptBalanced
0.01,0.1,3,100,0.0013735425677337,9.054403441354698e-05,5,InsectsIncrementalAbruptBalanced
0.1,0.1,2,250,0.0013055077300191,1.1620904822792613e-05,5,InsectsIncrementalAbruptBalanced
0.1,0.1,3,250,0.0012084445579394,1.4041319446990114e-05,5,InsectsIncrementalAbruptBalanced
0.1,0.01,2,100,0.0009787953972557,2.7321642574923956e-05,5,InsectsIncrementalAbruptBalanced
0.1,0.01,3,100,0.0007416297792457,1.931766742854432e-05,5,InsectsIncrementalAbruptBalanced
0.1,0.1,2,100,0.0005018510276896,6.651093820910221e-06,5,InsectsIncrementalAbruptBalanced
0.1,0.1,3,100,0.0004586233532966,5.2489040596356985e-06,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,1000,0.0305980524669686,0.0020517706076605,5,InsectsIncrementalBalanced
0.01,0.01,2,1000,0.0305813554353463,0.0025349648639328,5,InsectsIncrementalBalanced
0.01,0.01,2,500,0.023061056437588,0.0024660514056083,5,InsectsIncrementalBalanced
0.01,0.01,3,500,0.0219433934343033,0.0052233177441327,5,InsectsIncrementalBalanced
0.01,0.01,2,250,0.018759170709852,0.0025949875688772,5,InsectsIncrementalBalanced
0.01,0.1,2,1000,0.0161171137647451,0.0011677644423569,5,InsectsIncrementalBalanced
0.01,0.01,2,100,0.0149758099790545,0.0034041347784254,5,InsectsIncrementalBalanced
0.01,0.01,3,250,0.0146567098141602,0.0025304819875013,5,InsectsIncrementalBalanced
0.01,0.1,3,1000,0.0136165884654392,0.0017504517462995,5,InsectsIncrementalBalanced
0.1,0.01,2,1000,0.0128993514821252,0.0016209146013624,5,InsectsIncrementalBalanced
0.1,0.01,3,1000,0.0112546020660318,0.0009950401604601,5,InsectsIncrementalBalanced
0.01,0.1,2,500,0.0104849139051134,0.0024798166257366,5,InsectsIncrementalBalanced
0.01,0.01,3,100,0.0091787465844378,0.001223636662252,5,InsectsIncrementalBalanced
0.01,0.1,3,500,0.0076819828214327,0.0005741055176464,5,InsectsIncrementalBalanced
0.1,0.1,2,1000,0.0076121799072627,0.0002253959189871,5,InsectsIncrementalBalanced
0.1,0.01,2,500,0.0073708139180681,0.0004368744640246,5,InsectsIncrementalBalanced
0.1,0.1,3,1000,0.0070739785859837,1.2760959474684916e-05,5,InsectsIncrementalBalanced
0.01,0.1,2,250,0.0068497956565855,0.0009871635997002,5,InsectsIncrementalBalanced
0.1,0.01,3,500,0.0058349434716302,0.0005055375547461,5,InsectsIncrementalBalanced
0.01,0.1,3,250,0.0045243904890591,0.00028824882473,5,InsectsIncrementalBalanced
0.1,0.01,2,250,0.0037097385849366,9.637558896029938e-05,5,InsectsIncrementalBalanced
0.1,0.1,2,500,0.0036205030971253,4.67263294943614e-05,5,InsectsIncrementalBalanced
0.1,0.1,3,500,0.0034634978417083,4.165554811404438e-05,5,InsectsIncrementalBalanced
0.1,0.01,3,250,0.0030190726434564,9.324948184441032e-05,5,InsectsIncrementalBalanced
0.01,0.1,2,100,0.0026511283064765,0.0001504942184144,5,InsectsIncrementalBalanced
0.01,0.1,3,100,0.0020146691047067,0.0001242714884693,5,InsectsIncrementalBalanced
0.1,0.1,2,250,0.0017739453164072,3.514537002624499e-05,5,InsectsIncrementalBalanced
0.1,0.1,3,250,0.0016001296896208,1.2804553729491216e-05,5,InsectsIncrementalBalanced
0.1,0.01,2,100,0.0015525045256029,0.000135006269113,5,InsectsIncrementalBalanced
0.1,0.01,3,100,0.0010568358190724,1.7617280910021106e-05,5,InsectsIncrementalBalanced
0.1,0.1,2,100,0.0005868826602684,1.2929024276550198e-05,5,InsectsIncrementalBalanced
0.1,0.1,3,100,0.0005222656523671,5.044831418972345e-06,5,InsectsIncrementalBalanced
0.01,0.01,3,1000,0.0106702691251408,0.0002579675803111,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,1000,0.0104582008699193,0.0002937661296169,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,500,0.0093413990255469,0.000666537658425,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,2,1000,0.0086018581420923,0.0001312277636876,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,3,1000,0.0085948265336429,0.0002271761235306,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,3,250,0.0083008530422346,0.0003236158488904,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,3,500,0.0082093864089326,0.0004725637507645,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,250,0.0081480997219018,0.00019188294519,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,2,1000,0.0073452390338347,8.546742879926914e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,3,1000,0.0069890877350579,0.000210406925797,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,1000,0.0061042342689243,6.788627900492186e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,3,1000,0.0058650539012975,5.644102841111071e-05,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,2,500,0.005750137988208,0.0002056813516729,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,3,500,0.0050950688586933,0.0002963646633782,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,100,0.0050107168465304,0.0002184042356955,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,3,100,0.0048362429178928,0.0002834165152709,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,2,500,0.004713641903832,0.0002394448384729,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,3,500,0.0039839814875369,7.456560845483258e-05,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,2,250,0.0038270891436968,0.0003222141205512,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,3,250,0.00314607205311,7.711222731115172e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,500,0.0031095612937723,6.113973890304206e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,3,500,0.0029586451865166,2.9166193100048363e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,2,250,0.0025213451007137,9.14443351493465e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,3,250,0.0022634701873723,4.5046284471928e-05,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,2,100,0.0021345622699597,5.215123347719642e-05,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,3,100,0.0016467102911148,6.814606327437094e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,250,0.0015589507951223,1.644446258407609e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,3,250,0.0014648868333745,1.3507764142554992e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,2,100,0.0011484599792627,5.816394006622074e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,3,100,0.0008936927320324,1.553733863437539e-05,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,100,0.0006128218651888,7.4295847256636e-06,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,3,100,0.0005512610518944,2.343039955699113e-06,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,1000,0.0027363971803062,0.0,5,NOAAWeather
0.01,0.1,2,1000,0.0027363971803062,0.0,5,NOAAWeather
0.01,0.01,3,1000,0.0025973475802751,0.0003254929596786,5,NOAAWeather
0.1,0.01,3,1000,0.0025893221590871,4.923080170822784e-05,5,NOAAWeather
0.01,0.1,3,1000,0.002555952693633,0.0003098963073178,5,NOAAWeather
0.1,0.1,3,1000,0.0024445553086307,0.000329777958433,5,NOAAWeather
0.01,0.01,2,500,0.0014506650771333,8.540346064594671e-06,5,NOAAWeather
0.01,0.01,3,500,0.0014466777148562,3.3686941248134964e-05,5,NOAAWeather
0.01,0.1,2,500,0.0014451578626824,1.371553172480646e-05,5,NOAAWeather
0.01,0.1,3,500,0.0014370669188881,1.9477740373818927e-05,5,NOAAWeather
