confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (ht) (std),count,stream
0.01,0.01,2,250,0.0008184761184109,7.73740236291558e-07,5,SineClusters
0.01,0.1,2,250,0.0008183285118545,7.204396740695425e-07,5,SineClusters
0.1,0.1,3,250,0.0008035053969712,2.119588906709369e-06,5,SineClusters
0.1,0.01,3,250,0.0008022442050782,2.962638630313618e-06,5,SineClusters
0.1,0.01,2,250,0.0008012382451311,9.85033327361308e-07,5,SineClusters
0.1,0.1,2,250,0.0008008452179829,1.3578348709853376e-06,5,SineClusters
0.01,0.1,3,100,0.000325296629679,3.153552837077033e-07,5,SineClusters
0.01,0.01,3,100,0.0003249333467039,7.362955214317529e-07,5,SineClusters
0.1,0.01,3,100,0.0003229741480292,1.6976635593480587e-07,5,SineClusters
0.1,0.1,3,100,0.0003228040168735,1.5785435683731912e-07,5,SineClusters
0.01,0.1,2,100,0.0003226666881874,4.621312326240757e-07,5,SineClusters
0.01,0.01,2,100,0.0003225490685259,9.57157070946371e-07,5,SineClusters
0.1,0.1,2,100,0.0003219262181587,0.0,5,SineClusters
0.1,0.01,2,100,0.0003219262181587,0.0,5,SineClusters
0.01,0.01,3,1000,0.0176379300209194,0.0056944292653926,5,WaveformDrift2
0.01,0.01,2,1000,0.015973678586094,0.004653623477001,5,WaveformDrift2
0.01,0.01,3,500,0.0095031677876647,0.002238515102168,5,WaveformDrift2
0.01,0.01,2,500,0.0069664653993764,0.0011168783963149,5,WaveformDrift2
0.01,0.1,3,1000,0.0058548118510605,0.0001898181637147,5,WaveformDrift2
0.01,0.1,2,1000,0.0053225830654076,0.0003698928284045,5,WaveformDrift2
0.1,0.01,2,1000,0.0049590884875453,0.0002047426409687,5,WaveformDrift2
0.01,0.01,3,250,0.0044787307386541,0.0005538486823797,5,WaveformDrift2
0.01,0.01,2,250,0.0044098922290896,0.0004127318053331,5,WaveformDrift2
0.1,0.01,3,1000,0.0039464105661238,0.000154104456592,5,WaveformDrift2
0.01,0.1,2,500,0.0039011496612024,8.497713385300296e-05,5,WaveformDrift2
0.01,0.1,3,500,0.003483569270231,6.957617833203008e-05,5,WaveformDrift2
0.01,0.1,2,250,0.0031764928608332,0.0001443844663779,5,WaveformDrift2
0.1,0.1,2,1000,0.0027198848829817,0.0001035797329189,5,WaveformDrift2
0.1,0.1,3,1000,0.0026473261965282,0.0001656086483597,5,WaveformDrift2
0.01,0.01,2,100,0.0025898276302347,4.953817911760736e-05,5,WaveformDrift2
0.1,0.01,2,500,0.002485846945395,0.0001170076668351,5,WaveformDrift2
0.01,0.1,3,250,0.0022930214517594,8.864215195930423e-05,5,WaveformDrift2
0.1,0.01,3,500,0.0020334409589398,0.0001620959620495,5,WaveformDrift2
0.01,0.01,3,100,0.0018168656181353,7.352043297003202e-05,5,WaveformDrift2
0.01,0.1,2,100,0.0016593139223112,0.0001165104766822,5,WaveformDrift2
0.1,0.1,2,500,0.0014343924958859,4.725228786788928e-05,5,WaveformDrift2
0.1,0.1,3,500,0.0013547556779169,5.315583734625055e-05,5,WaveformDrift2
0.01,0.1,3,100,0.001331606844517,0.0001627014976355,5,WaveformDrift2
0.1,0.01,2,250,0.0012384502418471,3.830994438943591e-05,5,WaveformDrift2
0.1,0.01,3,250,0.0010240458753396,5.613939093186364e-05,5,WaveformDrift2
0.1,0.1,2,250,0.0005857464147114,9.972321802374772e-06,5,WaveformDrift2
0.1,0.1,3,250,0.0005565521777516,9.562907343151569e-06,5,WaveformDrift2
0.1,0.01,2,100,0.0005076340143542,8.660438696021587e-06,5,WaveformDrift2
0.1,0.01,3,100,0.0003566380218888,4.890410200235688e-06,5,WaveformDrift2
0.1,0.1,2,100,0.0002285879834158,1.0528135315147174e-05,5,WaveformDrift2
0.1,0.1,3,100,0.0001995165564986,7.882170228784123e-06,5,WaveformDrift2
