confidence,feature_proportion,n_clusters,n_samples,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
0.01,0.01,2,100,0.6728161530286928,0.0033706097340587,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,100,0.6726086141151466,0.0040263721334803,5,InsectsIncrementalAbruptBalanced
0.1,0.1,2,1000,0.6716534350190659,0.0047791214357523,5,InsectsIncrementalAbruptBalanced
0.1,0.1,3,250,0.6705582296680628,0.000928487414035,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,250,0.6697880852659874,0.0032641415575866,5,InsectsIncrementalAbruptBalanced
0.01,0.01,2,250,0.6680902669250484,0.0041864132655365,5,InsectsIncrementalAbruptBalanced
0.1,0.01,2,100,0.668022754266425,0.0014341066211655,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,500,0.6674051384634618,0.0029545845997212,5,InsectsIncrementalAbruptBalanced
0.01,0.01,3,1000,0.6658723510658249,0.0026548780138984,5,InsectsIncrementalAbruptBalanced
0.1,0.01,3,100,0.6614140151278365,0.0023257619983913,5,InsectsIncrementalAbruptBalanced
0.01,0.01,2,1000,0.6613314996561855,0.0068090250350751,5,InsectsIncrementalAbruptBalanced
0.01,0.01,2,500,0.6611464649621804,0.0005318568340632,5,InsectsIncrementalAbruptBalanced
0.1,0.1,2,100,0.6494092642370445,0.0012186098438484,5,InsectsIncrementalAbruptBalanced
0.1,0.1,3,100,0.6451484653372507,0.0016084692176114,5,InsectsIncrementalAbruptBalanced
0.01,0.01,2,500,0.5675289825841416,0.0016645720345144,5,InsectsIncrementalBalanced
0.01,0.1,2,1000,0.5663644176298297,0.0008375131425054,5,InsectsIncrementalBalanced
0.01,0.01,2,250,0.5662732167599136,0.003973581412173,5,InsectsIncrementalBalanced
0.01,0.1,3,1000,0.5645368925057439,0.0007244536519403,5,InsectsIncrementalBalanced
0.1,0.01,2,1000,0.5641861199291439,0.0006969701924419,5,InsectsIncrementalBalanced
0.01,0.01,2,1000,0.5638879632390339,0.0008899363654967,5,InsectsIncrementalBalanced
0.01,0.1,2,500,0.563379343002964,0.0012548027899948,5,InsectsIncrementalBalanced
0.01,0.01,3,100,0.5622007471455881,0.0028501216220806,5,InsectsIncrementalBalanced
0.1,0.01,3,1000,0.5618569900205201,0.0005279972094344,5,InsectsIncrementalBalanced
0.1,0.01,2,500,0.5613097848010243,0.0015270395744128,5,InsectsIncrementalBalanced
0.01,0.01,2,100,0.5594156128873845,0.0030848149758049,5,InsectsIncrementalBalanced
0.01,0.01,3,500,0.5591139484715085,0.0027003508658247,5,InsectsIncrementalBalanced
0.01,0.01,3,1000,0.5587491449918446,0.0028577041612587,5,InsectsIncrementalBalanced
0.01,0.1,3,500,0.5586053282354386,0.0020340273084769,5,InsectsIncrementalBalanced
0.01,0.1,2,250,0.5585281582685866,0.0018265284157959,5,InsectsIncrementalBalanced
0.1,0.1,2,1000,0.5580791693705386,0.0011169779769605,5,InsectsIncrementalBalanced
0.01,0.01,3,250,0.5569742357542488,0.0023828988293828,5,InsectsIncrementalBalanced
0.1,0.1,3,1000,0.5566620481610748,0.0006890918116323,5,InsectsIncrementalBalanced
0.1,0.01,3,500,0.5564796464212428,0.0023992177557149,5,InsectsIncrementalBalanced
0.01,0.1,3,250,0.5508918392760054,0.0024373457158,5,InsectsIncrementalBalanced
0.1,0.01,2,250,0.5469316168861919,0.0005872953311038,5,InsectsIncrementalBalanced
0.1,0.1,2,500,0.5446340565094621,0.0003821650721704,5,InsectsIncrementalBalanced
0.1,0.1,3,500,0.5431397653331462,0.0010186305171016,5,InsectsIncrementalBalanced
0.1,0.01,3,250,0.5415367346580844,0.0015260320530089,5,InsectsIncrementalBalanced
0.01,0.1,2,100,0.5386112913692408,0.0019793413029333,5,InsectsIncrementalBalanced
0.01,0.1,3,100,0.5286598733710999,0.00288057229156,5,InsectsIncrementalBalanced
0.1,0.1,2,250,0.5226265850535805,0.0015783596661768,5,InsectsIncrementalBalanced
0.1,0.01,2,100,0.5206622586246208,0.0042669288855081,5,InsectsIncrementalBalanced
0.1,0.1,3,250,0.5167546521212971,0.0009388819699479,5,InsectsIncrementalBalanced
0.1,0.01,3,100,0.4988406966343371,0.0013063394291529,5,InsectsIncrementalBalanced
0.1,0.1,2,100,0.4601750355157233,0.0026224619729548,5,InsectsIncrementalBalanced
0.1,0.1,3,100,0.4507182068505884,0.0006013985340469,5,InsectsIncrementalBalanced
0.01,0.1,3,250,0.697738325936113,0.0019764304229155,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,2,250,0.6975957992123524,0.0013060731699263,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,3,250,0.6969356754391448,0.0013546911570652,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,3,100,0.6962705507282616,0.0037156832316313,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,3,500,0.6956604363318123,0.0005057348899623,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,3,500,0.6954754016378071,0.0024587791707651,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,2,250,0.6953728824154529,0.0009848562428509,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,500,0.6950178158404701,0.0019889732568344,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,2,100,0.6949002938050886,0.0042449242201268,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,2,500,0.694642745514784,0.0011532692506425,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,3,500,0.6942976808151529,0.0017134051055385,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,2,500,0.6933600050009376,0.0016153831842083,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,100,0.6931574670250672,0.0032373757477609,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,3,1000,0.6928124023254361,0.0009886579956556,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,3,1000,0.6922597987122586,0.0014632176621927,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,2,1000,0.691952241045196,0.0016762095724196,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,3,1000,0.691439644933425,0.0025480163936051,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,250,0.6913396261799087,0.0008409348455254,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,3,250,0.6907845220978934,0.0021458298937345,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,3,500,0.6901719072326061,0.0033492120997001,5,InsectsIncrementalReoccurringBalanced
0.01,0.1,3,100,0.6900218791023317,0.0028877519368093,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,1000,0.6898068387822717,0.0014015847176795,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,2,1000,0.6895542914296431,0.0011531337074499,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,3,250,0.6874438957304495,0.0010714662148583,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,3,1000,0.6866687503906983,0.0015622028015912,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,500,0.6861186472463586,0.0052705455497798,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,2,100,0.6838332187285115,0.0007468306460614,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,1000,0.679867475151591,0.0015910282996069,5,InsectsIncrementalReoccurringBalanced
0.01,0.01,2,250,0.679594924048259,0.0036780655699398,5,InsectsIncrementalReoccurringBalanced
0.1,0.01,3,100,0.6763618178408451,0.001009807150193,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,100,0.6612964930924549,0.0019695537671994,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,3,100,0.6562430455710446,0.0015480355926381,5,InsectsIncrementalReoccurringBalanced
0.1,0.1,2,100,0.7171494658001982,0.0,5,NOAAWeather
0.1,0.01,2,100,0.717006278224474,0.0002742570679146,5,NOAAWeather
0.1,0.01,3,100,0.715893820905386,0.0028409968070367,5,NOAAWeather
0.1,0.1,3,250,0.7152549840290782,0.0003827414991495,5,NOAAWeather
0.1,0.1,2,250,0.7150016521643353,0.0,5,NOAAWeather
0.1,0.01,2,250,0.7150016521643353,0.0,5,NOAAWeather
0.1,0.1,3,100,0.7148144068730036,0.0030288678151849,5,NOAAWeather
0.01,0.01,2,500,0.7147593347284943,0.0002903717661959,5,NOAAWeather
0.01,0.1,2,500,0.7145720894371627,0.0004663280786434,5,NOAAWeather
0.01,0.1,2,100,0.7138010794140324,0.0006062940387497,5,NOAAWeather
0.1,0.01,3,250,0.7133825311157617,0.0018972333800809,5,NOAAWeather
0.01,0.01,2,100,0.7133384734001542,0.0003940641881263,5,NOAAWeather
0.01,0.1,2,250,0.7130741271065095,0.0,5,NOAAWeather
0.01,0.01,2,250,0.7130741271065095,0.0,5,NOAAWeather
0.01,0.1,3,100,0.7127657230972574,0.0008885238142854,5,NOAAWeather
0.01,0.01,3,100,0.7121048573631457,0.0020199543715091,5,NOAAWeather
0.01,0.1,3,250,0.7118405110695011,0.0007696319880285,5,NOAAWeather
0.01,0.01,3,250,0.7114880493446415,0.00188633149248,5,NOAAWeather
0.1,0.01,2,500,0.7110364577596652,0.0001508212791896,5,NOAAWeather
0.1,0.1,2,500,0.7109263134706465,0.0,5,NOAAWeather
0.1,0.1,3,500,0.7094283511399934,0.0014299681430702,5,NOAAWeather
0.01,0.1,2,1000,0.7092190769908581,0.0,5,NOAAWeather
0.01,0.01,2,1000,0.7092190769908581,0.0,5,NOAAWeather
0.1,0.01,3,1000,0.7089216874105078,0.0005913527787442,5,NOAAWeather
0.1,0.01,3,500,0.7087564709769799,0.0023538429860634,5,NOAAWeather
0.01,0.1,3,500,0.7071153210706025,0.0021940565433177,5,NOAAWeather
0.1,0.1,3,1000,0.706994162352682,0.0056062252933618,5,NOAAWeather
0.01,0.01,3,500,0.7062121379006499,0.0004935029588549,5,NOAAWeather
0.01,0.01,3,1000,0.7006498513052098,0.0034766622167293,5,NOAAWeather
0.01,0.1,3,1000,0.7006168080185042,0.0033051087671884,5,NOAAWeather
0.01,0.01,3,100,0.7576894223555889,0.0,5,OutdoorObjects
0.01,0.01,2,250,0.703425856464116,0.0,5,OutdoorObjects
0.01,0.01,2,1000,0.5866466616654163,0.0,3,OutdoorObjects
0.1,0.01,2,100,0.7082899179932465,0.0001244354537552,5,PokerHand
0.1,0.1,2,100,0.7079524843222382,0.0002638695057273,5,PokerHand
0.1,0.1,3,100,0.7070139893873613,0.0003837154336991,5,PokerHand
0.1,0.01,3,100,0.7067672455378678,0.0004024859707302,5,PokerHand
0.01,0.1,2,100,0.6995779064158224,0.0003262386606685,5,PokerHand
0.01,0.01,2,100,0.6992515677761698,0.0005748122843989,5,PokerHand
0.01,0.01,3,100,0.6915190545103714,0.0007805462366165,5,PokerHand
0.01,0.1,3,100,0.6914257115291847,0.0007362892912324,5,PokerHand
0.1,0.1,3,250,0.6859037626628075,0.0006657360717815,5,PokerHand
0.1,0.01,3,250,0.6853601061263869,0.0004719709065997,5,PokerHand
0.1,0.1,2,250,0.6850624698504583,0.0002800766178468,5,PokerHand
0.1,0.01,2,250,0.685028702363724,0.000258167974897,5,PokerHand
0.01,0.1,2,250,0.6836184273999035,0.0004948314879379,5,PokerHand
0.01,0.01,2,250,0.6830861070911722,0.0002173512226738,5,PokerHand
0.01,0.1,3,250,0.6796095031355524,0.0006077731247081,5,PokerHand
0.01,0.01,3,250,0.6795928605885191,0.0008619308843322,5,PokerHand
0.1,0.01,2,500,0.659,0.0012125083880481,5,PokerHand
0.1,0.01,3,500,0.6587788229618909,0.000503445421958,5,PokerHand
0.1,0.1,2,500,0.6585147129763628,0.0009294025876714,5,PokerHand
0.1,0.1,3,500,0.6578878437047757,0.00106528348154,5,PokerHand
0.01,0.1,2,500,0.6570330438977328,0.0011425304467797,5,PokerHand
0.01,0.01,2,500,0.6569327062228654,0.0004592451985628,5,PokerHand
0.01,0.01,3,500,0.655595513748191,0.0008560594428506,5,PokerHand
0.01,0.1,3,500,0.6555185721177038,0.000620650120842,5,PokerHand
0.1,0.1,2,1000,0.6407732754462132,0.0004623987553492,5,PokerHand
0.1,0.01,2,1000,0.6399850458273034,0.0007398840546021,5,PokerHand
0.1,0.1,3,1000,0.6387515677761698,0.0011795861382089,5,PokerHand
0.1,0.01,3,1000,0.6383396044380125,0.0010574514637067,5,PokerHand
0.01,0.01,3,1000,0.6376840328027014,0.0011914740630434,5,PokerHand
0.01,0.1,3,1000,0.6374068982151472,0.0011312880732109,5,PokerHand
0.01,0.1,2,1000,0.6366601543656536,0.0010031319712142,5,PokerHand
0.01,0.01,2,1000,0.6365931017848528,0.0005820632764579,5,PokerHand
0.01,0.1,2,1000,0.1606576001603903,0.0,5,Powersupply
0.01,0.01,2,1000,0.1605506733050422,0.0002390957171784,5,Powersupply
0.01,0.1,3,1000,0.1602967220235907,0.0016097050906078,5,Powersupply
0.01,0.01,3,1000,0.1598489658168209,0.0014778945365507,5,Powersupply
0.1,0.1,3,1000,0.1574096969291943,0.000302951233512,5,Powersupply
0.1,0.1,2,1000,0.1573027700738463,1.830195333658913e-05,5,Powersupply
0.1,0.01,2,1000,0.1573027700738463,1.830195333658913e-05,5,Powersupply
0.1,0.01,3,1000,0.1572827212884686,0.0,5,Powersupply
0.1,0.1,2,500,0.1519898419487419,0.0007503800868016,5,Powersupply
0.1,0.1,3,500,0.1519430614495271,0.0008559628762066,5,Powersupply
0.1,0.01,2,500,0.1517158418819126,0.0007503800868016,5,Powersupply
0.1,0.01,3,500,0.151328232031276,0.0009797387373787,5,Powersupply
0.01,0.1,2,500,0.149356768135797,0.0008513851520936,5,Powersupply
0.01,0.1,3,500,0.1492632071373675,0.0007154948075438,5,Powersupply
0.01,0.01,2,500,0.1483476459384501,0.0005717713004633,5,Powersupply
0.01,0.01,3,500,0.1481070605139172,0.0004880139584176,5,Powersupply
0.01,0.01,2,100,0.1468038894643632,0.000385066603158,5,Powersupply
0.01,0.1,2,100,0.1466702308951782,0.0003287566111203,5,Powersupply
0.01,0.01,2,250,0.1458348648377718,4.483044697091967e-05,5,Powersupply
0.01,0.1,2,250,0.1458148160523941,5.490586000982567e-05,5,Powersupply
0.01,0.01,3,250,0.1445651084305142,0.0021562932372679,5,Powersupply
0.01,0.1,3,250,0.1443579376482774,0.0019093771030802,5,Powersupply
0.01,0.01,3,100,0.1413773515554515,0.0025754214972878,5,Powersupply
0.01,0.1,3,100,0.1408226684933337,0.0010934300310616,5,Powersupply
0.1,0.1,2,250,0.1374344237644936,0.0,5,Powersupply
0.1,0.01,2,250,0.137073545627694,0.0008257541715872,5,Powersupply
0.1,0.1,3,250,0.1325558859892404,0.0020083562134813,5,Powersupply
0.1,0.01,3,250,0.1309653490159387,0.0014193555193787,5,Powersupply
0.1,0.1,2,100,0.1143983693654559,0.0013897438560996,5,Powersupply
0.1,0.01,2,100,0.1137768570187456,0.0,5,Powersupply
0.1,0.1,3,100,0.1111036856350452,0.0044144650371699,5,Powersupply
0.1,0.01,3,100,0.1105423196444681,0.0023424117082817,5,Powersupply
0.01,0.01,2,100,0.5796009677929215,0.0014040644769776,5,RialtoBridgeTimelapse
0.1,0.01,3,250,0.5727850794538536,0.0,5,RialtoBridgeTimelapse
0.01,0.1,3,250,0.571326095150093,0.0,3,RialtoBridgeTimelapse
0.1,0.01,2,100,0.5705528334690999,0.0010201159408249,5,RialtoBridgeTimelapse
0.1,0.1,3,100,0.5694050991501416,0.0,5,RialtoBridgeTimelapse
0.1,0.01,2,250,0.5687850308210434,0.0,5,RialtoBridgeTimelapse
0.1,0.01,3,100,0.5682281851451082,0.0045454314579686,5,RialtoBridgeTimelapse
0.01,0.01,3,100,0.5680458121071381,0.0011684342593084,5,RialtoBridgeTimelapse
0.01,0.1,2,100,0.5668494449780545,0.0015567817544985,5,RialtoBridgeTimelapse
0.01,0.1,2,250,0.5661296793881992,0.0002730321931903,5,RialtoBridgeTimelapse
0.01,0.01,3,250,0.5650816423299979,0.001667682632373,5,RialtoBridgeTimelapse
0.1,0.1,2,100,0.5631071502389087,0.0,5,RialtoBridgeTimelapse
0.01,0.1,3,100,0.5607800702744107,0.0009911955505777,5,RialtoBridgeTimelapse
0.01,0.01,2,250,0.5596080195503896,0.0006851014970759,5,RialtoBridgeTimelapse
0.1,0.01,2,500,0.5128208245692957,0.0,5,RialtoBridgeTimelapse
0.01,0.01,2,500,0.5118116937591947,0.0,5,RialtoBridgeTimelapse
0.01,0.01,3,500,0.5108876703668129,0.0,5,RialtoBridgeTimelapse
0.1,0.01,3,100,0.860338353141574,0.0001980098857795,5,SineClusters
0.1,0.1,3,100,0.8601396255145627,0.0002443585443741,5,SineClusters
0.01,0.1,3,100,0.8596389351296245,0.0001488906192716,5,SineClusters
0.01,0.01,3,100,0.8592750312931491,0.000592524489982,5,SineClusters
0.01,0.1,2,100,0.8591524395751875,0.0005390885752172,5,SineClusters
0.01,0.01,2,100,0.8589059657001277,0.0013251968040582,5,SineClusters
0.1,0.1,2,100,0.8587807931038933,0.0,5,SineClusters
0.1,0.01,2,100,0.8587807931038933,0.0,5,SineClusters
0.1,0.1,3,250,0.8367581588014401,0.0018441285046516,5,SineClusters
0.1,0.01,3,250,0.8358483992102513,0.0016278302783612,5,SineClusters
0.01,0.1,3,250,0.8351076871459358,0.0010319177111953,5,SineClusters
0.01,0.01,3,250,0.8348728272231041,0.0008385446876029,5,SineClusters
0.1,0.01,2,250,0.8339708102667338,0.0005821546964747,5,SineClusters
0.1,0.1,2,250,0.8337385312221748,0.0008024804087504,5,SineClusters
0.01,0.01,2,250,0.8326997277173422,0.0004464481163404,5,SineClusters
0.01,0.1,2,250,0.8326145587343372,0.0004156936919374,5,SineClusters
0.01,0.1,2,500,0.830784716038868,0.0008821829286452,5,SineClusters
0.01,0.01,2,500,0.830587278850993,0.0005019376970064,5,SineClusters
0.01,0.1,3,500,0.8259894442078639,0.0021866918580273,5,SineClusters
0.1,0.1,2,500,0.8255106912882454,0.0016879281802913,5,SineClusters
0.1,0.01,2,500,0.825364871665828,0.0020344326520735,5,SineClusters
0.01,0.01,3,500,0.8250371001251725,0.001296758108302,5,SineClusters
0.01,0.01,2,1000,0.8200069683713368,0.0014229512675442,5,SineClusters
0.01,0.1,2,1000,0.8188275070006323,0.0005568809318788,5,SineClusters
0.01,0.01,3,1000,0.8185810331255727,0.0017942708175901,5,SineClusters
0.1,0.01,2,1000,0.8176970823171125,0.0004592540359944,5,SineClusters
0.1,0.1,2,1000,0.8171912301756288,0.0005111792495256,5,SineClusters
0.1,0.1,3,500,0.816570528951002,0.0033526499096239,5,SineClusters
0.01,0.1,3,1000,0.81648794084627,0.0032927300014004,5,SineClusters
0.1,0.01,3,500,0.8152478288361529,0.0023403955753557,5,SineClusters
