seed,confidence,feature_proportion,n_clusters,n_samples,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1733356388,0.1,0.1,2,100,0.0016079340759451,0.0016917884798542,0.3324775353016688,0.3364114456085138,0.6540643504907035,0.6747691415793614,0.302549740639592,0.3063176653290411,0.653896021756572,0.6746426535608605,1.5061237373737373,120.489898989899,80.0,0.0,"[199, 322, 433, 533, 668, 768, 881, 982, 1177, 1287, 1387, 1487, 1587, 1687, 1787, 1891, 1991, 2091, 2252, 2352, 2452, 2552, 2749, 2849, 2962, 3067, 3271, 3371, 3471, 3622, 3722, 3822, 3929, 4029, 4198, 4298, 4398, 4498, 4598, 4698, 4798, 4898, 5034, 5134, 5234, 5361, 5489, 5592, 5727, 5827, 5927, 6027, 6127, 6227, 6327, 6427, 6527, 6627, 6739, 6839, 6939, 7039, 7139, 7239, 7342, 7498, 7598, 7698, 7798, 7907, 8135, 8266, 8366, 8528, 8629, 8740, 9137, 9237, 9480, 9581, 9747, 9847, 10234, 10438, 10538, 10638, 10738, 10838, 11047, 11147, 11247, 11347, 11447, 11547, 11650, 11806, 11906, 12039, 12139, 12239, 12359, 12459, 12559, 12763, 12863, 12963, 13063, 13163, 13267, 13367, 13475, 13592, 13694, 13808, 13908, 14008, 14108, 14208, 14308, 14408, 14508, 14608, 14708, 14808, 14908, 15081, 15243, 15353, 15453, 15564, 15664, 15804, 15904, 16022, 16122, 16228, 16420, 16548, 16648, 16748, 16848, 16948, 17095, 17195, 17321, 17421, 17521, 17711, 17855, 18007, 18123, 18223, 18323, 18543, 18646, 18746, 18849, 18994, 19094, 19194, 19294, 19394, 19566, 19829, 19929, 20029, 20151, 20251, 20351, 20485, 20585, 20685, 20785, 20920, 21020, 21307, 21455, 21601, 21701, 21801, 21962, 22065, 22165, 22265, 22365, 22465, 22616, 22786, 22897, 23000, 23113, 23213, 23313, 23413, 23513, 23613, 23713, 23845, 23945, 24056]"
1733356423,0.1,0.1,2,250,0.0045073543942118,0.0045802142919669,0.3324775353016688,0.3364114456085138,0.6885585324444077,0.6982483746738996,0.302549740639592,0.3063176653290411,0.6880767127624942,0.6977347826201955,7.6522727272727264,306.09090909090907,40.0,0.0,"[499, 749, 1026, 1339, 1589, 1845, 2211, 2461, 2711, 2961, 3211, 3461, 4137, 4387, 4637, 4887, 5137, 5387, 5670, 5920, 6294, 6544, 6794, 7179, 7429, 7679, 8728, 9157, 9407, 9657, 9907, 10242, 10499, 10749, 10999, 11249, 11499, 11749, 11999, 12253, 12569, 13160, 13461, 13818, 14068, 14318, 14840, 15090, 15364, 15614, 15864, 16114, 16364, 16648, 16987, 17237, 17487, 17737, 18437, 18687, 19128, 19378, 19680, 19930, 20180, 20464, 20714, 21071, 21457, 21707, 22001, 22318, 22568, 22818, 23068, 23318, 23568, 23818, 24068]"
1733356454,0.1,0.1,2,500,0.0093341445364303,0.0093851101760331,0.3324775353016688,0.3364114456085138,0.6965091722224522,0.7024307424738084,0.302549740639592,0.3063176653290411,0.6949163681983994,0.70082354915422,1.6363506363506364,618.5405405405405,378.0,0.0,"[1020, 1520, 2020, 2520, 3020, 3520, 4085, 4585, 5085, 5585, 6330, 6830, 7330, 7830, 9196, 10088, 10588, 11088, 11796, 12296, 12796, 13406, 13906, 14406, 14943, 16188, 16966, 17466, 17966, 18466, 19138, 19716, 20539, 21389, 21895, 22406, 22906, 23406, 23906]"
1733356486,0.1,0.1,2,1000,0.0182943175155994,0.0180829107013257,0.3324775353016688,0.3364114456085138,0.6800695680980579,0.6799867489337033,0.302549740639592,0.3063176653290411,0.6754234295510365,0.6754493129110847,2.290777849601379,1250.764705882353,546.0,0.0,"[1999, 3305, 4305, 5341, 7078, 8078, 9200, 10574, 11574, 12574, 13574, 14574, 15574, 17506, 18508, 19944, 20944, 22262, 23262]"
1733356519,0.1,0.1,3,100,0.0013766425725585,0.0014591000811736,0.3324775353016688,0.3364114456085138,0.6477286844175743,0.6705453641972753,0.302549740639592,0.3063176653290411,0.6479983976924869,0.6709493346239443,1.6734494091322285,105.4273127753304,63.0,0.0,"[199, 345, 459, 559, 659, 759, 859, 959, 1059, 1159, 1279, 1379, 1479, 1579, 1679, 1779, 1879, 1979, 2079, 2182, 2282, 2382, 2482, 2582, 2682, 2782, 2882, 2986, 3115, 3215, 3315, 3415, 3515, 3615, 3715, 3815, 3915, 4021, 4122, 4222, 4322, 4422, 4522, 4622, 4722, 4831, 4931, 5031, 5131, 5231, 5345, 5445, 5545, 5645, 5745, 5845, 5945, 6045, 6145, 6245, 6345, 6445, 6545, 6645, 6745, 6874, 6974, 7074, 7174, 7274, 7374, 7474, 7574, 7688, 7794, 7895, 7995, 8095, 8195, 8312, 8412, 8512, 8612, 8712, 8812, 8912, 9014, 9183, 9283, 9398, 9571, 9671, 9771, 9871, 9971, 10071, 10171, 10271, 10371, 10471, 10571, 10671, 10771, 10871, 10975, 11075, 11175, 11275, 11375, 11479, 11579, 11679, 11789, 11889, 11989, 12097, 12198, 12298, 12398, 12585, 12685, 12785, 12885, 12985, 13085, 13185, 13285, 13385, 13485, 13585, 13691, 13791, 13891, 13991, 14091, 14191, 14291, 14391, 14491, 14591, 14691, 14791, 14891, 14991, 15091, 15195, 15295, 15395, 15495, 15613, 15713, 15813, 15951, 16051, 16151, 16251, 16401, 16501, 16602, 16702, 16818, 16918, 17018, 17147, 17247, 17347, 17457, 17631, 17731, 17831, 18014, 18114, 18223, 18323, 18423, 18523, 18623, 18730, 18830, 18931, 19031, 19131, 19231, 19331, 19431, 19531, 19631, 19731, 19831, 19949, 20127, 20227, 20349, 20449, 20549, 20649, 20764, 20864, 20964, 21064, 21164, 21264, 21364, 21464, 21567, 21667, 21789, 21951, 22068, 22168, 22268, 22368, 22468, 22568, 22668, 22768, 22868, 22968, 23126, 23226, 23326, 23426, 23526, 23626, 23726, 23826, 23931, 24031, 24131]"
1733356549,0.1,0.1,3,250,0.0040830789153701,0.0041484872326729,0.3324775353016688,0.3364114456085138,0.6917884798542383,0.7014783220837302,0.302549740639592,0.3063176653290411,0.6912946153055594,0.7009820268034351,1.3813131313131313,273.5,198.0,0.0,"[499, 749, 1026, 1276, 1526, 1789, 2044, 2294, 2544, 2807, 3160, 3410, 3692, 3942, 4229, 4479, 4738, 4988, 5238, 5488, 5895, 6145, 6397, 6899, 7202, 7452, 7702, 8165, 8675, 8926, 9176, 9439, 9763, 10013, 10277, 10527, 10777, 11027, 11277, 11527, 11777, 12027, 12375, 12625, 12909, 13159, 13409, 13726, 13976, 14226, 14476, 14726, 14976, 15226, 15476, 15802, 16052, 16302, 16626, 16876, 17126, 17380, 17630, 17880, 18130, 18380, 18630, 18913, 19163, 19413, 19663, 19913, 20163, 20413, 20668, 20923, 21173, 21492, 21742, 21995, 22270, 22520, 22770, 23020, 23270, 23520, 23770, 24020]"
1733356576,0.1,0.1,3,500,0.0077309889508432,0.0077922031158009,0.3324775353016688,0.3364114456085138,0.6881030270404571,0.6948527889353596,0.302549740639592,0.3063176653290411,0.686290227008696,0.6933128012463996,2.00400557297109,523.0454545454545,261.0,0.0,"[999, 1499, 1999, 2499, 2999, 3499, 3999, 4499, 4999, 5499, 6107, 6607, 7107, 7607, 8118, 8618, 9118, 9644, 10144, 10644, 11144, 11646, 12146, 12646, 13289, 13789, 14289, 14789, 15289, 15789, 16337, 16837, 17420, 17920, 18420, 18920, 19437, 19937, 20437, 20937, 21437, 22013, 22513, 23013, 23513, 24013]"
1733356598,0.1,0.1,3,1000,0.0157337589736446,0.0156923493914673,0.3324775353016688,0.3364114456085138,0.6786202327218518,0.6816431322207959,0.302549740639592,0.3063176653290411,0.6774559973024652,0.6806608218879234,21.932,1096.6,50.0,0.0,"[1999, 2999, 3999, 4999, 6000, 7000, 8078, 9078, 10078, 11078, 12078, 13078, 14078, 15078, 16228, 17257, 18257, 19257, 20257, 21364, 22931, 23931]"
1733356622,0.1,0.01,2,100,0.0032031078658268,0.0032943623154397,0.3324775353016688,0.3364114456085138,0.6784131848109652,0.6922025756760114,0.302549740639592,0.3063176653290411,0.6771519961824105,0.6911573576516559,3.930087601078167,220.08490566037736,56.0,0.0,"[553, 698, 1279, 1379, 1625, 1725, 1825, 1925, 2508, 2772, 2872, 3271, 3371, 3539, 3653, 3753, 3853, 4019, 4477, 4577, 4787, 4962, 5103, 5392, 5527, 5785, 5886, 5986, 6103, 6203, 6572, 6672, 7728, 7831, 8240, 8349, 8545, 8653, 8754, 9219, 9440, 9644, 9744, 9943, 10249, 10449, 10549, 10774, 10874, 11071, 11217, 11317, 11804, 11904, 12300, 12415, 12536, 12636, 12942, 13112, 13212, 13320, 13544, 13644, 13763, 13884, 13984, 14084, 14188, 14319, 14487, 14587, 14747, 15009, 15243, 15362, 15462, 15662, 16312, 16709, 17159, 17498, 18194, 18294, 18422, 18805, 19161, 19427, 19527, 19750, 19914, 20278, 20384, 20520, 20780, 21054, 21628, 21787, 22276, 22409, 22509, 22787, 23213, 23313, 23413, 23513, 23617, 23882]"
1733356666,0.1,0.01,2,250,0.0077656182406566,0.0078035036030741,0.3324775353016688,0.3364114456085138,0.6974615926125305,0.7031761149530001,0.302549740639592,0.3063176653290411,0.6956231716111704,0.7013972198623478,4.175448028673835,517.7555555555556,124.0,0.0,"[564, 1027, 2059, 2375, 2625, 3098, 3720, 3970, 4334, 4596, 5198, 5664, 5914, 6588, 6838, 8757, 10099, 10602, 10852, 11282, 11532, 11782, 12032, 13902, 14152, 14402, 15349, 16226, 16476, 16728, 17230, 17480, 18635, 18885, 19472, 19722, 19972, 20284, 20534, 22005, 22287, 22537, 22859, 23109, 23363, 23613, 23863]"
1733356707,0.1,0.01,2,500,0.013192786144047,0.0131897187675894,0.3324775353016688,0.3364114456085138,0.6886827611909396,0.69253385233343,0.302549740639592,0.3063176653290411,0.6861890953623772,0.6900747184805539,2.175678391959799,865.92,398.0,0.0,"[2203, 2887, 3387, 3887, 4387, 4887, 5393, 6971, 7471, 7971, 8716, 10567, 11067, 11885, 12385, 13410, 13926, 14426, 16783, 17429, 18054, 19983, 21010, 21869, 22851, 23351, 23851]"
1733356748,0.1,0.01,2,1000,0.0210930059215702,0.0209377199884053,0.3324775353016688,0.3364114456085138,0.6699656300467929,0.6714149654229988,0.302549740639592,0.3063176653290411,0.6698336247797189,0.6712833475540217,5.354081632653061,1499.142857142857,280.0,0.0,"[3024, 4024, 5049, 9409, 10734, 11734, 12734, 14308, 15308, 16364, 17364, 19116, 20116, 22012, 23012, 24012]"
1733356786,0.1,0.01,3,100,0.0023482683893052,0.0024241859566303,0.3324775353016688,0.3364114456085138,0.6706281833616299,0.6854942233632862,0.302549740639592,0.3063176653290411,0.6705443900134989,0.6853278179860375,1.1517943276094926,168.16197183098592,146.0,0.0,"[199, 367, 473, 750, 1034, 1392, 1548, 1837, 2058, 2210, 2381, 2481, 2581, 2794, 2894, 3108, 3208, 3308, 3452, 3624, 3724, 3849, 4021, 4203, 4303, 4465, 4646, 4756, 4984, 5088, 5188, 5389, 5506, 5645, 5883, 6072, 6172, 6562, 6713, 6813, 6986, 7087, 7187, 7411, 7511, 7673, 7773, 7873, 8114, 8402, 8502, 8610, 8710, 8810, 8941, 9259, 9434, 9669, 9769, 9869, 10549, 10657, 11017, 11119, 11219, 11323, 11423, 11523, 11623, 11780, 11880, 12187, 12287, 12433, 12533, 12782, 13152, 13259, 13375, 13527, 13627, 13763, 13868, 13968, 14174, 14274, 14374, 14474, 14574, 14674, 14774, 15012, 15600, 15704, 15804, 15977, 16091, 16325, 16449, 16932, 17032, 17132, 17505, 18025, 18125, 18420, 18526, 18626, 18871, 18971, 19129, 19382, 19520, 19625, 19784, 19884, 19984, 20151, 20264, 20385, 20503, 20603, 20797, 21302, 21439, 21615, 21884, 21984, 22096, 22196, 22354, 22456, 22556, 22779, 22879, 22979, 23163, 23263, 23363, 23520, 23620, 23746, 23952, 24078]"
1733356827,0.1,0.01,3,250,0.0058561163956565,0.0059402713529846,0.3324775353016688,0.3364114456085138,0.695556751832374,0.7047082694935608,0.302549740639592,0.3063176653290411,0.694527085370047,0.7037007955529065,2.092072072072072,387.03333333333336,185.0,0.0,"[675, 925, 1250, 1532, 1942, 2280, 2567, 2953, 3209, 3459, 3720, 3971, 4235, 4485, 4969, 5327, 5577, 5974, 6643, 6899, 7316, 8169, 8755, 9381, 10330, 10584, 10834, 11333, 11649, 11899, 12149, 12399, 12850, 13100, 13350, 13713, 13963, 14213, 14797, 15052, 16226, 16476, 16726, 17238, 17855, 18105, 18755, 19038, 19288, 19538, 19788, 20038, 20503, 21171, 21800, 22216, 22598, 22850, 23101, 23351, 23601, 23897]"
1733356864,0.1,0.01,3,500,0.0110641227380015,0.0110925918257484,0.3324775353016688,0.3364114456085138,0.6865294629177192,0.6913743840324651,0.302549740639592,0.3063176653290411,0.6841490340350544,0.6889209924158629,1.9380234505862648,771.3333333333334,398.0,0.0,"[999, 1499, 1999, 3598, 4401, 4901, 6082, 6673, 7306, 7806, 8734, 9234, 10440, 10940, 11707, 12207, 12707, 13926, 14426, 14926, 15438, 15938, 16729, 17250, 18015, 18515, 19442, 20336, 20836, 23139, 23639, 24139]"
1733356901,0.1,0.01,3,1000,0.0190254024781334,0.0187470380646081,0.3324775353016688,0.3364114456085138,0.6749347799080707,0.6738581307714605,0.302549740639592,0.3063176653290411,0.6722826634780287,0.671524194565671,1.7014157014157014,1322.0,777.0,0.0,"[2072, 3714, 4797, 7161, 8161, 9475, 10716, 11716, 12716, 13805, 14805, 15805, 17232, 18232, 19855, 20855, 21855, 23224]"
1733356934,0.01,0.1,2,100,0.0069854779780656,0.0070587410849947,0.3324775353016688,0.3364114456085138,0.6957223901610833,0.7034659820282413,0.302549740639592,0.3063176653290411,0.6929419231225551,0.7007704032458194,3.71515625,475.54,128.0,0.0,"[292, 805, 1523, 2246, 2897, 3151, 3314, 3640, 3815, 4204, 4323, 4550, 5640, 5983, 6417, 6557, 6943, 7305, 10499, 10606, 11549, 11809, 11909, 12213, 13200, 13392, 13826, 13926, 14026, 14156, 14259, 14422, 14591, 15144, 15453, 15646, 17218, 18373, 18508, 19932, 20231, 20415, 20685, 22046, 22289, 22428, 22528, 22891, 23317, 23417, 23646, 24069]"
1733356997,0.01,0.1,2,250,0.0101223423100105,0.010134995237898,0.3324775353016688,0.3364114456085138,0.6968818584620481,0.7012712741728436,0.302549740639592,0.3063176653290411,0.694583346893067,0.6991532923911609,6.3199891067538125,682.5588235294117,108.0,0.0,"[657, 1027, 3330, 3622, 4793, 5051, 5323, 6609, 6961, 7237, 7580, 9363, 9919, 10384, 10634, 10950, 11830, 12080, 13886, 14136, 14424, 14856, 16070, 17155, 18444, 18858, 19108, 19413, 20257, 20507, 20757, 22715, 22965, 23364, 23614, 23864]"
1733357054,0.01,0.1,2,500,0.0192232482596472,0.0190944184484289,0.3324775353016688,0.3364114456085138,0.6784960039753198,0.6801109776802352,0.302549740639592,0.3063176653290411,0.6766821619743593,0.6782306082158244,2.809095860566449,1289.375,459.0,0.0,"[3314, 3814, 5327, 5936, 10257, 10757, 11383, 11896, 12396, 12923, 13423, 13987, 14487, 16386, 16886, 22944, 23444, 23944]"
1733357119,0.01,0.1,2,1000,0.0306656778560377,0.0303381657060898,0.3324775353016688,0.3364114456085138,0.6697999917180836,0.6701312683755021,0.302549740639592,0.3063176653290411,0.667996431180545,0.6683866820526924,49.8743961352657,2294.222222222222,46.0,0.0,"[3425, 4425, 9419, 10838, 11838, 12838, 14074, 15074, 17528, 23073, 24073]"
1733357190,0.01,0.1,3,100,0.0047888002336372,0.004842196800129,0.3324775353016688,0.3364114456085138,0.6964263530580976,0.7044184024183195,0.302549740639592,0.3063176653290411,0.6957047024591451,0.7039236966432812,3.4581374853113984,318.14864864864865,92.0,0.0,"[299, 807, 1263, 1563, 1679, 1838, 2031, 2376, 2518, 2781, 3291, 3391, 3491, 3902, 4029, 4345, 4445, 4805, 4941, 5251, 5557, 5879, 6349, 6786, 6886, 7281, 7538, 7713, 8513, 8699, 9135, 9653, 10559, 11089, 11282, 11496, 11610, 11807, 11907, 12211, 12355, 12585, 12850, 12950, 13050, 13150, 13891, 14120, 14769, 15083, 15206, 15308, 15506, 16011, 16232, 17041, 17244, 17344, 18248, 19300, 19400, 19637, 21490, 21661, 22210, 22310, 22462, 22572, 22796, 23049, 23233, 23333, 23433, 23533, 23633, 23842]"
1733357255,0.01,0.1,3,250,0.0082969744653458,0.0082913277041398,0.3324775353016688,0.3364114456085138,0.6975444117768852,0.7012298645906663,0.302549740639592,0.3063176653290411,0.6966654152070114,0.7002991272545135,3.8365949119373775,560.1428571428571,146.0,0.0,"[558, 1202, 1586, 2668, 2918, 3283, 3533, 3973, 4337, 4649, 6591, 7155, 7436, 7688, 8783, 9754, 10035, 10574, 10824, 11077, 11609, 11859, 12109, 13924, 14174, 14469, 14809, 15132, 15396, 16054, 16600, 18155, 18405, 19731, 19981, 20799, 21073, 21506, 22807, 23057, 23308, 23558, 23808, 24084]"
1733357313,0.01,0.1,3,500,0.013840356504649,0.0138116883323724,0.3324775353016688,0.3364114456085138,0.6923268044225434,0.6955153422501967,0.302549740639592,0.3063176653290411,0.6898514896030289,0.6932416164017233,2.294384057971014,949.875,414.0,0.0,"[1069, 2711, 3211, 3711, 4747, 5247, 6319, 6819, 7586, 9693, 10199, 10699, 11331, 11831, 12331, 13942, 14442, 16392, 17406, 17907, 18958, 19969, 20910, 22866, 23366, 23866]"
1733357370,0.01,0.1,3,1000,0.0210645368338233,0.0209040747028862,0.3324775353016688,0.3364114456085138,0.6695101246428423,0.6708766408546938,0.302549740639592,0.3063176653290411,0.6676146092536585,0.6690078333318863,4.532523672293125,1572.7857142857142,347.0,0.0,"[2003, 3405, 4405, 9351, 10375, 11375, 12375, 13375, 14375, 15375, 16376, 17820, 20041, 21707, 23022, 24022]"
1733357424,0.01,0.01,2,100,0.0206268436398535,0.0204076164400912,0.3324775353016688,0.3364114456085138,0.6831338771791793,0.6833409250900658,0.302549740639592,0.3063176653290411,0.6801133221440184,0.6803814088502148,74.93333333333334,1348.8,18.0,0.0,"[3380, 3492, 3592, 6562, 6704, 10578, 11826, 11926, 13898, 14046, 17534, 18089, 18285, 18422, 22792, 23329, 23612]"
