seed,n_clusters,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734537891,2,100,0.05,0.0007103306217171,0.0005389458434879,0.1387710094563437,0.1384702776756775,0.1607912587295753,0.1551775988238045,0.0892377551095781,0.0889535523418541,0.1197224106351726,0.1145243069251862,"[458, 2230, 3051, 3296, 3536, 4031, 4684, 5172, 5272, 5429, 5646, 6464, 10022, 11712, 12418, 13816, 14363, 14509, 14651, 15582, 16244, 17957, 18478, 18608, 20612, 20996, 23276, 23468, 25340, 26493, 27174]"
1734538169,2,100,0.005,0.0015671467236943,0.0012330003007317,0.1387710094563437,0.1384702776756775,0.154442476693287,0.1508002806829952,0.0892377551095781,0.0889535523418541,0.1122880180834815,0.1076522029715622,"[5243, 5343, 5443, 5664, 6496, 13831, 14553, 21023, 26550, 27188]"
1734538469,2,250,0.05,0.0018656508615408,0.0016623784542386,0.1387710094563437,0.1384702776756775,0.1611588197948341,0.1584188191265412,0.0892377551095781,0.0889535523418541,0.1183106102777429,0.114844616510553,"[5250, 5500, 5750, 6000, 6496, 6765, 14561, 14811, 17941, 23318, 23568, 26638]"
1734538761,2,250,0.005,0.0030206836635813,0.0029538543789888,0.1387710094563437,0.1384702776756775,0.1538744277742506,0.1532395495706218,0.0892377551095781,0.0889535523418541,0.107296631437188,0.1064941724457746,"[5266, 5699, 6598, 14710, 23428]"
1734539071,2,500,0.05,0.0018664464482621,0.0017232408384211,0.1387710094563437,0.1384702776756775,0.1518361345941791,0.1505329635446252,0.0892377551095781,0.0889535523418541,0.1060875801284555,0.1042833627671473,"[3451, 5275, 6128, 6668, 13882, 14882, 23629]"
1734539417,2,500,0.005,0.0031008788050923,0.0030607812343368,0.1387710094563437,0.1384702776756775,0.1542754034818057,0.1537741838473619,0.0892377551095781,0.0889535523418541,0.10815522003286,0.1079516861345214,"[5316, 6173, 6760, 14914, 23715]"
1734539780,2,1000,0.05,0.0053908956237956,0.0049342288457468,0.1387710094563437,0.1384702776756775,0.1549436963277308,0.1532729642129181,0.0892377551095781,0.0889535523418541,0.1095417293930284,0.1073270558514445,"[3504, 5301, 7338]"
1734540224,2,1000,0.005,0.0216526882079727,0.0213185417850101,0.1387710094563437,0.1384702776756775,0.1604236976643165,0.1597888194606876,0.0892377551095781,0.0889535523418541,0.1125326632027634,0.111684091162006,[7411]
1734540701,3,100,0.05,0.0008401395777343,0.0006384583438748,0.1387710094563437,0.1384702776756775,0.1622949176329067,0.1563471113041734,0.0892377551095781,0.0889535523418541,0.1216171848274723,0.1151521275879436,"[475, 2231, 3056, 3310, 4031, 5241, 5341, 5441, 5658, 6467, 10023, 11718, 12418, 13826, 14395, 14513, 14652, 15582, 16244, 17969, 18478, 20613, 20996, 23299, 23481, 25345, 26504, 27174]"
1734541002,3,100,0.005,0.0015537808667758,0.0012238112741003,0.1387710094563437,0.1384702776756775,0.1512012563905503,0.1482607678684799,0.0892377551095781,0.0889535523418541,0.1095941618541368,0.1057026910593139,"[5243, 5343, 5443, 6500, 13831, 14558, 21024, 27188]"
1734541326,3,250,0.05,0.0020424700103585,0.0019380492531827,0.1387710094563437,0.1384702776756775,0.155110769539212,0.1539746717011394,0.0892377551095781,0.0889535523418541,0.1096923425630356,0.1081487126408255,"[5251, 5679, 5978, 6499, 6765, 14585, 14835, 23409]"
1734541652,3,250,0.005,0.0028602933805593,0.0027734153105891,0.1387710094563437,0.1384702776756775,0.1530724763591405,0.152337354228623,0.0892377551095781,0.0889535523418541,0.1067185648079382,0.1056243508336953,"[5266, 5707, 6623, 14722, 23436]"
1734541988,3,500,0.05,0.0020438622871208,0.0018767890756396,0.1387710094563437,0.1384702776756775,0.151034183179069,0.1497310121295151,0.0892377551095781,0.0889535523418541,0.1050463410044415,0.1035842320883466,"[3463, 5283, 6135, 6670, 14888, 23651]"
1734542383,3,500,0.005,0.0055022777647831,0.0051681313418206,0.1387710094563437,0.1384702776756775,0.1552778427506933,0.1539746717011394,0.0892377551095781,0.0889535523418541,0.1100287348242609,0.1082521589082817,"[5321, 6765, 14922]"
1734542801,3,1000,0.05,0.0051013020572281,0.0048785377752531,0.1387710094563437,0.1384702776756775,0.1540749156280282,0.1531058910014368,0.0892377551095781,0.0889535523418541,0.1086916291325081,0.1076094670929094,"[3642, 5307, 7338]"
